region,year,variant,gender,agebroad,population
931,1975,estimates,female,65plus,5089.468
931,1975,estimates,male,65plus,4108.155
931,1975,estimates,female,70plus,3051.617
931,1975,estimates,male,70plus,2325.945
931,1975,estimates,female,75plus,1623.741
931,1975,estimates,male,75plus,1149.053
931,1975,estimates,female,80plus,689.149
931,1975,estimates,male,80plus,451.484
931,1980,estimates,female,total,121994.872
931,1980,estimates,male,total,120866.664
931,1980,estimates,female,0_1,7028.813
931,1980,estimates,male,0_1,7251.519
931,1980,estimates,female,0_4,16716.381
931,1980,estimates,male,0_4,17198.05
931,1980,estimates,female,0_14,45709.565
931,1980,estimates,male,0_14,46672.649
931,1980,estimates,female,0_17,53841.272
931,1980,estimates,male,0_17,54886.692
931,1980,estimates,female,0_19,58965.429
931,1980,estimates,male,0_19,60050.797
931,1980,estimates,female,0_24,70361.559
931,1980,estimates,male,0_24,71487.496
931,1980,estimates,female,3_4,6362.792
931,1980,estimates,male,3_4,6526.477
931,1980,estimates,female,3_5,9431.979
931,1980,estimates,male,3_5,9665.949
931,1980,estimates,female,3_6,12443.899
931,1980,estimates,male,3_6,12741.575
931,1980,estimates,female,4_5,6208.31
931,1980,estimates,male,4_5,6356.281
931,1980,estimates,female,4_6,9220.23
931,1980,estimates,male,4_6,9431.907
931,1980,estimates,female,5_10,17741.94
931,1980,estimates,male,5_10,18078.899
931,1980,estimates,female,5_11,20591.649
931,1980,estimates,male,5_11,20969.176
931,1980,estimates,female,5_14,28993.184
931,1980,estimates,male,5_14,29474.599
931,1980,estimates,female,6_9,11801.579
931,1980,estimates,male,6_9,12024.089
931,1980,estimates,female,6_10,14672.753
931,1980,estimates,male,6_10,14939.427
931,1980,estimates,female,6_11,17522.462
931,1980,estimates,male,6_11,17829.704
931,1980,estimates,female,6_12,20350.073
931,1980,estimates,male,6_12,20694.692
