continent,variant,year,populationdensitypersqkm
903,mediumvariant,2054,89.2869731851283
903,nochange,2054,108.099514880119
903,zeromigration,2054,90.2542400073406
903,constantfertility,2055,124.285388112709
903,constantmortality,2055,81.2301930080118
903,highvariant,2055,101.971794373904
903,instantreplacement,2055,60.4018571817599
903,lowvariant,2055,80.1878945846857
903,mediumvariant,2055,90.7221175690997
903,nochange,2055,110.91329636865
903,zeromigration,2055,91.7205006565941
903,constantfertility,2056,128.120695155966
903,constantmortality,2056,82.1400540562143
903,highvariant,2056,104.005553169189
903,instantreplacement,2056,60.7812278483419
903,lowvariant,2056,81.1082507068181
903,mediumvariant,2056,92.1578955437092
903,nochange,2056,113.803498467059
903,zeromigration,2056,93.1874921358688
903,constantfertility,2057,132.086502780349
903,constantmortality,2057,83.0346905133154
903,highvariant,2057,106.057816993451
903,instantreplacement,2057,61.1557725003971
903,lowvariant,2057,82.0156180690878
903,mediumvariant,2057,93.5937732198853
903,nochange,2057,116.77251296736
903,zeromigration,2057,94.6546502004064
903,constantfertility,2058,136.187415876073
903,constantmortality,2058,83.9137332541649
903,highvariant,2058,108.128000622779
903,instantreplacement,2058,61.5257705114288
903,lowvariant,2058,82.9097155441074
903,mediumvariant,2058,95.0292536075797
903,nochange,2058,119.822748458376
903,zeromigration,2058,96.121445818045
903,constantfertility,2059,140.428181094408
903,constantmortality,2059,84.7768539314184
903,highvariant,2059,110.215536507016
903,instantreplacement,2059,61.8913400999723
903,lowvariant,2059,83.790287031067
903,mediumvariant,2059,96.4638577952422
903,nochange,2059,122.956704022607
903,zeromigration,2059,97.5873656066655
903,constantfertility,2060,144.813837344431
903,constantmortality,2060,85.6237104702155
903,highvariant,2060,112.319945397327
903,instantreplacement,2060,62.2523957304482
903,lowvariant,2060,84.6570218901062
903,mediumvariant,2060,97.8971015759414
903,nochange,2060,126.176989372166
903,zeromigration,2060,99.0518954758497
903,constantfertility,2061,149.349822375211
903,constantmortality,2061,86.4538978245103
903,highvariant,2061,114.440760187152
903,instantreplacement,2061,62.6089874897396
903,lowvariant,2061,85.5095037423891
903,mediumvariant,2061,99.3284373668182
903,nochange,2061,129.486327209777
903,zeromigration,2061,100.514465446987
903,constantfertility,2062,154.041870780706
903,constantmortality,2062,87.2669998852953
903,highvariant,2062,116.577698804703
903,instantreplacement,2062,62.960672758206
903,lowvariant,2062,86.3472572515909
903,mediumvariant,2062,100.757344770217
903,nochange,2062,132.887559097542
903,zeromigration,2062,101.97453738121
903,constantfertility,2063,158.895856251377
903,constantmortality,2063,88.0626571063259
903,highvariant,2063,118.730719190491
903,instantreplacement,2063,63.3061773390344
903,lowvariant,2063,87.1698245864991
903,mediumvariant,2063,102.183398098225
903,nochange,2063,136.383637024808
903,zeromigration,2063,103.431666635165
903,constantfertility,2064,163.917887059684
903,constantmortality,2064,88.8405202285626
903,highvariant,2064,120.899918111699
903,instantreplacement,2064,63.6438060694945
903,lowvariant,2064,87.9767218437394
903,mediumvariant,2064,103.606201748787
903,nochange,2064,139.977622328847
903,zeromigration,2064,104.885440337785
903,constantfertility,2065,169.1143259262
903,constantmortality,2065,89.6002322691297
903,highvariant,2065,123.085311926669
903,instantreplacement,2065,63.9721236989913
903,lowvariant,2065,88.7674368216918
903,mediumvariant,2065,105.025309054839
903,nochange,2065,143.67266980872
903,zeromigration,2065,106.33539623942
903,constantfertility,2066,174.491881120397
903,constantmortality,2066,90.3414166488699
903,highvariant,2066,125.286637687698
903,instantreplacement,2066,64.2906026456899
903,lowvariant,2066,89.5415069671483
903,mediumvariant,2066,106.440204340719
903,nochange,2066,147.47201069236
903,zeromigration,2066,107.781001294209
903,constantfertility,2067,180.057456267457
903,constantmortality,2067,91.0636830611092
903,highvariant,2067,127.503582326469
903,instantreplacement,2067,64.5988628563932
903,lowvariant,2067,90.2983767035852
903,mediumvariant,2067,107.850288992288
903,nochange,2067,151.378970175417
903,zeromigration,2067,109.221642047455
903,constantfertility,2068,185.818048791631
903,constantmortality,2068,91.7666435939005
903,highvariant,2068,129.736056023879
903,instantreplacement,2068,64.8957978325928
903,lowvariant,2068,91.0373128399837
903,mediumvariant,2068,109.254925202838
903,nochange,2068,155.396989513447
903,zeromigration,2068,110.656671181002
903,constantfertility,2069,191.780854575907
903,constantmortality,2069,92.4499052760152
903,highvariant,2069,131.984001239038
903,instantreplacement,2069,65.1801937852922
903,lowvariant,2069,91.7575031256248
903,mediumvariant,2069,110.653432397876
903,nochange,2069,159.529610911529
903,zeromigration,2069,112.085400666349
903,constantfertility,2070,197.95341252253
903,constantmortality,2070,93.1130781380649
903,highvariant,2070,134.247280359499
903,instantreplacement,2070,65.4511275643307
903,lowvariant,2070,92.4582063420969
903,mediumvariant,2070,112.045145821589
903,nochange,2070,163.780469429416
903,zeromigration,2070,113.507157619105
903,constantfertility,2071,204.343763549347
903,constantmortality,2071,93.7558277615682
903,highvariant,2071,136.525606051823
903,instantreplacement,2071,65.708190615894
903,lowvariant,2071,93.1389004727744
903,mediumvariant,2071,113.429490065074
903,nochange,2071,168.153306338036
903,zeromigration,2071,114.921355533677
903,constantfertility,2072,210.960253008014
903,constantmortality,2072,94.3777848864606
903,highvariant,2072,138.81859903857
903,instantreplacement,2072,65.9513176415273
903,lowvariant,2072,93.799111530474
903,mediumvariant,2072,114.805884693872
903,nochange,2072,172.651940821245
903,zeromigration,2072,116.327403182473
903,constantfertility,2073,217.811323590755
903,constantmortality,2073,94.9784895903602
903,highvariant,2073,141.125896333183
903,instantreplacement,2073,66.180434337255
903,lowvariant,2073,94.4382176958183
903,mediumvariant,2073,116.173653248369
903,nochange,2073,177.280259587437
903,zeromigration,2073,117.724615100359
903,constantfertility,2074,224.905670886393
903,constantmortality,2074,95.5574517301128
903,highvariant,2074,143.447091338104
903,instantreplacement,2074,66.3956398312588
903,lowvariant,2074,95.0555876717096
903,mediumvariant,2074,117.532094545932
903,nochange,2074,182.042233430259
903,zeromigration,2074,119.112281301553
903,constantfertility,2075,232.252364094797
903,constantmortality,2075,96.1142395803965
903,highvariant,2075,145.781738735409
903,instantreplacement,2075,66.5971532915963
903,lowvariant,2075,95.650669085836
903,mediumvariant,2075,118.880543493465
903,nochange,2075,186.94195102461
903,zeromigration,2075,120.489729576235
903,constantfertility,2076,239.86106104633
903,constantmortality,2076,96.6485581176653
903,highvariant,2076,148.129431994996
903,instantreplacement,2076,66.7851207965776
903,lowvariant,2076,96.2230594217919
903,mediumvariant,2076,120.218445863586
903,nochange,2076,191.983692151298
903,zeromigration,2076,121.85639773709
903,constantfertility,2077,247.741695909289
903,constantmortality,2077,97.1601626413558
903,highvariant,2077,150.489666875182
903,instantreplacement,2077,66.9599307978067
903,lowvariant,2077,96.772429590205
903,mediumvariant,2077,121.545262539301
903,nochange,2077,197.171817573357
903,zeromigration,2077,123.21173769533
903,constantfertility,2078,255.904220964196
903,constantmortality,2078,97.6487547887966
903,highvariant,2078,152.86175885523
903,instantreplacement,2078,67.12243119707
903,lowvariant,2078,97.2984232490423
903,mediumvariant,2078,122.860373657485
903,nochange,2078,202.510681577945
903,zeromigration,2078,124.555122167553
903,constantfertility,2079,264.35883548568
903,constantmortality,2079,98.1140520497301
903,highvariant,2079,155.244934708344
903,instantreplacement,2079,67.2737106842061
903,lowvariant,2079,97.8007233500206
903,mediumvariant,2079,124.163153890995
903,nochange,2079,208.004713329577
903,zeromigration,2079,125.885916787365
903,constantfertility,2080,273.116238065685
903,constantmortality,2080,98.5558249014365
903,highvariant,2080,157.638473588151
903,instantreplacement,2080,67.4147983169939
903,lowvariant,2080,98.2790805043093
903,mediumvariant,2080,125.453035824589
903,nochange,2080,213.658511310043
903,zeromigration,2080,127.203546921617
903,constantfertility,2081,282.18792878747
903,constantmortality,2081,98.9738951223063
903,highvariant,2081,160.04174888582
903,instantreplacement,2081,67.5463188491938
903,lowvariant,2081,98.7332271096661
903,mediumvariant,2081,126.729459800589
903,nochange,2081,219.476972195164
903,zeromigration,2081,128.507444750325
903,constantfertility,2082,291.585821414847
903,constantmortality,2082,99.3681576479352
903,highvariant,2082,162.454235076958
903,instantreplacement,2082,67.6689337312188
903,lowvariant,2082,99.1630470724537
903,mediumvariant,2082,127.99199972634
903,nochange,2082,225.465117827373
903,zeromigration,2082,129.797179357652
903,constantfertility,2083,301.321857402759
903,constantmortality,2083,99.7385724425451
903,highvariant,2083,164.875422826871
903,instantreplacement,2083,67.7837878783852
903,lowvariant,2083,99.5686551034392
903,mediumvariant,2083,129.240397409863
903,nochange,2083,231.627933858382
903,zeromigration,2083,131.072489246222
903,constantfertility,2084,311.408305811466
903,constantmortality,2084,100.085153941952
903,highvariant,2084,167.304837102791
903,instantreplacement,2084,67.8921663480961
903,lowvariant,2084,99.9502900344198
903,mediumvariant,2084,130.474488964178
903,nochange,2084,237.970499604057
903,zeromigration,2084,132.333208741443
903,constantfertility,2085,321.858018193126
903,constantmortality,2085,100.407927375103
903,highvariant,2085,169.741949547126
903,instantreplacement,2085,67.9952085916442
903,lowvariant,2085,100.308121250127
903,mediumvariant,2085,131.694034073432
903,nochange,2085,244.498115470852
903,zeromigration,2085,133.579095301377
903,constantfertility,2086,332.684835088172
903,constantmortality,2086,100.706919522461
903,highvariant,2086,172.186259931888
903,instantreplacement,2086,68.0937659173982
903,lowvariant,2086,100.64221141819
903,mediumvariant,2086,132.898718353897
903,nochange,2086,251.216446504472
903,zeromigration,2086,134.809829988944
903,constantfertility,2087,343.903008761332
903,constantmortality,2087,100.982151396906
903,highvariant,2087,174.637096890474
903,instantreplacement,2087,68.1884897921231
903,lowvariant,2087,100.952471394075
903,mediumvariant,2087,134.088053517488
