region,variant,year,populationdensitypersqkm
928,instant-replacement,2088,27.459094771427
928,low variant,2088,27.8484525765215
928,medium variant,2088,38.6791404671538
928,no change,2088,65.1794463641685
928,zero-migration,2088,39.9212031949244
928,constant-fertility,2089,76.0374761608036
928,constant-mortality,2089,33.0961989463547
928,high variant,2089,52.6747899318341
928,instant-replacement,2089,27.4820087237297
928,low variant,2089,27.7384693819747
928,medium variant,2089,38.8006250118016
928,no change,2089,66.3023905285221
928,zero-migration,2089,40.054838648766
928,constant-fertility,2090,77.5674351857097
928,constant-mortality,2090,33.0731490398233
928,high variant,2090,53.1561811967749
928,instant-replacement,2090,27.5056175532015
928,low variant,2090,27.6237636662324
928,medium variant,2090,38.9174191355577
928,no change,2090,67.4455729904266
928,zero-migration,2090,40.1835854151325
928,constant-fertility,2091,79.1310334409638
928,constant-mortality,2091,33.044681734927
928,high variant,2091,53.6366245586208
928,instant-replacement,2091,27.5301365207047
928,low variant,2091,27.5045525784097
928,medium variant,2091,39.0296002568024
928,no change,2091,68.6093279706943
928,zero-migration,2091,40.3075133593912
928,constant-fertility,2092,80.7289544742159
928,constant-mortality,2092,33.010914103363
928,high variant,2092,54.1160482637512
928,instant-replacement,2092,27.5557336807719
928,low variant,2092,27.3810324968372
928,medium variant,2092,39.1372118053589
928,no change,2092,69.7939915783908
928,zero-migration,2092,40.4266715761249
928,constant-fertility,2093,82.3618837213694
928,constant-mortality,2093,32.9719537755622
928,high variant,2093,54.5943522347476
928,instant-replacement,2093,27.5825204403406
928,low variant,2093,27.2533582582753
928,medium variant,2093,39.2402688872524
928,no change,2093,70.9999301346324
928,zero-migration,2093,40.5410676183463
928,constant-fertility,2094,84.0304858475424
928,constant-mortality,2094,32.9279008289431
928,high variant,2094,55.071428841179
928,instant-replacement,2094,27.6105817708038
928,low variant,2094,27.1216771464718
928,medium variant,2094,39.3387752789894
928,no change,2094,72.2274967427633
928,zero-migration,2094,40.6507184803338
928,constant-fertility,2095,85.7354462886384
928,constant-mortality,2095,32.87886478219
928,high variant,2095,55.547178005627
928,instant-replacement,2095,27.6399743197568
928,low variant,2095,26.9861477746936
928,medium variant,2095,39.4327423100889
928,no change,2095,73.4770388413679
928,zero-migration,2095,40.7556222738345
928,constant-fertility,2096,87.4774448158009
928,constant-mortality,2096,32.8249570422402
928,high variant,2096,56.021476991635
928,instant-replacement,2096,27.670756623048
928,low variant,2096,26.8469306444608
928,medium variant,2096,39.5221718688042
928,no change,2096,74.748917086803
928,zero-migration,2096,40.855788440114
928,constant-fertility,2097,89.2571876357182
928,constant-mortality,2097,32.7662852395249
928,high variant,2097,56.4942200570252
928,instant-replacement,2097,27.7029645574879
928,low variant,2097,26.7042013633188
928,medium variant,2097,39.6070903906796
928,no change,2097,76.0434713646406
928,zero-migration,2097,40.9512301969448
928,constant-fertility,2098,91.0753752903189
928,constant-mortality,2098,32.7029834400196
928,high variant,2098,56.9652863535943
928,instant-replacement,2098,27.7366245586208
928,low variant,2098,26.5581487565853
928,medium variant,2098,39.6875148699938
928,no change,2098,77.3610396721993
928,zero-migration,2098,41.0419664268585
928,constant-fertility,2099,92.9327290923167
928,constant-mortality,2099,32.6351592741555
928,high variant,2099,57.4345588096452
928,instant-replacement,2099,27.7717630619914
928,low variant,2099,26.4089635378311
928,medium variant,2099,39.763490624823
928,no change,2099,78.7019505655318
928,zero-migration,2099,41.1280235653996
928,constant-fertility,2100,94.829979795691
928,constant-mortality,2100,32.5629449196548
928,high variant,2100,57.9019184652278
928,instant-replacement,2100,27.808385732359
928,low variant,2100,26.2568609679186
928,medium variant,2100,39.8350440907117
928,no change,2100,80.0665288241848
928,zero-migration,2100,41.2094223833532
