country,year,variant,agebroad,feminityrato_femaleper100male
598,1985,estimates,6_11,93.7156440350617
598,1985,estimates,6_12,93.7010961776263
598,1985,estimates,7_10,93.706799989072
598,1985,estimates,7_12,93.6740927938759
598,1985,estimates,11_16,93.7781745146172
598,1985,estimates,11_17,93.8433585967755
598,1985,estimates,11_18,93.915661833521
598,1985,estimates,12_14,93.6952830689235
598,1985,estimates,12_16,93.8177577372757
598,1985,estimates,12_17,93.8899417041168
598,1985,estimates,12_18,93.9689858966175
598,1985,estimates,13_17,93.9556839304102
598,1985,estimates,13_18,94.0411217519652
598,1985,estimates,13_19,94.1315017346881
598,1985,estimates,15plus,95.8346074624541
598,1985,estimates,15_17,94.1223991953048
598,1985,estimates,15_24,94.8427209882603
598,1985,estimates,15_49,94.4449436873016
598,1985,estimates,15_59,94.2356994441022
598,1985,estimates,15_64,94.4810791229439
598,1985,estimates,16plus,95.9195034990614
598,1985,estimates,17plus,95.9987746319437
598,1985,estimates,18plus,96.071216318418
598,1985,estimates,18_23,95.1295074611191
598,1985,estimates,20plus,96.1965608758814
598,1985,estimates,20_64,94.5207643293088
598,1985,estimates,20_69,95.0104159952717
598,1985,estimates,21plus,96.2480432634757
598,1985,estimates,25plus,96.3748902663464
598,1985,estimates,25_49,94.1602719728964
598,1985,estimates,25_64,94.2732533994869
598,1985,estimates,25_69,94.8935489522474
598,1985,estimates,50plus,103.431229285461
598,1985,estimates,60plus,120.059949989905
598,1985,estimates,65plus,134.571347194531
598,1985,estimates,70plus,154.198382492864
598,1985,estimates,75plus,179.004076878276
598,1985,estimates,80plus,206.857638888889
598,1985,estimates,85plus,234.121621621622
598,1985,estimates,90plus,263
598,1990,estimates,total,95.5444638885662
598,1990,estimates,0_1,93.3552372386212
598,1990,estimates,0_4,93.8862682237997
598,1990,estimates,0_14,94.2142854772537
598,1990,estimates,0_17,94.170273192573
598,1990,estimates,0_19,94.159254783328
598,1990,estimates,0_24,94.228565529345
598,1990,estimates,3_4,94.3932122580847
598,1990,estimates,3_5,94.4709573654652
598,1990,estimates,3_6,94.5238047749167
598,1990,estimates,4_5,94.5640117146664
598,1990,estimates,4_6,94.6046157230781
598,1990,estimates,5_10,94.6002916945437
598,1990,estimates,5_11,94.5501462073239
598,1990,estimates,5_14,94.4006369338366
598,1990,estimates,6_9,94.6388522565959
598,1990,estimates,6_10,94.5939168857925
598,1990,estimates,6_11,94.5359130030969
598,1990,estimates,6_12,94.4744127847403
598,1990,estimates,7_10,94.5693875981577
598,1990,estimates,7_12,94.436616860037
598,1990,estimates,11_16,94.0260314070583
598,1990,estimates,11_17,94.0099336083555
598,1990,estimates,11_18,94.0062523528161
598,1990,estimates,12_14,94.0226438188493
598,1990,estimates,12_16,93.9838903805203
598,1990,estimates,12_17,93.9718029936029
598,1990,estimates,12_18,93.972672745367
598,1990,estimates,13_17,93.9491531136135
598,1990,estimates,13_18,93.9537320829401
598,1990,estimates,13_19,93.9727827930497
598,1990,estimates,15plus,96.5283027512428
598,1990,estimates,15_17,93.9194300844787
598,1990,estimates,15_24,94.2571221904427
598,1990,estimates,15_49,95.1341155253785
598,1990,estimates,15_59,95.0101110471907
598,1990,estimates,15_64,95.2041193919138
598,1990,estimates,16plus,96.6465657972641
598,1990,estimates,17plus,96.7771514414351
598,1990,estimates,18plus,96.9173536003851
598,1990,estimates,18_23,94.3465668651826
598,1990,estimates,20plus,97.205062076411
598,1990,estimates,20_64,95.545970027039
598,1990,estimates,20_69,95.9865228427468
598,1990,estimates,21plus,97.3461078415227
598,1990,estimates,25plus,97.8613652622463
598,1990,estimates,25_49,95.8107347043263
598,1990,estimates,25_64,95.7914767629151
598,1990,estimates,25_69,96.3406068021662
598,1990,estimates,50plus,104.382370659011
598,1990,estimates,60plus,119.744348475155
598,1990,estimates,65plus,134.362373890112
598,1990,estimates,70plus,155.052631578947
598,1990,estimates,75plus,182.163742690059
598,1990,estimates,80plus,214.095169430425
598,1990,estimates,85plus,249.586776859504
598,1990,estimates,90plus,288.805970149254
598,1995,estimates,total,96.0326892340435
598,1995,estimates,0_1,93.7473190179405
598,1995,estimates,0_4,93.7982788813803
598,1995,estimates,0_14,94.3289607070051
598,1995,estimates,0_17,94.3596520149848
598,1995,estimates,0_19,94.3554129502739
598,1995,estimates,0_24,94.3497332903355
598,1995,estimates,3_4,93.8739898448116
598,1995,estimates,3_5,93.9306204459077
598,1995,estimates,3_6,93.9941974345003
598,1995,estimates,4_5,93.9851289586579
598,1995,estimates,4_6,94.0535687565465
598,1995,estimates,5_10,94.4311765834076
598,1995,estimates,5_11,94.5105677636159
598,1995,estimates,5_14,94.6491394383703
598,1995,estimates,6_9,94.4340573551792
598,1995,estimates,6_10,94.5123349813956
598,1995,estimates,6_11,94.5927821830851
598,1995,estimates,6_12,94.6615609346992
598,1995,estimates,7_10,94.5950290341377
598,1995,estimates,7_12,94.7436463818865
598,1995,estimates,11_16,94.8775298674377
598,1995,estimates,11_17,94.8111426811579
598,1995,estimates,11_18,94.7529538601781
598,1995,estimates,12_14,94.9961950410595
598,1995,estimates,12_16,94.8495468865601
598,1995,estimates,12_17,94.7758882655446
598,1995,estimates,12_18,94.7136074350945
598,1995,estimates,13_17,94.7089347784534
598,1995,estimates,13_18,94.6462880018083
598,1995,estimates,13_19,94.599264668125
598,1995,estimates,15plus,97.2229204559576
598,1995,estimates,15_17,94.5424124607291
598,1995,estimates,15_24,94.3889676868833
598,1995,estimates,15_49,95.6338280615979
598,1995,estimates,15_59,95.7319518892637
598,1995,estimates,15_64,95.9170928226628
598,1995,estimates,16plus,97.3275010001647
598,1995,estimates,17plus,97.4461482558696
598,1995,estimates,18plus,97.5791885246033
598,1995,estimates,18_23,94.2931008490424
598,1995,estimates,20plus,97.8851382323199
598,1995,estimates,20_64,96.2829412984895
598,1995,estimates,20_69,96.6777482843743
598,1995,estimates,21plus,98.0595167132835
598,1995,estimates,25plus,98.8864100113286
598,1995,estimates,25_49,96.5910375288252
598,1995,estimates,25_64,96.8659837318964
598,1995,estimates,25_69,97.3580165608968
598,1995,estimates,50plus,106.291732570584
598,1995,estimates,60plus,119.886526120726
598,1995,estimates,65plus,133.803134282495
598,1995,estimates,70plus,154.48339406123
598,1995,estimates,75plus,182.957065107841
598,1995,estimates,80plus,218.007096392667
598,1995,estimates,85plus,259.034792368126
598,1995,estimates,90plus,310.778443113772
598,2000,estimates,total,96.1440575739758
598,2000,estimates,0_1,92.9113951877947
598,2000,estimates,0_4,93.2082423075499
598,2000,estimates,0_14,93.8744496456638
598,2000,estimates,0_17,94.0581720235583
