continent,year,variant,gender,agebroad,percentagetotalpopulation
903,1960,Estimates,male,7_12,15.2768933194927
903,1960,Estimates,female,11_16,13.0123519397396
903,1960,Estimates,male,11_16,13.3347196343396
903,1960,Estimates,female,11_17,14.9456094165597
903,1960,Estimates,male,11_17,15.2997991929486
903,1960,Estimates,female,11_18,16.8235615241808
903,1960,Estimates,male,11_18,17.20524752532
903,1960,Estimates,female,12_14,6.61091691444035
903,1960,Estimates,male,12_14,6.78404925017624
903,1960,Estimates,female,12_16,10.6623956556348
903,1960,Estimates,male,12_16,10.9174783172461
903,1960,Estimates,female,12_17,12.5956531324549
903,1960,Estimates,male,12_17,12.8825578758552
903,1960,Estimates,female,12_18,14.473605240076
903,1960,Estimates,male,12_18,14.7880062082266
903,1960,Estimates,female,13_17,10.3163564028775
903,1960,Estimates,male,13_17,10.5393482231793
903,1960,Estimates,female,13_18,12.1943085104987
903,1960,Estimates,male,13_18,12.4447965555507
903,1960,Estimates,female,13_19,14.0209615385582
903,1960,Estimates,male,13_19,14.29567640397
903,1960,Estimates,female,15plus,57.6753066605955
903,1960,Estimates,male,15plus,56.4483962133172
903,1960,Estimates,female,15_17,5.98473621801455
903,1960,Estimates,male,15_17,6.09850862567893
903,1960,Estimates,female,15_24,18.1318643492951
903,1960,Estimates,male,15_24,18.375693963469
903,1960,Estimates,female,15_49,46.0097781115996
903,1960,Estimates,male,15_49,46.1760638796661
903,1960,Estimates,female,15_59,52.0893247308748
903,1960,Estimates,male,15_59,51.8296017892008
903,1960,Estimates,female,15_64,54.2639035565854
903,1960,Estimates,male,15_64,53.7201774337284
903,1960,Estimates,female,16plus,55.617266317971
903,1960,Estimates,male,16plus,54.3460338892006
903,1960,Estimates,female,17plus,53.623827919401
903,1960,Estimates,male,17plus,52.3149671462474
903,1960,Estimates,female,18plus,51.6905704425809
903,1960,Estimates,male,18plus,50.3498875876383
903,1960,Estimates,female,18_23,10.5440034432028
903,1960,Estimates,male,18_23,10.6627260949973
903,1960,Estimates,female,20plus,47.9859653069002
903,1960,Estimates,male,20plus,46.5935594068476
903,1960,Estimates,female,20_64,44.5745622028901
903,1960,Estimates,male,20_64,43.8653406272588
903,1960,Estimates,female,20_69,46.1355705791495
903,1960,Estimates,male,20_69,45.1800688674131
903,1960,Estimates,female,21plus,46.2082584138087
903,1960,Estimates,male,21plus,44.794900206234
903,1960,Estimates,female,25plus,39.5434423113004
903,1960,Estimates,male,25plus,38.0727022498482
903,1960,Estimates,female,25_49,27.8779137623045
903,1960,Estimates,male,25_49,27.8003699161971
903,1960,Estimates,female,25_64,36.1320392072903
903,1960,Estimates,male,25_64,35.3444834702594
903,1960,Estimates,female,25_69,37.6930475835496
903,1960,Estimates,male,25_69,36.6592117104137
903,1960,Estimates,female,50plus,11.6655285489959
903,1960,Estimates,male,50plus,10.2723323336512
903,1960,Estimates,female,60plus,5.58598192972066
903,1960,Estimates,male,60plus,4.61879442411645
903,1960,Estimates,female,65plus,3.41140310401009
903,1960,Estimates,male,65plus,2.72821877958884
903,1960,Estimates,female,70plus,1.85039472775077
903,1960,Estimates,male,70plus,1.41349053943448
903,1960,Estimates,female,75plus,0.846135632719229
903,1960,Estimates,male,75plus,0.607138003549793
903,1960,Estimates,female,80plus,0.304017896566399
903,1960,Estimates,male,80plus,0.197631895942772
903,1965,Estimates,female,total,100
903,1965,Estimates,male,total,100
903,1965,Estimates,female,0_1,7.59848824553126
903,1965,Estimates,male,0_1,7.84409525361244
903,1965,Estimates,female,0_4,17.5616356348705
903,1965,Estimates,male,0_4,18.105614721878
903,1965,Estimates,female,0_14,43.1255646209007
903,1965,Estimates,male,0_14,44.3616872261632
903,1965,Estimates,female,0_17,49.1853155790666
903,1965,Estimates,male,0_17,50.5905948539049
903,1965,Estimates,female,0_19,52.8854799928179
903,1965,Estimates,male,0_19,54.3741671197893
903,1965,Estimates,female,0_24,61.1376397920915
903,1965,Estimates,male,0_24,62.6867367469981
903,1965,Estimates,female,3_4,6.47067846038509
903,1965,Estimates,male,3_4,6.66153852783093
903,1965,Estimates,female,3_5,9.48347507617116
903,1965,Estimates,male,3_5,9.75990443239185
903,1965,Estimates,female,3_6,12.3681229180473
903,1965,Estimates,male,3_6,12.7248333958556
903,1965,Estimates,female,4_5,6.16847669895816
903,1965,Estimates,male,4_5,6.34583668712781
903,1965,Estimates,female,4_6,9.05312454083431
903,1965,Estimates,male,4_6,9.31076565059158
903,1965,Estimates,female,5_10,16.3909580294943
903,1965,Estimates,male,5_10,16.839646793531
903,1965,Estimates,female,5_11,18.803031243555
903,1965,Estimates,male,5_11,19.3150771590781
903,1965,Estimates,female,5_14,25.5639289860302
903,1965,Estimates,male,5_14,26.2560725042851
903,1965,Estimates,female,6_9,10.8912786330969
903,1965,Estimates,male,6_9,11.1883251794156
903,1965,Estimates,female,6_10,13.3781614137082
903,1965,Estimates,male,6_10,13.7412808889701
903,1965,Estimates,female,6_11,15.7902346277689
903,1965,Estimates,male,6_11,16.2167112545172
903,1965,Estimates,female,6_12,18.1266000217755
903,1965,Estimates,male,6_12,18.6143483680122
903,1965,Estimates,female,7_10,10.493513571832
903,1965,Estimates,male,7_10,10.7763519255063
903,1965,Estimates,female,7_12,15.2419521798994
903,1965,Estimates,male,7_12,15.6494194045485
903,1965,Estimates,female,11_16,13.2839454941257
903,1965,Estimates,male,11_16,13.6425102496684
903,1965,Estimates,female,11_17,15.2327219147019
903,1965,Estimates,male,11_17,15.6453333384958
903,1965,Estimates,female,11_18,17.11461736946
903,1965,Estimates,male,11_18,17.5738959393946
903,1965,Estimates,female,12_14,6.76089774247519
903,1965,Estimates,male,12_14,6.94099534520701
903,1965,Estimates,female,12_16,10.8718722800649
903,1965,Estimates,male,12_16,11.1670798841213
903,1965,Estimates,female,12_17,12.8206487006411
903,1965,Estimates,male,12_17,13.1699029729487
903,1965,Estimates,female,12_18,14.7025441553993
903,1965,Estimates,male,12_18,15.0984655738475
903,1965,Estimates,female,13_17,10.4842833066345
903,1965,Estimates,male,13_17,10.7722658594537
903,1965,Estimates,female,13_18,12.3661787613927
903,1965,Estimates,male,13_18,12.7008284603525
903,1965,Estimates,female,13_19,14.1844477203858
903,1965,Estimates,male,13_19,14.5558381253381
903,1965,Estimates,female,15plus,56.8744353790993
903,1965,Estimates,male,15plus,55.6383127738368
903,1965,Estimates,female,15_17,6.0597509581659
903,1965,Estimates,male,15_17,6.22890762774171
903,1965,Estimates,female,15_24,18.0120751711908
903,1965,Estimates,male,15_24,18.3250495208349
903,1965,Estimates,female,15_49,45.3645930659574
903,1965,Estimates,male,15_49,45.460584200657
903,1965,Estimates,female,15_59,51.2932299016458
903,1965,Estimates,male,15_59,51.0198547338883
903,1965,Estimates,female,15_64,53.4180578311174
903,1965,Estimates,male,15_64,52.8932457634152
903,1965,Estimates,female,16plus,54.7823399555662
903,1965,Estimates,male,16plus,53.4883838131833
903,1965,Estimates,female,17plus,52.7634608415096
903,1965,Estimates,male,17plus,51.4122282349225
903,1965,Estimates,female,18plus,50.8146844209334
903,1965,Estimates,male,18plus,49.4094051460952
903,1965,Estimates,female,18_23,10.3990968734403
903,1965,Estimates,male,18_23,10.5421122407311
903,1965,Estimates,female,20plus,47.1145200071821
903,1965,Estimates,male,20plus,45.6258328802107
903,1965,Estimates,female,20_64,43.6581424592002
903,1965,Estimates,male,20_64,42.8807658697891
903,1965,Estimates,female,20_69,45.2327962955284
903,1965,Estimates,male,20_69,44.1987448039734
903,1965,Estimates,female,21plus,45.3570802318053
903,1965,Estimates,male,21plus,43.841045098666
903,1965,Estimates,female,25plus,38.8623602079085
903,1965,Estimates,male,25plus,37.3132632530019
903,1965,Estimates,female,25_49,27.3525178947666
903,1965,Estimates,male,25_49,27.1355346798221
903,1965,Estimates,female,25_64,35.4059826599266
903,1965,Estimates,male,25_64,34.5681962425803
903,1965,Estimates,female,25_69,36.9806364962548
903,1965,Estimates,male,25_69,35.8861751767647
903,1965,Estimates,female,50plus,11.5098423131419
903,1965,Estimates,male,50plus,10.1777285731798
903,1965,Estimates,female,60plus,5.58120547745349
903,1965,Estimates,male,60plus,4.61845803994852
903,1965,Estimates,female,65plus,3.45637754798194
903,1965,Estimates,male,65plus,2.74506701042162
903,1965,Estimates,female,70plus,1.88172371165366
903,1965,Estimates,male,70plus,1.42708807623726
903,1965,Estimates,female,75plus,0.869789864033332
903,1965,Estimates,male,75plus,0.615884374135271
903,1965,Estimates,female,80plus,0.318747170872132
903,1965,Estimates,male,80plus,0.204646149989662
903,1970,Estimates,female,total,100
903,1970,Estimates,male,total,100
903,1970,Estimates,female,0_1,7.55767596289011
903,1970,Estimates,male,0_1,7.77931914258555
903,1970,Estimates,female,0_4,17.5675113641142
903,1970,Estimates,male,0_4,18.0758418554103
903,1970,Estimates,female,0_14,43.5958068071916
903,1970,Estimates,male,0_14,44.8022651427234
903,1970,Estimates,female,0_17,49.8158184278226
903,1970,Estimates,male,0_17,51.1808341647735
903,1970,Estimates,female,0_19,53.5991746237989
903,1970,Estimates,male,0_19,55.0548928500058
903,1970,Estimates,female,0_24,61.8943545539798
903,1970,Estimates,male,0_24,63.4985688629314
903,1970,Estimates,female,3_4,6.51355260953942
903,1970,Estimates,male,3_4,6.69912948385435
903,1970,Estimates,female,3_5,9.56084147414769
903,1970,Estimates,male,3_5,9.83186751358772
903,1970,Estimates,female,3_6,12.4860320785117
903,1970,Estimates,male,3_6,12.8382034216533
903,1970,Estimates,female,4_5,6.22947936722603
903,1970,Estimates,male,4_5,6.40511206652055
903,1970,Estimates,female,4_6,9.15466997159006
903,1970,Estimates,male,4_6,9.41144797458615
903,1970,Estimates,female,5_10,16.6579814092232
903,1970,Estimates,male,5_10,17.1131253192848
903,1970,Estimates,female,5_11,19.1182754308697
