agebroad,gender,percentagetotalpopulation,continent,variant,year
12_16,female,10.061,935,estimates,1952
12_17,female,11.992,935,estimates,1952
12_18,female,13.895,935,estimates,1952
13_17,female,9.954,935,estimates,1952
13_18,female,11.856,935,estimates,1952
13_19,female,13.725,935,estimates,1952
15_17,female,5.893,935,estimates,1952
18_23,female,10.78,935,estimates,1952
15_24,female,18.304,935,estimates,1952
15_49,female,48.752,935,estimates,1952
15_59,female,55.784,935,estimates,1952
15_64,female,58.376,935,estimates,1952
20_64,female,48.712,935,estimates,1952
20_69,female,50.671,935,estimates,1952
25_49,female,30.447,935,estimates,1952
25_64,female,40.072,935,estimates,1952
25_69,female,42.031,935,estimates,1952
15plus,female,62.866,935,estimates,1952
16plus,female,60.867,935,estimates,1952
17plus,female,58.904,935,estimates,1952
18plus,female,56.973,935,estimates,1952
20plus,female,53.202,935,estimates,1952
21plus,female,51.376,935,estimates,1952
25plus,female,44.562,935,estimates,1952
50plus,female,14.114,935,estimates,1952
60plus,female,7.082,935,estimates,1952
65plus,female,4.49,935,estimates,1952
70plus,female,2.53,935,estimates,1952
75plus,female,1.239,935,estimates,1952
80plus,female,0.493,935,estimates,1952
85plus,female,0.148,935,estimates,1952
90plus,female,0.034,935,estimates,1952
total,female,100,935,estimates,1952
0_1,male,7.075,935,estimates,1952
0_4,male,15.464,935,estimates,1952
0_14,male,37.454,935,estimates,1952
0_17,male,43.477,935,estimates,1952
0_19,male,47.308,935,estimates,1952
0_24,male,56.191,935,estimates,1952
3_4,male,5.407,935,estimates,1952
3_5,male,7.89,935,estimates,1952
3_6,male,10.261,935,estimates,1952
4_5,male,5.104,935,estimates,1952
4_6,male,7.475,935,estimates,1952
5_14,male,21.99,935,estimates,1952
5_10,male,13.634,935,estimates,1952
5_11,male,15.736,935,estimates,1952
6_9,male,9.026,935,estimates,1952
6_10,male,11.151,935,estimates,1952
6_11,male,13.253,935,estimates,1952
6_12,male,15.342,935,estimates,1952
7_10,male,8.779,935,estimates,1952
7_12,male,12.97,935,estimates,1952
11_16,male,12.409,935,estimates,1952
11_17,male,14.378,935,estimates,1952
11_18,male,16.312,935,estimates,1952
12_14,male,6.254,935,estimates,1952
12_16,male,10.307,935,estimates,1952
12_17,male,12.276,935,estimates,1952
12_18,male,14.21,935,estimates,1952
13_17,male,10.187,935,estimates,1952
13_18,male,12.121,935,estimates,1952
13_19,male,14.018,935,estimates,1952
15_17,male,6.022,935,estimates,1952
18_23,male,11.021,935,estimates,1952
15_24,male,18.736,935,estimates,1952
15_49,male,49.64,935,estimates,1952
15_59,male,56.605,935,estimates,1952
15_64,male,58.993,935,estimates,1952
20_64,male,49.14,935,estimates,1952
20_69,male,50.809,935,estimates,1952
25_49,male,30.904,935,estimates,1952
