global,variant,year,populationdensitypersqkm
900,mediumvariant,2070,81.0797439083312
900,nochange,2070,95.2332972764712
900,zeromigration,2070,81.0311134217448
900,constantfertility,2071,111.653651209726
900,constantmortality,2071,70.5593974005126
900,highvariant,2071,100.298033522687
900,instantreplacement,2071,75.706489844481
900,lowvariant,2071,65.2072615726489
900,mediumvariant,2071,81.3273966253331
900,nochange,2071,96.3514771849116
900,zeromigration,2071,81.2752551777071
900,constantfertility,2072,113.480616834901
900,constantmortality,2072,70.4873729236573
900,highvariant,2072,101.1565023188
900,instantreplacement,2072,75.8523863467477
900,lowvariant,2072,65.0053827925699
900,mediumvariant,2072,81.5693874136962
900,nochange,2072,97.5031223390284
900,zeromigration,2072,81.5136977166111
900,constantfertility,2073,115.367087644135
900,constantmortality,2073,70.4086229872581
900,highvariant,2073,102.021117600835
900,instantreplacement,2073,75.9943502928524
900,lowvariant,2073,64.7934192437786
900,mediumvariant,2073,81.805676840398
900,nochange,2073,98.6895103687466
900,zeromigration,2073,81.7464179244027
900,constantfertility,2074,117.315339007375
900,constantmortality,2074,70.323350513802
900,highvariant,2074,102.892095297259
900,instantreplacement,2074,76.1326664230382
900,lowvariant,2074,64.571305658089
900,mediumvariant,2074,82.0362006057831
900,nochange,2074,99.9119520569394
900,zeromigration,2074,81.9733701955999
900,constantfertility,2075,119.32775669934
900,constantmortality,2075,70.2317244580321
900,highvariant,2075,103.769584200471
900,instantreplacement,2075,76.2676161030656
900,lowvariant,2075,64.3390403213564
900,mediumvariant,2075,82.2609194459379
900,nochange,2075,101.171738854307
900,zeromigration,2075,82.1945312777869
900,constantfertility,2076,121.406897916942
900,constantmortality,2076,70.1338933586858
900,highvariant,2076,104.65373247256
900,instantreplacement,2076,76.3994583686892
900,lowvariant,2076,64.0967522326022
900,mediumvariant,2076,82.4798862687554
900,nochange,2076,102.470111563558
900,zeromigration,2076,82.4099641638721
900,constantfertility,2077,123.555412559283
900,constantmortality,2077,70.0299487803174
900,highvariant,2077,105.544551489913
900,instantreplacement,2077,76.5284505645786
900,lowvariant,2077,63.8446304781653
900,mediumvariant,2077,82.6931554195512
900,nochange,2077,103.808285398218
900,zeromigration,2077,82.6197307014376
