region,year,variant,gender,freq,agebroad,totaldeaths
1517,1970,estimates,female,5yearly,15plus,43435.661
1517,1970,estimates,male,5yearly,15plus,46835.401
1517,1970,estimates,female,5yearly,15_24,3018.211
1517,1970,estimates,male,5yearly,15_24,3364.597
1517,1970,estimates,female,5yearly,15_49,11747.2
1517,1970,estimates,male,5yearly,15_49,14119.873
1517,1970,estimates,female,5yearly,15_59,17532.701
1517,1970,estimates,male,5yearly,15_59,22010.813
1517,1970,estimates,female,5yearly,15_64,21720.696
1517,1970,estimates,male,5yearly,15_64,27323.821
1517,1970,estimates,female,5yearly,20plus,41990.379
1517,1970,estimates,male,5yearly,20plus,45217.36
1517,1970,estimates,female,5yearly,20_64,20275.414
1517,1970,estimates,male,5yearly,20_64,25705.78
1517,1970,estimates,female,5yearly,20_69,25239.682
1517,1970,estimates,male,5yearly,20_69,31351.447
1517,1970,estimates,female,5yearly,25plus,40417.45
1517,1970,estimates,male,5yearly,25plus,43470.804
1517,1970,estimates,female,5yearly,25_69,23666.753
1517,1970,estimates,male,5yearly,25_69,29604.891
1517,1970,estimates,female,5yearly,40plus,35680.222
1517,1970,estimates,male,5yearly,40plus,38082.283
1517,1970,estimates,female,5yearly,50plus,31688.461
1517,1970,estimates,male,5yearly,50plus,32715.528
1517,1970,estimates,female,5yearly,60plus,25902.96
1517,1970,estimates,male,5yearly,60plus,24824.588
1517,1970,estimates,female,5yearly,65plus,21714.965
1517,1970,estimates,male,5yearly,65plus,19511.58
1517,1970,estimates,female,5yearly,70plus,16750.697
1517,1970,estimates,male,5yearly,70plus,13865.913
1517,1970,estimates,female,5yearly,80plus,6525.346
1517,1970,estimates,male,5yearly,80plus,4293.614
1517,1970,estimates,female,5yearly,90plus,866.345
1517,1970,estimates,male,5yearly,90plus,404.828
1517,1975,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1975,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1975,estimates,female,5yearly,0_4,29192.491
1517,1975,estimates,male,5yearly,0_4,32615.573
1517,1975,estimates,female,5yearly,0_14,33130.628
1517,1975,estimates,male,5yearly,0_14,36811.502
1517,1975,estimates,female,5yearly,0_19,34594.552
1517,1975,estimates,male,5yearly,0_19,38506.835
1517,1975,estimates,female,5yearly,0_24,36255.288
1517,1975,estimates,male,5yearly,0_24,40418.628
1517,1975,estimates,female,5yearly,5_14,3938.137
1517,1975,estimates,male,5yearly,5_14,4195.929
1517,1975,estimates,female,5yearly,15plus,45421.694
1517,1975,estimates,male,5yearly,15plus,50109.66
1517,1975,estimates,female,5yearly,15_24,3124.66
1517,1975,estimates,male,5yearly,15_24,3607.126
1517,1975,estimates,female,5yearly,15_49,11359.033
1517,1975,estimates,male,5yearly,15_49,14439.192
1517,1975,estimates,female,5yearly,15_59,16968.365
1517,1975,estimates,male,5yearly,15_59,22397.997
1517,1975,estimates,female,5yearly,15_64,21042.99
1517,1975,estimates,male,5yearly,15_64,27745.295
1517,1975,estimates,female,5yearly,20plus,43957.77
1517,1975,estimates,male,5yearly,20plus,48414.327
1517,1975,estimates,female,5yearly,20_64,19579.066
1517,1975,estimates,male,5yearly,20_64,26049.962
1517,1975,estimates,female,5yearly,20_69,24753.765
1517,1975,estimates,male,5yearly,20_69,32150.142
1517,1975,estimates,female,5yearly,25plus,42297.034
1517,1975,estimates,male,5yearly,25plus,46502.534
1517,1975,estimates,female,5yearly,25_69,23093.029
1517,1975,estimates,male,5yearly,25_69,30238.349
1517,1975,estimates,female,5yearly,40plus,37780.395
1517,1975,estimates,male,5yearly,40plus,41018.444
1517,1975,estimates,female,5yearly,50plus,34062.661
1517,1975,estimates,male,5yearly,50plus,35670.468
1517,1975,estimates,female,5yearly,60plus,28453.329
1517,1975,estimates,male,5yearly,60plus,27711.663
1517,1975,estimates,female,5yearly,65plus,24378.704
1517,1975,estimates,male,5yearly,65plus,22364.365
1517,1975,estimates,female,5yearly,70plus,19204.005
1517,1975,estimates,male,5yearly,70plus,16264.185
1517,1975,estimates,female,5yearly,80plus,7626.477
1517,1975,estimates,male,5yearly,80plus,5224.451
1517,1975,estimates,female,5yearly,90plus,1089.933
1517,1975,estimates,male,5yearly,90plus,511.089
1517,1980,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1980,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1980,estimates,female,5yearly,0_4,26575.909
1517,1980,estimates,male,5yearly,0_4,29735.212
1517,1980,estimates,female,5yearly,0_14,30040.19
1517,1980,estimates,male,5yearly,0_14,33444.536
1517,1980,estimates,female,5yearly,0_19,31456.221
1517,1980,estimates,male,5yearly,0_19,35261.222
1517,1980,estimates,female,5yearly,0_24,33077.365
1517,1980,estimates,male,5yearly,0_24,37463.105
1517,1980,estimates,female,5yearly,5_14,3464.281
1517,1980,estimates,male,5yearly,5_14,3709.324
1517,1980,estimates,female,5yearly,15plus,49034.618
1517,1980,estimates,male,5yearly,15plus,55875.73
1517,1980,estimates,female,5yearly,15_24,3037.175
1517,1980,estimates,male,5yearly,15_24,4018.569
1517,1980,estimates,female,5yearly,15_49,11147.068
1517,1980,estimates,male,5yearly,15_49,15610.881
1517,1980,estimates,female,5yearly,15_59,17044.197
1517,1980,estimates,male,5yearly,15_59,24465.221
1517,1980,estimates,female,5yearly,15_64,21266.091
1517,1980,estimates,male,5yearly,15_64,30154.853
1517,1980,estimates,female,5yearly,20plus,47618.587
1517,1980,estimates,male,5yearly,20plus,54059.044
1517,1980,estimates,female,5yearly,20_64,19850.06
1517,1980,estimates,male,5yearly,20_64,28338.167
1517,1980,estimates,female,5yearly,20_69,25219.208
1517,1980,estimates,male,5yearly,20_69,34923.937
1517,1980,estimates,female,5yearly,25plus,45997.443
1517,1980,estimates,male,5yearly,25plus,51857.161
1517,1980,estimates,female,5yearly,25_69,23598.064
1517,1980,estimates,male,5yearly,25_69,32722.054
1517,1980,estimates,female,5yearly,40plus,41502.083
1517,1980,estimates,male,5yearly,40plus,45702.794
1517,1980,estimates,female,5yearly,50plus,37887.55
1517,1980,estimates,male,5yearly,50plus,40264.849
1517,1980,estimates,female,5yearly,60plus,31990.421
1517,1980,estimates,male,5yearly,60plus,31410.509
1517,1980,estimates,female,5yearly,65plus,27768.527
1517,1980,estimates,male,5yearly,65plus,25720.877
1517,1980,estimates,female,5yearly,70plus,22399.379
1517,1980,estimates,male,5yearly,70plus,19135.107
1517,1980,estimates,female,5yearly,80plus,9295.983
1517,1980,estimates,male,5yearly,80plus,6340.666
1517,1980,estimates,female,5yearly,90plus,1368.402
1517,1980,estimates,male,5yearly,90plus,642.864
1517,1985,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1985,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1985,estimates,female,5yearly,0_4,24984.945
1517,1985,estimates,male,5yearly,0_4,27977.605
1517,1985,estimates,female,5yearly,0_14,28274.821
1517,1985,estimates,male,5yearly,0_14,31448.852
1517,1985,estimates,female,5yearly,0_19,29705.622
1517,1985,estimates,male,5yearly,0_19,33207.57
1517,1985,estimates,female,5yearly,0_24,31389.206
1517,1985,estimates,male,5yearly,0_24,35392.004
1517,1985,estimates,female,5yearly,5_14,3289.876
1517,1985,estimates,male,5yearly,5_14,3471.247
1517,1985,estimates,female,5yearly,15plus,53575.829
1517,1985,estimates,male,5yearly,15plus,60408.719
1517,1985,estimates,female,5yearly,15_24,3114.385
1517,1985,estimates,male,5yearly,15_24,3943.152
1517,1985,estimates,female,5yearly,15_49,11445.796
1517,1985,estimates,male,5yearly,15_49,15788.831
1517,1985,estimates,female,5yearly,15_59,17549.664
1517,1985,estimates,male,5yearly,15_59,25012.801
1517,1985,estimates,female,5yearly,15_64,22176.58
1517,1985,estimates,male,5yearly,15_64,31390.203
1517,1985,estimates,female,5yearly,20plus,52145.028
1517,1985,estimates,male,5yearly,20plus,58650.001
1517,1985,estimates,female,5yearly,20_64,20745.779
1517,1985,estimates,male,5yearly,20_64,29631.485
1517,1985,estimates,female,5yearly,20_69,26483.771
1517,1985,estimates,male,5yearly,20_69,36626.322
1517,1985,estimates,female,5yearly,25plus,50461.444
1517,1985,estimates,male,5yearly,25plus,56465.567
1517,1985,estimates,female,5yearly,25_69,24800.187
1517,1985,estimates,male,5yearly,25_69,34441.888
1517,1985,estimates,female,5yearly,40plus,45706.123
1517,1985,estimates,male,5yearly,40plus,49947.209
1517,1985,estimates,female,5yearly,50plus,42130.033
1517,1985,estimates,male,5yearly,50plus,44619.888
1517,1985,estimates,female,5yearly,60plus,36026.165
1517,1985,estimates,male,5yearly,60plus,35395.918
1517,1985,estimates,female,5yearly,65plus,31399.249
