continent,year,variant,gender,freq,agebroad,totaldeaths
908,1980,estimates,male,5yearly,15_64,7057.602
908,1980,estimates,female,5yearly,20plus,18047.307
908,1980,estimates,male,5yearly,20plus,18256.968
908,1980,estimates,female,5yearly,20_64,3374.759
908,1980,estimates,male,5yearly,20_64,6909.459
908,1980,estimates,female,5yearly,20_69,4900.627
908,1980,estimates,male,5yearly,20_69,8894.567
908,1980,estimates,female,5yearly,25plus,17973.437
908,1980,estimates,male,5yearly,25plus,18004.129
908,1980,estimates,female,5yearly,25_69,4826.757
908,1980,estimates,male,5yearly,25_69,8641.728
908,1980,estimates,female,5yearly,40plus,17628.157
908,1980,estimates,male,5yearly,40plus,16990.857
908,1980,estimates,female,5yearly,50plus,17047.09
908,1980,estimates,male,5yearly,50plus,15585.285
908,1980,estimates,female,5yearly,60plus,15679.596
908,1980,estimates,male,5yearly,60plus,12886.509
908,1980,estimates,female,5yearly,65plus,14672.548
908,1980,estimates,male,5yearly,65plus,11347.509
908,1980,estimates,female,5yearly,70plus,13146.68
908,1980,estimates,male,5yearly,70plus,9362.401
908,1980,estimates,female,5yearly,80plus,7232.826
908,1980,estimates,male,5yearly,80plus,3782.946
908,1980,estimates,female,5yearly,90plus,1492.121
908,1980,estimates,male,5yearly,90plus,520.184
908,1985,estimates,female,5yearly,0_4,388.545
908,1985,estimates,male,5yearly,0_4,531.855
908,1985,estimates,female,5yearly,0_14,447.071
908,1985,estimates,male,5yearly,0_14,634.595
908,1985,estimates,female,5yearly,0_19,494.104
908,1985,estimates,male,5yearly,0_19,757.06
908,1985,estimates,female,5yearly,0_24,557.985
908,1985,estimates,male,5yearly,0_24,960.844
908,1985,estimates,female,5yearly,5_14,58.526
908,1985,estimates,male,5yearly,5_14,102.74
908,1985,estimates,female,5yearly,15plus,18705.697
908,1985,estimates,male,5yearly,15plus,18278.609
908,1985,estimates,female,5yearly,15_24,110.914
908,1985,estimates,male,5yearly,15_24,326.249
908,1985,estimates,female,5yearly,15_49,949.323
908,1985,estimates,male,5yearly,15_49,2424.376
908,1985,estimates,female,5yearly,15_59,2183.788
908,1985,estimates,male,5yearly,15_59,5036.285
908,1985,estimates,female,5yearly,15_64,3342.219
908,1985,estimates,male,5yearly,15_64,6963.557
908,1985,estimates,female,5yearly,20plus,18658.664
908,1985,estimates,male,5yearly,20plus,18156.144
908,1985,estimates,female,5yearly,20_64,3295.186
908,1985,estimates,male,5yearly,20_64,6841.092
908,1985,estimates,female,5yearly,20_69,4743.58
908,1985,estimates,male,5yearly,20_69,8742.983
908,1985,estimates,female,5yearly,25plus,18594.783
908,1985,estimates,male,5yearly,25plus,17952.36
908,1985,estimates,female,5yearly,25_69,4679.699
908,1985,estimates,male,5yearly,25_69,8539.199
908,1985,estimates,female,5yearly,40plus,18260.285
908,1985,estimates,male,5yearly,40plus,17017.596
908,1985,estimates,female,5yearly,50plus,17756.374
908,1985,estimates,male,5yearly,50plus,15854.233
908,1985,estimates,female,5yearly,60plus,16521.909
908,1985,estimates,male,5yearly,60plus,13242.324
908,1985,estimates,female,5yearly,65plus,15363.478
908,1985,estimates,male,5yearly,65plus,11315.052
908,1985,estimates,female,5yearly,70plus,13915.084
908,1985,estimates,male,5yearly,70plus,9413.161
