global,year,variant,freq,age1yearinterval,lifeexpectancy
900,2000,estimates,5yearly,35,39.9692900541438
900,2000,estimates,5yearly,40,35.5609908736763
900,2000,estimates,5yearly,45,31.2284215912855
900,2000,estimates,5yearly,50,27.0021754992658
900,2000,estimates,5yearly,55,22.9256704343604
900,2000,estimates,5yearly,60,19.072624772632
900,2000,estimates,5yearly,65,15.5419368802
900,2000,estimates,5yearly,70,12.3817132802288
900,2000,estimates,5yearly,75,9.64171754686039
900,2000,estimates,5yearly,80,7.36468262884841
900,2000,estimates,5yearly,85,5.54678530645462
900,2000,estimates,5yearly,90,4.1550736824427
900,2000,estimates,5yearly,95,3.13288228381264
900,2000,estimates,5yearly,100plus,2.41037678468638
900,2005,estimates,5yearly,0,69.0744372026737
900,2005,estimates,5yearly,1,71.0427285931049
900,2005,estimates,5yearly,5,68.2456220658987
900,2005,estimates,5yearly,10,63.7253675796297
900,2005,estimates,5yearly,15,59.0195136895332
900,2005,estimates,5yearly,20,54.369624344457
900,2005,estimates,5yearly,25,49.816675641744
900,2005,estimates,5yearly,30,45.3175569028443
900,2005,estimates,5yearly,35,40.8448134446031
900,2005,estimates,5yearly,40,36.3974843285071
900,2005,estimates,5yearly,45,32.0052651940073
900,2005,estimates,5yearly,50,27.731904087369
900,2005,estimates,5yearly,55,23.611095139171
900,2005,estimates,5yearly,60,19.6956325176288
900,2005,estimates,5yearly,65,16.0787574377718
900,2005,estimates,5yearly,70,12.8498521578396
900,2005,estimates,5yearly,75,10.0494244436291
900,2005,estimates,5yearly,80,7.70715815686383
900,2005,estimates,5yearly,85,5.82335060323349
900,2005,estimates,5yearly,90,4.36951643708292
900,2005,estimates,5yearly,95,3.29273225808756
900,2005,estimates,5yearly,100plus,2.52535317427769
900,2010,estimates,5yearly,0,70.7936998293887
900,2010,estimates,5yearly,1,72.3567910921322
900,2010,estimates,5yearly,5,69.3338021871097
900,2010,estimates,5yearly,10,64.7519122618868
900,2010,estimates,5yearly,15,60.0302990643512
900,2010,estimates,5yearly,20,55.3721878145391
900,2010,estimates,5yearly,25,50.7834774774908
900,2010,estimates,5yearly,30,46.2211311453511
900,2010,estimates,5yearly,35,41.6958204238763
900,2010,estimates,5yearly,40,37.2030170864488
900,2010,estimates,5yearly,45,32.7482259262882
900,2010,estimates,5yearly,50,28.3942291251181
900,2010,estimates,5yearly,55,24.2113533346046
900,2010,estimates,5yearly,60,20.2489393640782
900,2010,estimates,5yearly,65,16.5716744561953
900,2010,estimates,5yearly,70,13.2743135162685
900,2010,estimates,5yearly,75,10.4073761001988
900,2010,estimates,5yearly,80,7.99740362600791
900,2010,estimates,5yearly,85,6.04889292358907
900,2010,estimates,5yearly,90,4.53724396642641
900,2010,estimates,5yearly,95,3.41221287484336
900,2010,estimates,5yearly,100plus,2.60713930858319
900,2015,medium_variant,5yearly,0,71.9580316091507
900,2015,medium_variant,5yearly,1,73.2376814811191
900,2015,medium_variant,5yearly,5,70.120976324975
900,2015,medium_variant,5yearly,10,65.4897578946881
900,2015,medium_variant,5yearly,15,60.7447854853651
900,2015,medium_variant,5yearly,20,56.0704390296058
900,2015,medium_variant,5yearly,25,51.4703922975026
900,2015,medium_variant,5yearly,30,46.8747742708522
900,2015,medium_variant,5yearly,35,42.3007225923739
900,2015,medium_variant,5yearly,40,37.7793139205603
900,2015,medium_variant,5yearly,45,33.3093810898813
900,2015,medium_variant,5yearly,50,28.9228157936609
900,2015,medium_variant,5yearly,55,24.6879473757227
900,2015,medium_variant,5yearly,60,20.6854321093648
900,2015,medium_variant,5yearly,65,16.9819165856587
900,2015,medium_variant,5yearly,70,13.6276936001031
900,2015,medium_variant,5yearly,75,10.6948385849181
900,2015,medium_variant,5yearly,80,8.22057694248805
900,2015,medium_variant,5yearly,85,6.21350216241619
900,2015,medium_variant,5yearly,90,4.65228449661769
900,2015,medium_variant,5yearly,95,3.4883747546075
900,2015,medium_variant,5yearly,100plus,2.65502452172378
900,2020,medium_variant,5yearly,0,72.9458418882208
900,2020,medium_variant,5yearly,1,74.0035964811195
900,2020,medium_variant,5yearly,5,70.8024689546465
900,2020,medium_variant,5yearly,10,66.1330992652715
900,2020,medium_variant,5yearly,15,61.3614118337468
900,2020,medium_variant,5yearly,20,56.6602708096182
900,2020,medium_variant,5yearly,25,52.0397090075437
