country,year,variant,agebroad,population
512,2010,estimates,15_24,612.18
512,2010,estimates,15_49,1867.933
512,2010,estimates,15_59,2041.087
512,2010,estimates,15_64,2082.044
512,2010,estimates,16plus,2114.501
512,2010,estimates,17plus,2064.272
512,2010,estimates,18plus,2012.23
512,2010,estimates,18_23,384.986
512,2010,estimates,20plus,1898.143
512,2010,estimates,20_64,1816.38
512,2010,estimates,20_69,1849.75
512,2010,estimates,21plus,1835.518
512,2010,estimates,25plus,1551.627
512,2010,estimates,25_49,1255.753
512,2010,estimates,25_64,1469.864
512,2010,estimates,25_69,1503.234
512,2010,estimates,50plus,295.874
512,2010,estimates,60plus,122.72
512,2010,estimates,65plus,81.763
512,2010,estimates,70plus,48.393
512,2010,estimates,75plus,26.029
512,2010,estimates,80plus,13.112
512,2010,estimates,85plus,5.449
512,2010,estimates,90plus,1.884
512,2015,constant-fertility,total,4490.541
512,2015,constant-mortality,total,4490.541
512,2015,estimates,total,4490.541
512,2015,high variant,total,4490.541
512,2015,instant-replacement,total,4490.541
512,2015,low variant,total,4490.541
512,2015,medium variant,total,4490.541
512,2015,no change,total,4490.541
512,2015,zero-migration,total,4490.541
512,2015,estimates,0_1,160.013
512,2015,medium variant,0_1,160.013
512,2015,constant-fertility,0_4,385.293
512,2015,constant-mortality,0_4,385.293
512,2015,estimates,0_4,385.293
512,2015,high variant,0_4,385.293
512,2015,instant-replacement,0_4,385.293
512,2015,low variant,0_4,385.293
512,2015,medium variant,0_4,385.293
512,2015,no change,0_4,385.293
512,2015,zero-migration,0_4,385.293
512,2015,constant-fertility,0_14,921.495
512,2015,constant-mortality,0_14,921.495
512,2015,estimates,0_14,921.495
512,2015,high variant,0_14,921.495
512,2015,instant-replacement,0_14,921.495
512,2015,low variant,0_14,921.495
512,2015,medium variant,0_14,921.495
512,2015,no change,0_14,921.495
512,2015,zero-migration,0_14,921.495
512,2015,estimates,0_17,1051.173
512,2015,medium variant,0_17,1051.173
512,2015,constant-fertility,0_19,1167.66
512,2015,constant-mortality,0_19,1167.66
512,2015,estimates,0_19,1167.66
512,2015,high variant,0_19,1167.66
512,2015,instant-replacement,0_19,1167.66
512,2015,low variant,0_19,1167.66
512,2015,medium variant,0_19,1167.66
512,2015,no change,0_19,1167.66
512,2015,zero-migration,0_19,1167.66
512,2015,constant-fertility,0_24,1651.773
512,2015,constant-mortality,0_24,1651.773
512,2015,estimates,0_24,1651.773
512,2015,high variant,0_24,1651.773
512,2015,instant-replacement,0_24,1651.773
512,2015,low variant,0_24,1651.773
512,2015,medium variant,0_24,1651.773
512,2015,no change,0_24,1651.773
512,2015,zero-migration,0_24,1651.773
512,2015,estimates,3_4,147.522
512,2015,medium variant,3_4,147.522
512,2015,estimates,3_5,216.316
512,2015,medium variant,3_5,216.316
512,2015,estimates,3_6,281.396
512,2015,medium variant,3_6,281.396
512,2015,estimates,4_5,141.038
512,2015,medium variant,4_5,141.038
512,2015,estimates,4_6,206.118
512,2015,medium variant,4_6,206.118
512,2015,estimates,5_10,356.792
512,2015,medium variant,5_10,356.792
512,2015,estimates,5_11,404.573
512,2015,medium variant,5_11,404.573
512,2015,constant-fertility,5_14,536.202
512,2015,constant-mortality,5_14,536.202
512,2015,estimates,5_14,536.202
512,2015,high variant,5_14,536.202
512,2015,instant-replacement,5_14,536.202
512,2015,low variant,5_14,536.202
512,2015,medium variant,5_14,536.202
512,2015,no change,5_14,536.202
512,2015,zero-migration,5_14,536.202
512,2015,estimates,6_9,237.512
512,2015,medium variant,6_9,237.512
512,2015,estimates,6_10,287.998
512,2015,medium variant,6_10,287.998
512,2015,estimates,6_11,335.779
512,2015,medium variant,6_11,335.779
512,2015,estimates,6_12,381.265
512,2015,medium variant,6_12,381.265
512,2015,estimates,7_10,222.918
512,2015,medium variant,7_10,222.918
512,2015,estimates,7_12,316.185
