country,year,variant,gender,freq,age1yearinterval,survivorage
116,1995,estimates,male,5yearly,90,1632.9828
116,1995,estimates,female,5yearly,95,576.39939
116,1995,estimates,male,5yearly,95,262.44857
116,1995,estimates,female,5yearly,100plus,58.416287
116,1995,estimates,male,5yearly,100plus,22.725125
116,2000,estimates,female,5yearly,0,100000
116,2000,estimates,male,5yearly,0,100000
116,2000,estimates,female,5yearly,1,94114.163
116,2000,estimates,male,5yearly,1,92737.416
116,2000,estimates,female,5yearly,5,92229.367
116,2000,estimates,male,5yearly,5,90848.448
116,2000,estimates,female,5yearly,10,90910.304
116,2000,estimates,male,5yearly,10,89172.453
116,2000,estimates,female,5yearly,15,89852.84
116,2000,estimates,male,5yearly,15,87883.925
116,2000,estimates,female,5yearly,20,88893.002
116,2000,estimates,male,5yearly,20,86713.237
116,2000,estimates,female,5yearly,25,87901.977
116,2000,estimates,male,5yearly,25,85397.109
116,2000,estimates,female,5yearly,30,86739.925
116,2000,estimates,male,5yearly,30,83635.392
116,2000,estimates,female,5yearly,35,85285.416
116,2000,estimates,male,5yearly,35,81383.977
116,2000,estimates,female,5yearly,40,83457.629
116,2000,estimates,male,5yearly,40,78815.645
116,2000,estimates,female,5yearly,45,81205.239
116,2000,estimates,male,5yearly,45,76027.275
116,2000,estimates,female,5yearly,50,78468.503
116,2000,estimates,male,5yearly,50,72911.775
116,2000,estimates,female,5yearly,55,75142.589
116,2000,estimates,male,5yearly,55,69201.602
116,2000,estimates,female,5yearly,60,70699.617
116,2000,estimates,male,5yearly,60,63749.296
116,2000,estimates,female,5yearly,65,63749.453
116,2000,estimates,male,5yearly,65,55046.617
116,2000,estimates,female,5yearly,70,53988
116,2000,estimates,male,5yearly,70,43945.134
116,2000,estimates,female,5yearly,75,40797.371
116,2000,estimates,male,5yearly,75,30894.44
116,2000,estimates,female,5yearly,80,25645.908
116,2000,estimates,male,5yearly,80,17794.11
116,2000,estimates,female,5yearly,85,12264.971
