region,year,variant,gender,freq,age1yearinterval,survivorage
912,1985,estimates,male,5yearly,35,84378.3305446934
912,1985,estimates,female,5yearly,40,84812.2695299308
912,1985,estimates,male,5yearly,40,82846.0011019846
912,1985,estimates,female,5yearly,45,83255.8677877506
912,1985,estimates,male,5yearly,45,80809.2028992578
912,1985,estimates,female,5yearly,50,81083.5575672136
912,1985,estimates,male,5yearly,50,77753.0572727772
912,1985,estimates,female,5yearly,55,78009.5833812213
912,1985,estimates,male,5yearly,55,73302.3640971171
912,1985,estimates,female,5yearly,60,73793.7378898719
912,1985,estimates,male,5yearly,60,67320.4897747704
912,1985,estimates,female,5yearly,65,67744.7464509725
912,1985,estimates,male,5yearly,65,59348.9593272353
912,1985,estimates,female,5yearly,70,58814.1798585805
912,1985,estimates,male,5yearly,70,48841.1768995206
912,1985,estimates,female,5yearly,75,46291.5540873078
912,1985,estimates,male,5yearly,75,35686.0248348535
912,1985,estimates,female,5yearly,80,30983.1397932603
912,1985,estimates,male,5yearly,80,21528.700705784
912,1985,estimates,female,5yearly,85,16047.294515292
912,1985,estimates,male,5yearly,85,9734.56268347221
912,1985,estimates,female,5yearly,90,5669.62941556275
912,1985,estimates,male,5yearly,90,2926.38159983232
912,1985,estimates,female,5yearly,95,1186.17636094124
912,1985,estimates,male,5yearly,95,517.413778276105
912,1985,estimates,female,5yearly,100plus,130.836039097476
912,1985,estimates,male,5yearly,100plus,49.2617025104938
912,1990,estimates,female,5yearly,0,100000
912,1990,estimates,male,5yearly,0,100000
912,1990,estimates,female,5yearly,1,94466.7951471459
912,1990,estimates,male,5yearly,1,93773.3446942812
912,1990,estimates,female,5yearly,5,92140.6148622944
912,1990,estimates,male,5yearly,5,91425.7568261281
912,1990,estimates,female,5yearly,10,91519.6752750511
912,1990,estimates,male,5yearly,10,90731.2494701149
912,1990,estimates,female,5yearly,15,91127.041659531
912,1990,estimates,male,5yearly,15,90262.9162534507
912,1990,estimates,female,5yearly,20,90585.1753354838
912,1990,estimates,male,5yearly,20,89536.4986931818
912,1990,estimates,female,5yearly,25,89889.0794259716
912,1990,estimates,male,5yearly,25,88557.8086144917
912,1990,estimates,female,5yearly,30,89061.6046897618
912,1990,estimates,male,5yearly,30,87469.01605175
912,1990,estimates,female,5yearly,35,88089.0502722375
912,1990,estimates,male,5yearly,35,86270.09171602
