continent,year,variant,agebroad,sexratio_maleper100female
935,1975,estimates,20_64,105.279970693657
935,1975,estimates,20_69,104.6779837065
935,1975,estimates,21plus,103.205313282338
935,1975,estimates,25plus,102.828051584719
935,1975,estimates,25_49,106.429743857922
935,1975,estimates,25_64,105.256511012435
935,1975,estimates,25_69,104.51293003791
935,1975,estimates,50plus,95.5213821605985
935,1975,estimates,60plus,88.1199393972796
935,1975,estimates,65plus,82.913161432392
935,1975,estimates,70plus,77.4679721453889
935,1975,estimates,75plus,71.2091331749933
935,1975,estimates,80plus,62.9838498360266
935,1975,estimates,85plus,52.9603104800994
935,1975,estimates,90plus,41.8596243739777
935,1980,estimates,"Region, subregion, country or area *",ASIA
935,1980,estimates,total,104.297609523456
935,1980,estimates,0_1,104.80341656256
935,1980,estimates,0_4,105.293919142947
935,1980,estimates,0_14,105.233941230323
935,1980,estimates,0_17,105.245471822326
935,1980,estimates,0_19,105.271596778178
935,1980,estimates,0_24,105.321306079097
935,1980,estimates,3_4,105.719945593027
935,1980,estimates,3_5,105.746154805893
935,1980,estimates,3_6,105.744644163382
935,1980,estimates,4_5,105.78861940311
935,1980,estimates,4_6,105.772463469395
935,1980,estimates,5_10,105.493582126387
935,1980,estimates,5_11,105.392470184977
935,1980,estimates,5_14,105.203089475023
935,1980,estimates,6_9,105.525636284434
935,1980,estimates,6_10,105.432095256927
935,1980,estimates,6_11,105.324067242585
935,1980,estimates,6_12,105.226361312824
935,1980,estimates,7_10,105.354447768262
935,1980,estimates,7_12,105.139423140614
935,1980,estimates,11_16,104.89490629174
935,1980,estimates,11_17,104.974962641625
935,1980,estimates,11_18,105.041404943301
935,1980,estimates,12_14,104.737069333569
935,1980,estimates,12_16,104.920520081714
935,1980,estimates,12_17,105.011146583009
935,1980,estimates,12_18,105.083398602737
935,1980,estimates,13_17,105.095358287155
935,1980,estimates,13_18,105.168053419962
935,1980,estimates,13_19,105.21709341731
935,1980,estimates,15plus,103.735083404753
935,1980,estimates,15_17,105.311751881901
935,1980,estimates,15_24,105.490238673338
935,1980,estimates,15_49,105.771510138592
935,1980,estimates,15_59,105.662580293845
935,1980,estimates,15_64,105.382879178572
935,1980,estimates,16plus,103.683908967876
935,1980,estimates,17plus,103.622056169366
935,1980,estimates,18plus,103.551063796151
935,1980,estimates,18_23,105.560891167616
935,1980,estimates,20plus,103.396739018617
935,1980,estimates,20_64,105.37773111924
935,1980,estimates,20_69,104.869488631804
935,1980,estimates,21plus,103.315673855162
935,1980,estimates,25plus,102.943965444983
935,1980,estimates,25_49,105.960020415756
935,1980,estimates,25_64,105.328370206273
935,1980,estimates,25_69,104.710287483017
935,1980,estimates,50plus,96.7496445931681
935,1980,estimates,60plus,89.3213436611041
935,1980,estimates,65plus,84.083560827739
935,1980,estimates,70plus,77.8256439372429
935,1980,estimates,75plus,71.2012147206504
935,1980,estimates,80plus,63.5256488473271
935,1980,estimates,85plus,54.134152052602
935,1980,estimates,90plus,43.7264192087061
935,1985,estimates,"Region, subregion, country or area *",ASIA
935,1985,estimates,total,104.257137934219
935,1985,estimates,0_1,105.639524855849
935,1985,estimates,0_4,105.556843382996
935,1985,estimates,0_14,105.575943257701
935,1985,estimates,0_17,105.45547402682
935,1985,estimates,0_19,105.394244009636
935,1985,estimates,0_24,105.396468615853
935,1985,estimates,3_4,105.48099551509
935,1985,estimates,3_5,105.483631239984
935,1985,estimates,3_6,105.492282318132
935,1985,estimates,4_5,105.482467836601
935,1985,estimates,4_6,105.494516363115
935,1985,estimates,5_10,105.581773314534
935,1985,estimates,5_11,105.607987575956
935,1985,estimates,5_14,105.586518925093
935,1985,estimates,6_9,105.579077563322
935,1985,estimates,6_10,105.600589865116
935,1985,estimates,6_11,105.628056341279
935,1985,estimates,6_12,105.64452597941
935,1985,estimates,7_10,105.621023278055
935,1985,estimates,7_12,105.66537782189
935,1985,estimates,11_16,105.370106121324
935,1985,estimates,11_17,105.267201515704
935,1985,estimates,11_18,105.19810168257
935,1985,estimates,12_14,105.536964799463
935,1985,estimates,12_16,105.291010633348
935,1985,estimates,12_17,105.183678958658
935,1985,estimates,12_18,105.116019476918
935,1985,estimates,13_17,105.070076289312
935,1985,estimates,13_18,105.009127014133
935,1985,estimates,13_19,104.993462735028
935,1985,estimates,15plus,103.544580514267
935,1985,estimates,15_17,104.822591966149
935,1985,estimates,15_24,105.087086967111
935,1985,estimates,15_49,105.447805048139
935,1985,estimates,15_59,105.387436627335
935,1985,estimates,15_64,105.121255226074
935,1985,estimates,16plus,103.490596248918
935,1985,estimates,17plus,103.443006450171
935,1985,estimates,18plus,103.398072675397
935,1985,estimates,18_23,105.156251947469
935,1985,estimates,20plus,103.288896916881
935,1985,estimates,20_64,105.190699562178
935,1985,estimates,20_69,104.776995028346
935,1985,estimates,21plus,103.219108437947
935,1985,estimates,25plus,102.840385159816
935,1985,estimates,25_49,105.693193540091
935,1985,estimates,25_64,105.138880517211
935,1985,estimates,25_69,104.633586815799
935,1985,estimates,50plus,97.0197066477198
935,1985,estimates,60plus,89.8238862605813
935,1985,estimates,65plus,85.1486183068164
935,1985,estimates,70plus,78.8080108720044
935,1985,estimates,75plus,71.3187361742043
935,1985,estimates,80plus,63.2786025585778
935,1985,estimates,85plus,54.5528776753469
935,1985,estimates,90plus,45.1718274177736
935,1990,estimates,"Region, subregion, country or area *",ASIA
935,1990,estimates,total,104.319204806585
935,1990,estimates,0_1,106.450776755262
935,1990,estimates,0_4,106.291457999072
935,1990,estimates,0_14,105.952216377144
935,1990,estimates,0_17,105.928266651252
935,1990,estimates,0_19,105.889860625142
935,1990,estimates,0_24,105.710672914495
935,1990,estimates,3_4,106.127104251107
935,1990,estimates,3_5,106.082876634807
935,1990,estimates,3_6,106.04165916114
935,1990,estimates,4_5,106.035370412443
935,1990,estimates,4_6,105.995142298811
935,1990,estimates,5_10,105.825035697521
935,1990,estimates,5_11,105.79757851898
935,1990,estimates,5_14,105.751749623145
935,1990,estimates,6_9,105.816216088282
935,1990,estimates,6_10,105.789404880793
935,1990,estimates,6_11,105.762602130917
935,1990,estimates,6_12,105.740322419917
935,1990,estimates,7_10,105.757051809621
935,1990,estimates,7_12,105.709485480573
935,1990,estimates,11_16,105.684025865511
935,1990,estimates,11_17,105.703313143855
935,1990,estimates,11_18,105.696163891904
935,1990,estimates,12_14,105.636229145755
935,1990,estimates,12_16,105.696977727104
935,1990,estimates,12_17,105.717287606775
935,1990,estimates,12_18,105.707100698741
935,1990,estimates,13_17,105.74093188034
935,1990,estimates,13_18,105.725101743872
935,1990,estimates,13_19,105.676230446751
935,1990,estimates,15plus,103.49234570017
935,1990,estimates,15_17,105.796754447317
935,1990,estimates,15_24,105.304107059714
935,1990,estimates,15_49,105.331800941476
935,1990,estimates,15_59,105.183977866604
935,1990,estimates,15_64,105.042712085598
935,1990,estimates,16plus,103.421472037976
935,1990,estimates,17plus,103.342517469574
935,1990,estimates,18plus,103.258273016722
935,1990,estimates,18_23,105.099609803531
935,1990,estimates,20plus,103.094527601595
935,1990,estimates,20_64,104.913948751107
935,1990,estimates,20_69,104.531825062222
935,1990,estimates,21plus,103.018547030525
935,1990,estimates,25plus,102.712841240346
935,1990,estimates,25_49,105.349464637811
935,1990,estimates,25_64,104.915516643364
935,1990,estimates,25_69,104.44668619162
935,1990,estimates,50plus,97.247773962424
935,1990,estimates,60plus,91.2189162022096
935,1990,estimates,65plus,85.8965529288496
935,1990,estimates,70plus,80.1290424713614
935,1990,estimates,75plus,72.0758972143828
935,1990,estimates,80plus,62.7509539284064
935,1990,estimates,85plus,53.592948882582
935,1990,estimates,90plus,44.5247961502473
935,1995,estimates,"Region, subregion, country or area *",ASIA
935,1995,estimates,total,104.383083107143
935,1995,estimates,0_1,108.917511637167
935,1995,estimates,0_4,108.036844739065
935,1995,estimates,0_14,106.777791176749
935,1995,estimates,0_17,106.590011259593
935,1995,estimates,0_19,106.492433412454
935,1995,estimates,0_24,106.312580673755
935,1995,estimates,3_4,107.301136077437
935,1995,estimates,3_5,107.141402258537
935,1995,estimates,3_6,107.00221720984
935,1995,estimates,4_5,106.973397144136
935,1995,estimates,4_6,106.84498268189
935,1995,estimates,5_10,106.362527525188
935,1995,estimates,5_11,106.30276921863
935,1995,estimates,5_14,106.149489420537
935,1995,estimates,6_9,106.33146106299
935,1995,estimates,6_10,106.266618234897
935,1995,estimates,6_11,106.211505517585
935,1995,estimates,6_12,106.162076882911
935,1995,estimates,7_10,106.183002389043
935,1995,estimates,7_12,106.086319680341
935,1995,estimates,11_16,105.70887622706
935,1995,estimates,11_17,105.67421139048
935,1995,estimates,11_18,105.649419152461
935,1995,estimates,12_14,105.747325259425
935,1995,estimates,12_16,105.664587778992
935,1995,estimates,12_17,105.630704302661
935,1995,estimates,12_18,105.60801217165
935,1995,estimates,13_17,105.586699201135
935,1995,estimates,13_18,105.567066663617
935,1995,estimates,13_19,105.559116366646
935,1995,estimates,15plus,103.248868741785
935,1995,estimates,15_17,105.506867810036
935,1995,estimates,15_24,105.505831196556
935,1995,estimates,15_49,105.171048244909
935,1995,estimates,15_59,104.986693296665
935,1995,estimates,15_64,104.769026887117
935,1995,estimates,16plus,103.18212456895
935,1995,estimates,17plus,103.115356765352
935,1995,estimates,18plus,103.046874161441
935,1995,estimates,18_23,105.547971528908
935,1995,estimates,20plus,102.894368023371
935,1995,estimates,20_64,104.641364616531
935,1995,estimates,20_69,104.35911463956
935,1995,estimates,21plus,102.807470907597
935,1995,estimates,25plus,102.400831441906
935,1995,estimates,25_49,104.986689099942
935,1995,estimates,25_64,104.455299937355
935,1995,estimates,25_69,104.124658956961
935,1995,estimates,50plus,96.8468232348225
935,1995,estimates,60plus,91.3442359001465
935,1995,estimates,65plus,86.9776442270319
935,1995,estimates,70plus,80.4241850812524
935,1995,estimates,75plus,73.4066907030544
935,1995,estimates,80plus,64.1785443415923
935,1995,estimates,85plus,53.8509870114267
935,1995,estimates,90plus,43.6137986651553
935,2000,estimates,"Region, subregion, country or area *",ASIA
935,2000,estimates,total,104.325630241123
935,2000,estimates,0_1,108.488312725017
935,2000,estimates,0_4,108.82901636227
935,2000,estimates,0_14,107.775118941927
935,2000,estimates,0_17,107.457201742008
935,2000,estimates,0_19,107.28324580127
935,2000,estimates,0_24,106.937469836249
