continent,year,variant,freq,agebroad,percentagetotaldeaths
905,2015,low_variant,5yearly,25plus,98.0955926171371
905,2015,medium_variant,5yearly,25plus,97.9872153693561
905,2015,momentum,5yearly,25plus,97.8022904666118
905,2015,no_change,5yearly,25plus,97.8674855126526
905,2015,zero_migration,5yearly,25plus,98.0229250138215
905,2015,constant_fertility,5yearly,25_69,30.2385807255182
905,2015,constant_mortality,5yearly,25_69,30.7564815588665
905,2015,high_variant,5yearly,25_69,30.2044658456533
905,2015,instant_replacement,5yearly,25_69,30.2090673432368
905,2015,low_variant,5yearly,25_69,30.2712803160936
905,2015,medium_variant,5yearly,25_69,30.2378438059651
905,2015,momentum,5yearly,25_69,30.6871387183594
905,2015,no_change,5yearly,25_69,30.7573272201433
905,2015,zero_migration,5yearly,25_69,30.1989522341736
905,2015,constant_fertility,5yearly,40plus,95.3698268373985
905,2015,constant_mortality,5yearly,40plus,95.2577427941173
905,2015,high_variant,5yearly,40plus,95.2622376504223
905,2015,instant_replacement,5yearly,40plus,95.2767027014096
905,2015,low_variant,5yearly,40plus,95.4729435802245
905,2015,medium_variant,5yearly,40plus,95.3674605865248
905,2015,momentum,5yearly,40plus,95.2253668690162
905,2015,no_change,5yearly,40plus,95.2603613271672
905,2015,zero_migration,5yearly,40plus,95.4309600019638
905,2015,constant_fertility,5yearly,50plus,91.8362676665786
905,2015,constant_mortality,5yearly,50plus,91.6792536931653
905,2015,high_variant,5yearly,50plus,91.7326637949321
905,2015,instant_replacement,5yearly,50plus,91.7465852484974
905,2015,low_variant,5yearly,50plus,91.9355593652087
905,2015,medium_variant,5yearly,50plus,91.8339890879567
905,2015,momentum,5yearly,50plus,91.6624335666884
905,2015,no_change,5yearly,50plus,91.6817745709673
905,2015,zero_migration,5yearly,50plus,91.9092989350507
905,2015,constant_fertility,5yearly,60plus,83.0187276054812
905,2015,constant_mortality,5yearly,60plus,82.7297765486222
905,2015,high_variant,5yearly,60plus,82.9250718733111
905,2015,instant_replacement,5yearly,60plus,82.9376534778268
905,2015,low_variant,5yearly,60plus,83.1084810779501
905,2015,medium_variant,5yearly,60plus,83.0166611319202
905,2015,momentum,5yearly,60plus,82.7270353324573
905,2015,no_change,5yearly,60plus,82.7320531994935
905,2015,zero_migration,5yearly,60plus,83.0970514842904
