region,year,variant,gender,agebroad,percentagetotalpopulation
923,1965,Estimates,male,0_24,46.8916026352978
923,1965,Estimates,female,3_4,3.42822761345558
923,1965,Estimates,male,3_4,4.11862349313092
923,1965,Estimates,female,3_5,5.21565002889252
923,1965,Estimates,male,3_5,6.26070829224966
923,1965,Estimates,female,3_6,7.03657549418727
923,1965,Estimates,male,3_6,8.44189056217387
923,1965,Estimates,female,4_5,3.52987429415199
923,1965,Estimates,male,4_5,4.23300366228708
923,1965,Estimates,female,4_6,5.35079975944673
923,1965,Estimates,male,4_6,6.41418593221129
923,1965,Estimates,female,5_10,11.0072846473597
923,1965,Estimates,male,5_10,13.198130759319
923,1965,Estimates,female,5_11,12.8361700373143
923,1965,Estimates,male,5_11,15.3981909806374
923,1965,Estimates,female,5_14,18.0863712647544
923,1965,Estimates,male,5_14,21.7246344922946
923,1965,Estimates,female,6_9,7.37372952385496
923,1965,Estimates,male,6_9,8.83830414669962
923,1965,Estimates,female,6_10,9.21986223192279
923,1965,Estimates,male,6_10,11.0560459602003
923,1965,Estimates,female,6_11,11.0487476218774
923,1965,Estimates,male,6_11,13.2561061815187
923,1965,Estimates,female,6_12,12.8474573627114
923,1965,Estimates,male,6_12,15.4223803474403
923,1965,Estimates,female,7_10,7.39893676662805
923,1965,Estimates,male,7_10,8.87486369027607
923,1965,Estimates,female,7_12,11.0265318974166
923,1965,Estimates,male,7_12,13.2411980775161
923,1965,Estimates,female,11_16,10.3185245658505
923,1965,Estimates,male,11_16,12.4313693775201
923,1965,Estimates,female,11_17,11.8434642932856
923,1965,Estimates,male,11_17,14.2671224878625
923,1965,Estimates,female,11_18,13.2586807992211
923,1965,Estimates,male,11_18,15.9659291740019
923,1965,Estimates,female,12_14,5.25020122744007
923,1965,Estimates,male,12_14,6.32644351165714
923,1965,Estimates,female,12_16,8.48963917589592
923,1965,Estimates,male,12_16,10.2313091562017
923,1965,Estimates,female,12_17,10.014578903331
923,1965,Estimates,male,12_17,12.0670622665441
923,1965,Estimates,female,12_18,11.4297954092666
923,1965,Estimates,male,12_18,13.7658689526835
923,1965,Estimates,female,13_17,8.215869162497
923,1965,Estimates,male,13_17,9.90078810062244
923,1965,Estimates,female,13_18,9.63108566843253
923,1965,Estimates,male,13_18,11.5995947867619
923,1965,Estimates,female,13_19,10.9203895596486
923,1965,Estimates,male,13_19,13.1399076754349
923,1965,Estimates,female,15plus,73.8888661980099
923,1965,Estimates,male,15plus,68.5730044327004
923,1965,Estimates,female,15_17,4.76437767589096
