continent,year,variant,freq,age5yearinterval,fertilityrateper1000women
935,2025,constant_fertility,5yearly,15_19,31.977569892851
935,2025,constant_mortality,5yearly,15_19,21.7886452754779
935,2025,high_variant,5yearly,15_19,26.6830749975647
935,2025,instant_replacement,5yearly,15_19,21.7149880250952
935,2025,low_variant,5yearly,15_19,16.6559959977988
935,2025,medium_variant,5yearly,15_19,21.7954296329718
935,2025,momentum,5yearly,15_19,22.2413117154485
935,2025,no_change,5yearly,15_19,31.9624055566948
935,2025,zero_migration,5yearly,15_19,21.8271967793339
935,2025,constant_fertility,5yearly,20_24,152.414117046567
935,2025,constant_mortality,5yearly,20_24,123.616768144213
935,2025,high_variant,5yearly,20_24,153.137653030914
935,2025,instant_replacement,5yearly,20_24,129.423803845533
935,2025,low_variant,5yearly,20_24,93.7845076759683
935,2025,medium_variant,5yearly,20_24,123.676334960954
935,2025,momentum,5yearly,20_24,132.574477140704
935,2025,no_change,5yearly,20_24,152.357676207818
935,2025,zero_migration,5yearly,20_24,123.773512219254
935,2025,constant_fertility,5yearly,25_29,143.312233311667
935,2025,constant_mortality,5yearly,25_29,130.614694172357
935,2025,high_variant,5yearly,25_29,162.698187187033
935,2025,instant_replacement,5yearly,25_29,138.836862439593
935,2025,low_variant,5yearly,25_29,98.6865644502906
935,2025,medium_variant,5yearly,25_29,130.643997101112
935,2025,momentum,5yearly,25_29,141.840873662591
935,2025,no_change,5yearly,25_29,143.276729398583
935,2025,zero_migration,5yearly,25_29,130.758513384524
935,2025,constant_fertility,5yearly,30_34,82.7060721358042
935,2025,constant_mortality,5yearly,30_34,84.5149967927997
935,2025,high_variant,5yearly,30_34,105.758395643146
935,2025,instant_replacement,5yearly,30_34,91.0170498681377
935,2025,low_variant,5yearly,30_34,63.4740610773599
935,2025,medium_variant,5yearly,30_34,84.497378620498
935,2025,momentum,5yearly,30_34,92.5671526571237
935,2025,no_change,5yearly,30_34,82.688135734846
935,2025,zero_migration,5yearly,30_34,84.50040918708
935,2025,constant_fertility,5yearly,35_39,36.0781185369604
935,2025,constant_mortality,5yearly,35_39,36.8796339156729
935,2025,high_variant,5yearly,35_39,46.42055942442
935,2025,instant_replacement,5yearly,35_39,40.4057938400862
935,2025,low_variant,5yearly,35_39,27.5338245866496
935,2025,medium_variant,5yearly,35_39,36.8689646792238
935,2025,momentum,5yearly,35_39,40.8952936335343
935,2025,no_change,5yearly,35_39,36.0609866253456
935,2025,zero_migration,5yearly,35_39,36.7826408978827
935,2025,constant_fertility,5yearly,40_44,12.0687134704558
935,2025,constant_mortality,5yearly,40_44,11.6883037856198
935,2025,high_variant,5yearly,40_44,14.7559984405975
935,2025,instant_replacement,5yearly,40_44,12.9796363847851
935,2025,low_variant,5yearly,40_44,8.69934138658748
935,2025,medium_variant,5yearly,40_44,11.6849150979421
935,2025,momentum,5yearly,40_44,13.1464468420024
935,2025,no_change,5yearly,40_44,12.0595626357421
935,2025,zero_migration,5yearly,40_44,11.6716186583889
935,2025,constant_fertility,5yearly,45_49,3.13292184697604
935,2025,constant_mortality,5yearly,45_49,2.00063571861296
935,2025,high_variant,5yearly,45_49,2.47532203020072
935,2025,instant_replacement,5yearly,45_49,2.05082239090462
935,2025,low_variant,5yearly,45_49,1.52301703510543
935,2025,medium_variant,5yearly,45_49,2.0023953372948
935,2025,momentum,5yearly,45_49,2.10433479155436
935,2025,no_change,5yearly,45_49,3.12931535322616
935,2025,zero_migration,5yearly,45_49,2.0150929212183
935,2030,constant_fertility,5yearly,15_19,32.5045699938362
935,2030,constant_mortality,5yearly,15_19,19.9253005326929
935,2030,high_variant,5yearly,15_19,24.3708481363982
935,2030,instant_replacement,5yearly,15_19,19.4643546237355
935,2030,low_variant,5yearly,15_19,15.2184852121401
935,2030,medium_variant,5yearly,15_19,19.9374931024621
935,2030,momentum,5yearly,15_19,20.0291387349365
935,2030,no_change,5yearly,15_19,32.459324971177
935,2030,zero_migration,5yearly,15_19,19.9769414433825
935,2030,constant_fertility,5yearly,20_24,152.272706537171
935,2030,constant_mortality,5yearly,20_24,114.477060979009
935,2030,high_variant,5yearly,20_24,142.522654198017
935,2030,instant_replacement,5yearly,20_24,122.020316053716
935,2030,low_variant,5yearly,20_24,86.1651224846269
935,2030,medium_variant,5yearly,20_24,114.571908970504
935,2030,momentum,5yearly,20_24,125.68904897174
935,2030,no_change,5yearly,20_24,152.181373971993
935,2030,zero_migration,5yearly,20_24,114.672964971861
935,2030,constant_fertility,5yearly,25_29,144.329417463041
935,2030,constant_mortality,5yearly,25_29,128.080630362364
935,2030,high_variant,5yearly,25_29,160.347940299936
935,2030,instant_replacement,5yearly,25_29,138.560429861014
935,2030,low_variant,5yearly,25_29,96.0294472206592
935,2030,medium_variant,5yearly,25_29,128.123936841946
935,2030,momentum,5yearly,25_29,142.306575231427
935,2030,no_change,5yearly,25_29,144.273098635861
935,2030,zero_migration,5yearly,25_29,128.223578146983
935,2030,constant_fertility,5yearly,30_34,84.4421072028452
935,2030,constant_mortality,5yearly,30_34,86.2204450310173
935,2030,high_variant,5yearly,30_34,108.216885150084
935,2030,instant_replacement,5yearly,30_34,93.8863049581321
935,2030,low_variant,5yearly,30_34,64.3758083695906
935,2030,medium_variant,5yearly,30_34,86.1824092853372
935,2030,momentum,5yearly,30_34,95.9710314767776
935,2030,no_change,5yearly,30_34,84.4156612633969
935,2030,zero_migration,5yearly,30_34,86.186374552094
935,2030,constant_fertility,5yearly,35_39,38.2057181483157
935,2030,constant_mortality,5yearly,35_39,37.7879558586429
935,2030,high_variant,5yearly,35_39,47.6501551320502
935,2030,instant_replacement,5yearly,35_39,41.6045480440122
935,2030,low_variant,5yearly,35_39,28.1012487284404
935,2030,medium_variant,5yearly,35_39,37.7596284137612
935,2030,momentum,5yearly,35_39,42.2795431633454
935,2030,no_change,5yearly,35_39,38.180819843639
935,2030,zero_migration,5yearly,35_39,37.6687329275722
935,2030,constant_fertility,5yearly,40_44,12.4700034397153
935,2030,constant_mortality,5yearly,40_44,11.8592021533616
935,2030,high_variant,5yearly,40_44,15.0107632628815
935,2030,instant_replacement,5yearly,40_44,13.3450468320331
935,2030,low_variant,5yearly,40_44,8.75551924097741
935,2030,medium_variant,5yearly,40_44,11.8494691187234
935,2030,momentum,5yearly,40_44,13.5420642290353
935,2030,no_change,5yearly,40_44,12.4540824516142
935,2030,zero_migration,5yearly,40_44,11.8213088860545
935,2030,constant_fertility,5yearly,45_49,3.16138885327832
935,2030,constant_mortality,5yearly,45_49,1.77719771081179
935,2030,high_variant,5yearly,45_49,2.21381554271741
935,2030,instant_replacement,5yearly,45_49,1.87706494085597
935,2030,low_variant,5yearly,45_49,1.33738332660283
935,2030,medium_variant,5yearly,45_49,1.77949265008551
935,2030,momentum,5yearly,45_49,1.93004472715011
935,2030,no_change,5yearly,45_49,3.15529994540837
935,2030,zero_migration,5yearly,45_49,1.78784661171938
935,2035,constant_fertility,5yearly,15_19,33.7205699528135
935,2035,constant_mortality,5yearly,15_19,18.465677832729
935,2035,high_variant,5yearly,15_19,22.5074633568929
935,2035,instant_replacement,5yearly,15_19,17.6672564037933
935,2035,low_variant,5yearly,15_19,14.1959594668407
