country,year,variant,gender,agebroad,population
862,1970,estimates,male,13_19,889.865
862,1970,estimates,female,15plus,3074.742
862,1970,estimates,male,15plus,3149.474
862,1970,estimates,female,15_17,365.186
862,1970,estimates,male,15_17,380.007
862,1970,estimates,female,15_24,1069.063
862,1970,estimates,male,15_24,1107.728
862,1970,estimates,female,15_49,2529.314
862,1970,estimates,male,15_49,2609.585
862,1970,estimates,female,15_59,2824.291
862,1970,estimates,male,15_59,2908.318
862,1970,estimates,female,15_64,2919.86
862,1970,estimates,male,15_64,3003.067
862,1970,estimates,female,16plus,2947.529
862,1970,estimates,male,16plus,3017.215
862,1970,estimates,female,17plus,2825.971
862,1970,estimates,male,17plus,2890.684
862,1970,estimates,female,18plus,2709.556
862,1970,estimates,male,18plus,2769.467
862,1970,estimates,female,18_23,614.451
862,1970,estimates,male,18_23,635.5
862,1970,estimates,female,20plus,2489.771
862,1970,estimates,male,20plus,2541.186
862,1970,estimates,female,20_64,2334.889
862,1970,estimates,male,20_64,2394.779
862,1970,estimates,female,20_69,2401.028
862,1970,estimates,male,20_69,2460.815
862,1970,estimates,female,21plus,2385.722
862,1970,estimates,male,21plus,2433.509
862,1970,estimates,female,25plus,2005.679
862,1970,estimates,male,25plus,2041.746
862,1970,estimates,female,25_49,1460.251
862,1970,estimates,male,25_49,1501.857
862,1970,estimates,female,25_64,1850.797
862,1970,estimates,male,25_64,1895.339
862,1970,estimates,female,25_69,1916.936
862,1970,estimates,male,25_69,1961.375
862,1970,estimates,female,50plus,545.428
862,1970,estimates,male,50plus,539.889
862,1970,estimates,female,60plus,250.451
862,1970,estimates,male,60plus,241.156
862,1970,estimates,female,65plus,154.882
862,1970,estimates,male,65plus,146.407
862,1970,estimates,female,70plus,88.743
862,1970,estimates,male,70plus,80.371
862,1970,estimates,female,75plus,46.102
862,1970,estimates,male,75plus,39.008
862,1970,estimates,female,80plus,20.973
862,1970,estimates,male,80plus,16.269
862,1975,estimates,female,total,6593.238
862,1975,estimates,male,total,6767.75
862,1975,estimates,female,0_1,405.68
862,1975,estimates,male,0_1,422.161
862,1975,estimates,female,0_4,1003.177
862,1975,estimates,male,0_4,1043.692
862,1975,estimates,female,0_14,2886.995
862,1975,estimates,male,0_14,2999.846
862,1975,estimates,female,0_17,3344.253
862,1975,estimates,male,0_17,3473.018
862,1975,estimates,female,0_19,3614.353
862,1975,estimates,male,0_19,3752.422
862,1975,estimates,female,0_24,4196.128
862,1975,estimates,male,0_24,4354.459
862,1975,estimates,female,3_4,397.207
862,1975,estimates,male,3_4,413.146
862,1975,estimates,female,3_5,594.432
862,1975,estimates,male,3_5,618.218
862,1975,estimates,female,3_6,790.73
862,1975,estimates,male,3_6,822.276
862,1975,estimates,female,4_5,395.339
862,1975,estimates,male,4_5,411.115
862,1975,estimates,female,4_6,591.637
862,1975,estimates,male,4_6,615.173
862,1975,estimates,female,5_10,1164.589
862,1975,estimates,male,5_10,1210.106
862,1975,estimates,female,5_11,1352.702
862,1975,estimates,male,5_11,1405.368
862,1975,estimates,female,5_14,1883.818
862,1975,estimates,male,5_14,1956.154
862,1975,estimates,female,6_9,777.336
862,1975,estimates,male,6_9,807.725
862,1975,estimates,female,6_10,967.364
862,1975,estimates,male,6_10,1005.034
862,1975,estimates,female,6_11,1155.477
862,1975,estimates,male,6_11,1200.296
862,1975,estimates,female,6_12,1339.751
862,1975,estimates,male,6_12,1391.503
862,1975,estimates,female,7_10,771.066
862,1975,estimates,male,7_10,800.976
862,1975,estimates,female,7_12,1143.453
862,1975,estimates,male,7_12,1187.445
862,1975,estimates,female,11_16,1032.233
862,1975,estimates,male,11_16,1070.054
862,1975,estimates,female,11_17,1176.487
862,1975,estimates,male,11_17,1219.22
862,1975,estimates,female,11_18,1314.272
862,1975,estimates,male,11_18,1361.712
862,1975,estimates,female,12_14,531.116
862,1975,estimates,male,12_14,550.786
862,1975,estimates,female,12_16,844.12
862,1975,estimates,male,12_16,874.792
862,1975,estimates,female,12_17,988.374
862,1975,estimates,male,12_17,1023.958
862,1975,estimates,female,12_18,1126.159
862,1975,estimates,male,12_18,1166.45
862,1975,estimates,female,13_17,804.1
862,1975,estimates,male,13_17,832.751
862,1975,estimates,female,13_18,941.885
862,1975,estimates,male,13_18,975.243
862,1975,estimates,female,13_19,1074.2
862,1975,estimates,male,13_19,1112.155
862,1975,estimates,female,15plus,3706.243
862,1975,estimates,male,15plus,3767.904
862,1975,estimates,female,15_17,457.258
862,1975,estimates,male,15_17,473.172
862,1975,estimates,female,15_24,1309.133
862,1975,estimates,male,15_24,1354.613
862,1975,estimates,female,15_49,3030.798
862,1975,estimates,male,15_49,3113.784
862,1975,estimates,female,15_59,3384.587
862,1975,estimates,male,15_59,3467.846
862,1975,estimates,female,15_64,3504.658
862,1975,estimates,male,15_64,3584.514
862,1975,estimates,female,16plus,3545.412
862,1975,estimates,male,16plus,3601.344
862,1975,estimates,female,17plus,3393.239
862,1975,estimates,male,17plus,3443.898
862,1975,estimates,female,18plus,3248.985
862,1975,estimates,male,18plus,3294.732
862,1975,estimates,female,18_23,744.676
862,1975,estimates,male,18_23,770.841
862,1975,estimates,female,20plus,2978.885
862,1975,estimates,male,20plus,3015.328
862,1975,estimates,female,20_64,2777.3
862,1975,estimates,male,20_64,2831.938
862,1975,estimates,female,20_69,2862.626
862,1975,estimates,male,20_69,2912.788
862,1975,estimates,female,21plus,2852.247
862,1975,estimates,male,21plus,2884.218
862,1975,estimates,female,25plus,2397.11
862,1975,estimates,male,25plus,2413.291
862,1975,estimates,female,25_49,1721.665
862,1975,estimates,male,25_49,1759.171
862,1975,estimates,female,25_64,2195.525
862,1975,estimates,male,25_64,2229.901
862,1975,estimates,female,25_69,2280.851
862,1975,estimates,male,25_69,2310.751
862,1975,estimates,female,50plus,675.445
862,1975,estimates,male,50plus,654.12
862,1975,estimates,female,60plus,321.656
862,1975,estimates,male,60plus,300.058
862,1975,estimates,female,65plus,201.585
862,1975,estimates,male,65plus,183.39
862,1975,estimates,female,70plus,116.259
862,1975,estimates,male,70plus,102.54
862,1975,estimates,female,75plus,60.512
862,1975,estimates,male,75plus,50.242
862,1975,estimates,female,80plus,27.531
862,1975,estimates,male,80plus,20.848
862,1980,estimates,female,total,7588.268
862,1980,estimates,male,total,7755.649
862,1980,estimates,female,0_1,477.016
862,1980,estimates,male,0_1,496.771
