agebroad,gender,population,country,variant,year
0_14,female,1738.384,604,estimates,1953
0_17,female,1994.605,604,estimates,1953
0_19,female,2154.324,604,estimates,1953
0_24,female,2511.265,604,estimates,1953
3_4,female,261.591,604,estimates,1953
3_5,female,381.681,604,estimates,1953
3_6,female,495.916,604,estimates,1953
4_5,female,246.971,604,estimates,1953
4_6,female,361.206,604,estimates,1953
5_14,female,1017.428,604,estimates,1953
5_10,female,648.14,604,estimates,1953
5_11,female,743.697,604,estimates,1953
6_9,female,429.779,604,estimates,1953
6_10,female,528.05,604,estimates,1953
6_11,female,623.607,604,estimates,1953
6_12,female,716.766,604,estimates,1953
7_10,female,413.815,604,estimates,1953
7_12,female,602.531,604,estimates,1953
11_16,female,542.402,604,estimates,1953
11_17,female,625.509,604,estimates,1953
11_18,female,706.41,604,estimates,1953
12_14,female,273.731,604,estimates,1953
12_16,female,446.845,604,estimates,1953
12_17,female,529.952,604,estimates,1953
12_18,female,610.853,604,estimates,1953
13_17,female,436.793,604,estimates,1953
13_18,female,517.694,604,estimates,1953
13_19,female,596.512,604,estimates,1953
15_17,female,256.221,604,estimates,1953
18_23,female,450.482,604,estimates,1953
15_24,female,772.881,604,estimates,1953
15_49,female,1896.25,604,estimates,1953
15_59,female,2161.171,604,estimates,1953
15_64,female,2256.921,604,estimates,1953
20_64,female,1840.981,604,estimates,1953
20_69,female,1909.009,604,estimates,1953
25_49,female,1123.369,604,estimates,1953
25_64,female,1484.04,604,estimates,1953
25_69,female,1552.068,604,estimates,1953
15plus,female,2411.809,604,estimates,1953
16plus,female,2324.175,604,estimates,1953
17plus,female,2238.695,604,estimates,1953
18plus,female,2155.588,604,estimates,1953
20plus,female,1995.869,604,estimates,1953
21plus,female,1919.304,604,estimates,1953
25plus,female,1638.928,604,estimates,1953
50plus,female,515.559,604,estimates,1953
60plus,female,250.638,604,estimates,1953
65plus,female,154.888,604,estimates,1953
70plus,female,86.86,604,estimates,1953
75plus,female,43.269,604,estimates,1953
80plus,female,16.388,604,estimates,1953
85plus,female,4.926,604,estimates,1953
90plus,female,1.002,604,estimates,1953
total,female,4150.193,604,estimates,1953
0,male,177.074,604,estimates,1953
0_1,male,326.882,604,estimates,1953
0_4,male,741.602,604,estimates,1953
0_14,male,1783.985,604,estimates,1953
0_17,male,2046.506,604,estimates,1953
0_19,male,2210.217,604,estimates,1953
0_24,male,2574.819,604,estimates,1953
3_4,male,268.279,604,estimates,1953
3_5,male,391.341,604,estimates,1953
3_6,male,508.369,604,estimates,1953
4_5,male,253.144,604,estimates,1953
4_6,male,370.172,604,estimates,1953
5_14,male,1042.383,604,estimates,1953
5_10,male,664.022,604,estimates,1953
5_11,male,761.939,604,estimates,1953
6_9,male,440.261,604,estimates,1953
