global,year,variant,gender,freq,agebroad,percentagetotaldeaths
900,1970,estimates,male,5yearly,25_69,34.7005216376046
900,1970,estimates,female,5yearly,40plus,50.2859457561605
900,1970,estimates,male,5yearly,40plus,49.0608589580863
900,1970,estimates,female,5yearly,50plus,45.5593897985771
900,1970,estimates,male,5yearly,50plus,43.1006134551276
900,1970,estimates,female,5yearly,60plus,38.5484002573674
900,1970,estimates,male,5yearly,60plus,34.0330597294245
900,1970,estimates,female,5yearly,65plus,33.3110115081664
900,1970,estimates,male,5yearly,65plus,27.558380154378
900,1970,estimates,female,5yearly,70plus,26.8437979760302
900,1970,estimates,male,5yearly,70plus,20.2794947611509
900,1970,estimates,female,5yearly,80plus,11.98855325594
900,1970,estimates,male,5yearly,80plus,7.06660295797907
900,1970,estimates,female,5yearly,90plus,1.94311391842908
900,1970,estimates,male,5yearly,90plus,0.831736947297674
900,1975,estimates,female,5yearly,0_4,32.6322046020423
900,1975,estimates,male,5yearly,0_4,33.0277957822257
900,1975,estimates,female,5yearly,0_14,37.1773387813309
900,1975,estimates,male,5yearly,0_14,37.3974146874048
900,1975,estimates,female,5yearly,0_19,38.8775747221594
900,1975,estimates,male,5yearly,0_19,39.2471016510137
900,1975,estimates,female,5yearly,0_24,40.7953725288765
900,1975,estimates,male,5yearly,0_24,41.3874511978077
900,1975,estimates,female,5yearly,5_14,4.54513417928865
900,1975,estimates,male,5yearly,5_14,4.36961890517909
900,1975,estimates,female,5yearly,15plus,62.8226612186691
900,1975,estimates,male,5yearly,15plus,62.6025853125953
900,1975,estimates,female,5yearly,15_24,3.61803374754563
900,1975,estimates,male,5yearly,15_24,3.990036510403
900,1975,estimates,female,5yearly,15_49,13.4551856289925
900,1975,estimates,male,5yearly,15_49,16.0409461288835
900,1975,estimates,female,5yearly,15_59,20.4224651592524
900,1975,estimates,male,5yearly,15_59,25.3112560298156
900,1975,estimates,female,5yearly,15_64,25.529429141667
900,1975,estimates,male,5yearly,15_64,31.6842330500009
900,1975,estimates,female,5yearly,20plus,61.1224252778406
900,1975,estimates,male,5yearly,20plus,60.7528983489863
900,1975,estimates,female,5yearly,20_64,23.8291932008384
900,1975,estimates,male,5yearly,20_64,29.834546086392
900,1975,estimates,female,5yearly,20_69,30.5718343307116
900,1975,estimates,male,5yearly,20_69,37.5244166942361
900,1975,estimates,female,5yearly,25plus,59.2046274711235
900,1975,estimates,male,5yearly,25plus,58.6125488021923
900,1975,estimates,female,5yearly,25_69,28.6540365239945
900,1975,estimates,male,5yearly,25_69,35.384067147442
900,1975,estimates,female,5yearly,40plus,53.8591375156868
900,1975,estimates,male,5yearly,40plus,52.5405222789424
900,1975,estimates,female,5yearly,50plus,49.3674755896766
900,1975,estimates,male,5yearly,50plus,46.5616391837118
900,1975,estimates,female,5yearly,60plus,42.4001960594166
900,1975,estimates,male,5yearly,60plus,37.2913292827796
900,1975,estimates,female,5yearly,65plus,37.2932320770021
900,1975,estimates,male,5yearly,65plus,30.9183522625944
900,1975,estimates,female,5yearly,70plus,30.550590947129
900,1975,estimates,male,5yearly,70plus,23.2284816547502
900,1975,estimates,female,5yearly,80plus,14.0121813772658
900,1975,estimates,male,5yearly,80plus,8.20575625191204
900,1975,estimates,female,5yearly,90plus,2.465841091186
900,1975,estimates,male,5yearly,90plus,1.00610456843483
900,1980,estimates,female,5yearly,0_4,29.85383024844
900,1980,estimates,male,5yearly,0_4,29.9027981575284
900,1980,estimates,female,5yearly,0_14,33.9189140102724
900,1980,estimates,male,5yearly,0_14,33.776082212643
900,1980,estimates,female,5yearly,0_19,35.5453332484298
900,1980,estimates,male,5yearly,0_19,35.6647294790104
900,1980,estimates,female,5yearly,0_24,37.3960777017435
900,1980,estimates,male,5yearly,0_24,37.9830087584421
900,1980,estimates,female,5yearly,5_14,4.06508376183243
900,1980,estimates,male,5yearly,5_14,3.87328405511465
900,1980,estimates,female,5yearly,15plus,66.0810859897275
900,1980,estimates,male,5yearly,15plus,66.223917787357
900,1980,estimates,female,5yearly,15_24,3.47716369147104
900,1980,estimates,male,5yearly,15_24,4.20692654579906
900,1980,estimates,female,5yearly,15_49,13.022309818539
900,1980,estimates,male,5yearly,15_49,16.5733189874515
900,1980,estimates,female,5yearly,15_59,20.1263496480535
900,1980,estimates,male,5yearly,15_59,26.3927052318343
900,1980,estimates,female,5yearly,15_64,25.2844817880571
900,1980,estimates,male,5yearly,15_64,32.8466333138706
900,1980,estimates,female,5yearly,20plus,64.4546667515701
900,1980,estimates,male,5yearly,20plus,64.3352705209896
900,1980,estimates,female,5yearly,20_64,23.6580625498997
900,1980,estimates,male,5yearly,20_64,30.9579860475032
900,1980,estimates,female,5yearly,20_69,30.3344766791217
900,1980,estimates,male,5yearly,20_69,38.6159453426644
900,1980,estimates,female,5yearly,25plus,62.6039222982564
900,1980,estimates,male,5yearly,25plus,62.016991241558
900,1980,estimates,female,5yearly,25_69,28.483732225808
900,1980,estimates,male,5yearly,25_69,36.2976660632328
900,1980,estimates,female,5yearly,40plus,57.3452483346817
900,1980,estimates,male,5yearly,40plus,55.5039376529207
900,1980,estimates,female,5yearly,50plus,53.0587761711885
900,1980,estimates,male,5yearly,50plus,49.6505987999055
900,1980,estimates,female,5yearly,60plus,45.954736341674
900,1980,estimates,male,5yearly,60plus,39.8312125555228
900,1980,estimates,female,5yearly,65plus,40.7966042016704
900,1980,estimates,male,5yearly,65plus,33.3772844734865
900,1980,estimates,female,5yearly,70plus,34.1201900724484
900,1980,estimates,male,5yearly,70plus,25.7193251783252
900,1980,estimates,female,5yearly,80plus,16.3028596731342
900,1980,estimates,male,5yearly,80plus,9.40493101740595
900,1980,estimates,female,5yearly,90plus,3.05104569395435
900,1980,estimates,male,5yearly,90plus,1.17799266489483
900,1985,estimates,female,5yearly,0_4,27.474686674824
900,1985,estimates,male,5yearly,0_4,27.7674072217457
900,1985,estimates,female,5yearly,0_14,31.2568852864673
900,1985,estimates,male,5yearly,0_14,31.3551264448881
900,1985,estimates,female,5yearly,0_19,32.8402973461199
900,1985,estimates,male,5yearly,0_19,33.1421699659728
900,1985,estimates,female,5yearly,0_24,34.6846081491967
900,1985,estimates,male,5yearly,0_24,35.3855751877151
900,1985,estimates,female,5yearly,5_14,3.78219861164333
900,1985,estimates,male,5yearly,5_14,3.58771922314241
900,1985,estimates,female,5yearly,15plus,68.7431147135327
900,1985,estimates,male,5yearly,15plus,68.6448735551119
900,1985,estimates,female,5yearly,15_24,3.42772286272938
900,1985,estimates,male,5yearly,15_24,4.03044874282705
900,1985,estimates,female,5yearly,15_49,12.8986846102049
900,1985,estimates,male,5yearly,15_49,16.4294461757714
900,1985,estimates,female,5yearly,15_59,19.8530425779948
900,1985,estimates,male,5yearly,15_59,26.1876799519236
900,1985,estimates,female,5yearly,15_64,25.2370230141473
900,1985,estimates,male,5yearly,15_64,33.1291869738101
900,1985,estimates,female,5yearly,20plus,67.1597026538801
900,1985,estimates,male,5yearly,20plus,66.8578300340272
900,1985,estimates,female,5yearly,20_64,23.6536109544947
900,1985,estimates,male,5yearly,20_64,31.3421434527254
900,1985,estimates,female,5yearly,20_69,30.4105338010293
900,1985,estimates,male,5yearly,20_69,39.0832370448336
900,1985,estimates,female,5yearly,25plus,65.3153918508033
900,1985,estimates,male,5yearly,25plus,64.6144248122848
900,1985,estimates,female,5yearly,25_69,28.5662229979526
900,1985,estimates,male,5yearly,25_69,36.8398318230912
900,1985,estimates,female,5yearly,40plus,59.9609943229944
900,1985,estimates,male,5yearly,40plus,57.8506112739885
900,1985,estimates,female,5yearly,50plus,55.8444301033278
900,1985,estimates,male,5yearly,50plus,52.2154273793405
900,1985,estimates,female,5yearly,60plus,48.8900721355379
900,1985,estimates,male,5yearly,60plus,42.4571936031882
900,1985,estimates,female,5yearly,65plus,43.5060916993854
900,1985,estimates,male,5yearly,65plus,35.5156865813018
900,1985,estimates,female,5yearly,70plus,36.7491688528507
900,1985,estimates,male,5yearly,70plus,27.7745929891936
900,1985,estimates,female,5yearly,80plus,18.5736205542626
900,1985,estimates,male,5yearly,80plus,10.8547560152439
900,1985,estimates,female,5yearly,90plus,3.65324354177638
900,1985,estimates,male,5yearly,90plus,1.3820633898689
900,1990,estimates,female,5yearly,0_4,24.3133458921661
900,1990,estimates,male,5yearly,0_4,24.3294995082363
900,1990,estimates,female,5yearly,0_14,27.8837660695971
900,1990,estimates,male,5yearly,0_14,27.7141198742847
900,1990,estimates,female,5yearly,0_19,29.4062574091407
900,1990,estimates,male,5yearly,0_19,29.3882771328307
900,1990,estimates,female,5yearly,0_24,31.2277206301419
900,1990,estimates,male,5yearly,0_24,31.5505506852398
900,1990,estimates,female,5yearly,5_14,3.57042017743108
900,1990,estimates,male,5yearly,5_14,3.38462036604838
900,1990,estimates,female,5yearly,15plus,72.1162339304028
900,1990,estimates,male,5yearly,15plus,72.2858801257153
900,1990,estimates,female,5yearly,15_24,3.3439545605447
900,1990,estimates,male,5yearly,15_24,3.83643081095505
900,1990,estimates,female,5yearly,15_49,13.3201489325081
900,1990,estimates,male,5yearly,15_49,17.3355084608099
900,1990,estimates,female,5yearly,15_59,20.287684288234
900,1990,estimates,male,5yearly,15_59,27.167215589357
900,1990,estimates,female,5yearly,15_64,25.7415070367837
900,1990,estimates,male,5yearly,15_64,34.3942231830098
900,1990,estimates,female,5yearly,20plus,70.5937425908593
900,1990,estimates,male,5yearly,20plus,70.6117228671693
900,1990,estimates,female,5yearly,20_64,24.2190156972401
900,1990,estimates,male,5yearly,20_64,32.7200659244638
900,1990,estimates,female,5yearly,20_69,31.377867953286
900,1990,estimates,male,5yearly,20_69,41.2359498681089
900,1990,estimates,female,5yearly,25plus,68.7722793698581
900,1990,estimates,male,5yearly,25plus,68.4494493147602
900,1990,estimates,female,5yearly,25_69,29.5564047322849
900,1990,estimates,male,5yearly,25_69,39.0736763156999
900,1990,estimates,female,5yearly,40plus,63.1751967978009
900,1990,estimates,male,5yearly,40plus,61.1437194193337
900,1990,estimates,female,5yearly,50plus,58.7960849978947
900,1990,estimates,male,5yearly,50plus,54.9503716649054
900,1990,estimates,female,5yearly,60plus,51.8285496421689
900,1990,estimates,male,5yearly,60plus,45.1186645363583
900,1990,estimates,female,5yearly,65plus,46.3747268936191
900,1990,estimates,male,5yearly,65plus,37.8916569427055
900,1990,estimates,female,5yearly,70plus,39.2158746375732
900,1990,estimates,male,5yearly,70plus,29.3757729990603
900,1990,estimates,female,5yearly,80plus,21.0625626291348
900,1990,estimates,male,5yearly,80plus,12.1062154983192
900,1990,estimates,female,5yearly,90plus,4.49431566309571
900,1990,estimates,male,5yearly,90plus,1.67549254973756
900,1995,estimates,female,5yearly,0_4,20.7912215845588
900,1995,estimates,male,5yearly,0_4,20.6681934589332
900,1995,estimates,female,5yearly,0_14,24.0527629293111
900,1995,estimates,male,5yearly,0_14,23.7992564724358
900,1995,estimates,female,5yearly,0_19,25.5407209427548
900,1995,estimates,male,5yearly,0_19,25.4480935505197
900,1995,estimates,female,5yearly,0_24,27.3517942649018
900,1995,estimates,male,5yearly,0_24,27.6079263559311
900,1995,estimates,female,5yearly,5_14,3.26154134475229
900,1995,estimates,male,5yearly,5_14,3.13106301350264
900,1995,estimates,female,5yearly,15plus,75.9472370706889
900,1995,estimates,male,5yearly,15plus,76.2007435275642
900,1995,estimates,female,5yearly,15_24,3.29903133559065
900,1995,estimates,male,5yearly,15_24,3.80866988349527
900,1995,estimates,female,5yearly,15_49,14.2026812626647
900,1995,estimates,male,5yearly,15_49,18.6103049671942
900,1995,estimates,female,5yearly,15_59,21.1968078116075
900,1995,estimates,male,5yearly,15_59,28.393814994655
900,1995,estimates,female,5yearly,15_64,26.6620237584462
900,1995,estimates,male,5yearly,15_64,35.5695572112777
900,1995,estimates,female,5yearly,20plus,74.4592790572452
900,1995,estimates,male,5yearly,20plus,74.5519064494803
900,1995,estimates,female,5yearly,20_64,25.1740657450026
900,1995,estimates,male,5yearly,20_64,33.9207201331938
900,1995,estimates,female,5yearly,20_69,32.3955232953802
900,1995,estimates,male,5yearly,20_69,42.7204497041875
900,1995,estimates,female,5yearly,25plus,72.6482057350982
900,1995,estimates,male,5yearly,25plus,72.3920736440689
900,1995,estimates,female,5yearly,25_69,30.5844499732332
900,1995,estimates,male,5yearly,25_69,40.5606168987761
900,1995,estimates,female,5yearly,40plus,66.6207836189777
900,1995,estimates,male,5yearly,40plus,64.6025745621265
900,1995,estimates,female,5yearly,50plus,61.7445558080242
900,1995,estimates,male,5yearly,50plus,57.59043856037
900,1995,estimates,female,5yearly,60plus,54.7504292590813
900,1995,estimates,male,5yearly,60plus,47.8069285329093
900,1995,estimates,female,5yearly,65plus,49.2852133122427
900,1995,estimates,male,5yearly,65plus,40.6311863162865
900,1995,estimates,female,5yearly,70plus,42.063755761865
900,1995,estimates,male,5yearly,70plus,31.8314567452928
900,1995,estimates,female,5yearly,80plus,23.0750023239311
900,1995,estimates,male,5yearly,80plus,13.3648324080521
900,1995,estimates,female,5yearly,90plus,5.54082900011153
900,1995,estimates,male,5yearly,90plus,2.07128817942507
900,2000,estimates,female,5yearly,0_4,17.4291985405405
900,2000,estimates,male,5yearly,0_4,17.590768254134
900,2000,estimates,female,5yearly,0_14,20.3370802823497
900,2000,estimates,male,5yearly,0_14,20.4060482705172
900,2000,estimates,female,5yearly,0_19,21.7856898792976
900,2000,estimates,male,5yearly,0_19,22.0088556516219
900,2000,estimates,female,5yearly,0_24,23.5783131364103
900,2000,estimates,male,5yearly,0_24,24.1283888946746
900,2000,estimates,female,5yearly,5_14,2.90788174180917
900,2000,estimates,male,5yearly,5_14,2.81528001638322
900,2000,estimates,female,5yearly,15plus,79.6629197176503
900,2000,estimates,male,5yearly,15plus,79.5939517294828
900,2000,estimates,female,5yearly,15_24,3.24123285406061
900,2000,estimates,male,5yearly,15_24,3.72234062415746
900,2000,estimates,female,5yearly,15_49,14.8931059159154
900,2000,estimates,male,5yearly,15_49,19.3177981578655
900,2000,estimates,female,5yearly,15_59,22.2847387472036
900,2000,estimates,male,5yearly,15_59,29.5402941445815
900,2000,estimates,female,5yearly,15_64,27.6432582354554
900,2000,estimates,male,5yearly,15_64,36.4278615205993
900,2000,estimates,female,5yearly,20plus,78.2143101207024
900,2000,estimates,male,5yearly,20plus,77.9911443483781
900,2000,estimates,female,5yearly,20_64,26.1946486385075
900,2000,estimates,male,5yearly,20_64,34.8250541394945
900,2000,estimates,female,5yearly,20_69,33.4774578407699
900,2000,estimates,male,5yearly,20_69,43.5420316350524
900,2000,estimates,female,5yearly,25plus,76.4216868635897
900,2000,estimates,male,5yearly,25plus,75.8716111053253
900,2000,estimates,female,5yearly,25_69,31.6848345836572
900,2000,estimates,male,5yearly,25_69,41.4224983919996
900,2000,estimates,female,5yearly,40plus,70.0347974492528
900,2000,estimates,male,5yearly,40plus,67.8343188599228
900,2000,estimates,female,5yearly,50plus,64.7698138017349
900,2000,estimates,male,5yearly,50plus,60.2761535716173
900,2000,estimates,female,5yearly,60plus,57.3781809704467
900,2000,estimates,male,5yearly,60plus,50.0536575849013
900,2000,estimates,female,5yearly,65plus,52.0196614821949
900,2000,estimates,male,5yearly,65plus,43.1660902088835
900,2000,estimates,female,5yearly,70plus,44.7368522799325
900,2000,estimates,male,5yearly,70plus,34.4491127133257
900,2000,estimates,female,5yearly,80plus,24.7349618390052
900,2000,estimates,male,5yearly,80plus,14.7358813759598
900,2000,estimates,female,5yearly,90plus,6.55300182463251
900,2000,estimates,male,5yearly,90plus,2.54457970042391
900,2005,estimates,female,5yearly,0_4,14.6354366997934
900,2005,estimates,male,5yearly,0_4,14.7924723736886
900,2005,estimates,female,5yearly,0_14,17.1734718333714
900,2005,estimates,male,5yearly,0_14,17.2657468385847
900,2005,estimates,female,5yearly,0_19,18.5046133420408
900,2005,estimates,male,5yearly,0_19,18.7556807387976
900,2005,estimates,female,5yearly,0_24,20.1978051859944
900,2005,estimates,male,5yearly,0_24,20.79439396926
900,2005,estimates,female,5yearly,5_14,2.53803513357801
900,2005,estimates,male,5yearly,5_14,2.47327446489609
900,2005,estimates,female,5yearly,15plus,82.8265281666287
900,2005,estimates,male,5yearly,15plus,82.7342531614152
900,2005,estimates,female,5yearly,15_24,3.02433335262299
