country,year,variant,gender,freq,agebroad,totaldeaths
854,1980,Estimates,female,5yearly,5_14,21.293
854,1980,Estimates,male,5yearly,5_14,21.102
854,1980,Estimates,female,5yearly,15plus,115.916
854,1980,Estimates,male,5yearly,15plus,114.166
854,1980,Estimates,female,5yearly,15_24,14.649
854,1980,Estimates,male,5yearly,15_24,15.56
854,1980,Estimates,female,5yearly,15_49,44.36
854,1980,Estimates,male,5yearly,15_49,45.555
854,1980,Estimates,female,5yearly,15_59,58.368
854,1980,Estimates,male,5yearly,15_59,60.939
854,1980,Estimates,female,5yearly,15_64,68.736
854,1980,Estimates,male,5yearly,15_64,71.7
854,1980,Estimates,female,5yearly,20plus,108.986
854,1980,Estimates,male,5yearly,20plus,107.043
854,1980,Estimates,female,5yearly,20_64,61.806
854,1980,Estimates,male,5yearly,20_64,64.577
854,1980,Estimates,female,5yearly,20_69,74.712
854,1980,Estimates,male,5yearly,20_69,77.048
854,1980,Estimates,female,5yearly,25plus,101.267
854,1980,Estimates,male,5yearly,25plus,98.606
854,1980,Estimates,female,5yearly,25_69,66.993
854,1980,Estimates,male,5yearly,25_69,68.611
854,1980,Estimates,female,5yearly,40plus,82.361
854,1980,Estimates,male,5yearly,40plus,80.092
854,1980,Estimates,female,5yearly,50plus,71.556
854,1980,Estimates,male,5yearly,50plus,68.611
854,1980,Estimates,female,5yearly,60plus,57.548
854,1980,Estimates,male,5yearly,60plus,53.227
854,1980,Estimates,female,5yearly,65plus,47.18
854,1980,Estimates,male,5yearly,65plus,42.466
854,1980,Estimates,female,5yearly,70plus,34.274
854,1980,Estimates,male,5yearly,70plus,29.995
854,1980,Estimates,female,5yearly,80plus,8.948
854,1980,Estimates,male,5yearly,80plus,7.301
854,1980,Estimates,female,5yearly,90plus,0.387
854,1980,Estimates,male,5yearly,90plus,0.281
854,1985,Estimates,female,5yearly,0_4,190.769
854,1985,Estimates,male,5yearly,0_4,210.462
854,1985,Estimates,female,5yearly,0_14,214.942
854,1985,Estimates,male,5yearly,0_14,234.16
854,1985,Estimates,female,5yearly,0_19,222.883
854,1985,Estimates,male,5yearly,0_19,242.218
854,1985,Estimates,female,5yearly,0_24,231.736
854,1985,Estimates,male,5yearly,0_24,251.786
854,1985,Estimates,female,5yearly,5_14,24.173
854,1985,Estimates,male,5yearly,5_14,23.698
854,1985,Estimates,female,5yearly,15plus,134.445
854,1985,Estimates,male,5yearly,15plus,125.739
854,1985,Estimates,female,5yearly,15_24,16.794
854,1985,Estimates,male,5yearly,15_24,17.626
854,1985,Estimates,female,5yearly,15_49,50.043
854,1985,Estimates,male,5yearly,15_49,50.475
