region,year,variant,freq,age1yearinterval,lifeexpectancy
927,2030,medium_variant,5yearly,70,18.2383451188852
927,2030,medium_variant,5yearly,75,14.1850672228028
927,2030,medium_variant,5yearly,80,10.5958640386067
927,2030,medium_variant,5yearly,85,7.5907990836473
927,2030,medium_variant,5yearly,90,5.24771913059694
927,2030,medium_variant,5yearly,95,3.56696245724752
927,2030,medium_variant,5yearly,100plus,2.4630191452246
927,2035,medium_variant,5yearly,0,85.7784506112694
927,2035,medium_variant,5yearly,1,84.956514784603
927,2035,medium_variant,5yearly,5,80.9938381566337
927,2035,medium_variant,5yearly,10,76.0129319685481
927,2035,medium_variant,5yearly,15,71.0400894654855
927,2035,medium_variant,5yearly,20,66.1098137075948
927,2035,medium_variant,5yearly,25,61.2105008631947
927,2035,medium_variant,5yearly,30,56.3137376554519
927,2035,medium_variant,5yearly,35,51.419881730792
927,2035,medium_variant,5yearly,40,46.5404843469807
927,2035,medium_variant,5yearly,45,41.6917492637373
927,2035,medium_variant,5yearly,50,36.8910684680841
927,2035,medium_variant,5yearly,55,32.1573973825617
927,2035,medium_variant,5yearly,60,27.5168520632353
927,2035,medium_variant,5yearly,65,23.0003425664403
927,2035,medium_variant,5yearly,70,18.6228806505934
927,2035,medium_variant,5yearly,75,14.5069584673823
927,2035,medium_variant,5yearly,80,10.8443315958487
927,2035,medium_variant,5yearly,85,7.76249679187623
927,2035,medium_variant,5yearly,90,5.34980207429068
927,2035,medium_variant,5yearly,95,3.61590522888597
927,2035,medium_variant,5yearly,100plus,2.47880351173247
927,2040,medium_variant,5yearly,0,86.409564862818
927,2040,medium_variant,5yearly,1,85.5713425740297
927,2040,medium_variant,5yearly,5,81.6051055511673
927,2040,medium_variant,5yearly,10,76.6220213212253
927,2040,medium_variant,5yearly,15,71.646859548155
927,2040,medium_variant,5yearly,20,66.710654651771
927,2040,medium_variant,5yearly,25,61.8031663102012
927,2040,medium_variant,5yearly,30,56.8980555178971
927,2040,medium_variant,5yearly,35,51.9957222296068
927,2040,medium_variant,5yearly,40,47.1067620607161
927,2040,medium_variant,5yearly,45,42.2455948788776
927,2040,medium_variant,5yearly,50,37.4296645967507
927,2040,medium_variant,5yearly,55,32.676093758603
927,2040,medium_variant,5yearly,60,28.0079704282932
927,2040,medium_variant,5yearly,65,23.4546582395511
927,2040,medium_variant,5yearly,70,19.0293526039319
927,2040,medium_variant,5yearly,75,14.8509103131379
927,2040,medium_variant,5yearly,80,11.1134775896197
927,2040,medium_variant,5yearly,85,7.95179683812199
927,2040,medium_variant,5yearly,90,5.46525544660058
927,2040,medium_variant,5yearly,95,3.67397833761939
927,2040,medium_variant,5yearly,100plus,2.50051515661528
927,2045,medium_variant,5yearly,0,87.0178585939248
927,2045,medium_variant,5yearly,1,86.1650512463754
927,2045,medium_variant,5yearly,5,82.1956598842195
927,2045,medium_variant,5yearly,10,77.2111352464642
927,2045,medium_variant,5yearly,15,72.2339569940156
927,2045,medium_variant,5yearly,20,67.2926195468984
927,2045,medium_variant,5yearly,25,62.3776142965919
927,2045,medium_variant,5yearly,30,57.4647197359646
927,2045,medium_variant,5yearly,35,52.5542657826699
927,2045,medium_variant,5yearly,40,47.6560377539115
927,2045,medium_variant,5yearly,45,42.7832712770239
927,2045,medium_variant,5yearly,50,37.9518488093591
927,2045,medium_variant,5yearly,55,33.1793856528551
927,2045,medium_variant,5yearly,60,28.4865764165218
927,2045,medium_variant,5yearly,65,23.8990778273101
927,2045,medium_variant,5yearly,70,19.4285971139764
927,2045,medium_variant,5yearly,75,15.1905052371163
927,2045,medium_variant,5yearly,80,11.3804845997844
927,2045,medium_variant,5yearly,85,8.14009982468295
927,2045,medium_variant,5yearly,90,5.57982976137356
927,2045,medium_variant,5yearly,95,3.7308426141855
927,2045,medium_variant,5yearly,100plus,2.52087500556336
927,2050,medium_variant,5yearly,0,87.6002080484007
927,2050,medium_variant,5yearly,1,86.733561317232
927,2050,medium_variant,5yearly,5,82.7614809205934
927,2050,medium_variant,5yearly,10,77.7757799660709
927,2050,medium_variant,5yearly,15,72.7965007317503
927,2050,medium_variant,5yearly,20,67.8501750722605
927,2050,medium_variant,5yearly,25,62.9281594966794
927,2050,medium_variant,5yearly,30,58.0080703993614
927,2050,medium_variant,5yearly,35,53.0900565916473
927,2050,medium_variant,5yearly,40,48.1831613719021
927,2050,medium_variant,5yearly,45,43.2996615409775
927,2050,medium_variant,5yearly,50,38.454054663068
927,2050,medium_variant,5yearly,55,33.6622059100629
927,2050,medium_variant,5yearly,60,28.9454098978332
927,2050,medium_variant,5yearly,65,24.326592504012
927,2050,medium_variant,5yearly,70,19.8169683666526
927,2050,medium_variant,5yearly,75,15.5321689322642
927,2050,medium_variant,5yearly,80,11.6623633434408
927,2050,medium_variant,5yearly,85,8.3531728386771
927,2050,medium_variant,5yearly,90,5.72363469094511
927,2050,medium_variant,5yearly,95,3.81530861823712
927,2050,medium_variant,5yearly,100plus,2.56297676161684
927,2055,medium_variant,5yearly,0,88.2147575752781
927,2055,medium_variant,5yearly,1,87.3355306206855
927,2055,medium_variant,5yearly,5,83.3607021706358
927,2055,medium_variant,5yearly,10,78.3733025564106
927,2055,medium_variant,5yearly,15,73.3921433419098
927,2055,medium_variant,5yearly,20,68.4406709176854
927,2055,medium_variant,5yearly,25,63.5111456863292
927,2055,medium_variant,5yearly,30,58.5835254090161
927,2055,medium_variant,5yearly,35,53.6579834048664
927,2055,medium_variant,5yearly,40,48.7425290063659
927,2055,medium_variant,5yearly,45,43.8483133193909
927,2055,medium_variant,5yearly,50,38.9887462026958
927,2055,medium_variant,5yearly,55,34.1782420889353
927,2055,medium_variant,5yearly,60,29.4358544560832
