continent,year,variant,gender,freq,agebroad,percentagetotaldeaths
909,1970,Estimates,female,5yearly,0_24,20.0265590214517
909,1970,Estimates,male,5yearly,0_24,20.6391011439165
909,1970,Estimates,female,5yearly,5_14,1.98296638537692
909,1970,Estimates,male,5yearly,5_14,2.11978719235581
909,1970,Estimates,female,5yearly,15plus,83.0755163041605
909,1970,Estimates,male,5yearly,15plus,83.2502524453287
909,1970,Estimates,female,5yearly,15_24,3.10207532561222
909,1970,Estimates,male,5yearly,15_24,3.88935358924508
909,1970,Estimates,female,5yearly,15_49,13.3822086721179
909,1970,Estimates,male,5yearly,15_49,16.2444801133367
909,1970,Estimates,female,5yearly,15_59,22.2383557300629
909,1970,Estimates,male,5yearly,15_59,28.8610947838013
909,1970,Estimates,female,5yearly,15_64,28.5316491176477
909,1970,Estimates,male,5yearly,15_64,38.1542855420416
909,1970,Estimates,female,5yearly,20plus,81.6637067295873
909,1970,Estimates,male,5yearly,20plus,81.4867145936007
909,1970,Estimates,female,5yearly,20_64,27.1198395430746
909,1970,Estimates,male,5yearly,20_64,36.3907476903137
909,1970,Estimates,female,5yearly,20_69,34.8559586635023
909,1970,Estimates,male,5yearly,20_69,46.9719748006813
909,1970,Estimates,female,5yearly,25plus,79.9734409785483
909,1970,Estimates,male,5yearly,25plus,79.3608988560836
909,1970,Estimates,female,5yearly,25_69,33.1656929124632
909,1970,Estimates,male,5yearly,25_69,44.8461590631641
909,1970,Estimates,female,5yearly,40plus,74.9357276275855
909,1970,Estimates,male,5yearly,40plus,73.8404470166237
909,1970,Estimates,female,5yearly,50plus,69.6933076320427
909,1970,Estimates,male,5yearly,50plus,67.005772331992
909,1970,Estimates,female,5yearly,60plus,60.8371605740976
909,1970,Estimates,male,5yearly,60plus,54.3891576615274
909,1970,Estimates,female,5yearly,65plus,54.5438671865128
909,1970,Estimates,male,5yearly,65plus,45.0959669032871
909,1970,Estimates,female,5yearly,70plus,46.8077480660851
909,1970,Estimates,male,5yearly,70plus,34.5147397929195
909,1970,Estimates,female,5yearly,80plus,25.2257861447375
909,1970,Estimates,male,5yearly,80plus,13.9551400883182
909,1970,Estimates,female,5yearly,90plus,5.26332718370985
909,1970,Estimates,male,5yearly,90plus,2.02314207773809
909,1975,Estimates,female,5yearly,0_4,13.2230962077932
909,1975,Estimates,male,5yearly,0_4,12.8516706489172
909,1975,Estimates,female,5yearly,0_14,15.0402147270711
909,1975,Estimates,male,5yearly,0_14,14.8797739598741
909,1975,Estimates,female,5yearly,0_19,16.3498727853941
909,1975,Estimates,male,5yearly,0_19,16.6611673683013
909,1975,Estimates,female,5yearly,0_24,17.9659176693166
909,1975,Estimates,male,5yearly,0_24,18.8622141313005
909,1975,Estimates,female,5yearly,5_14,1.81711851927791
909,1975,Estimates,male,5yearly,5_14,2.02810331095688
909,1975,Estimates,female,5yearly,15plus,84.9597852729289
909,1975,Estimates,male,5yearly,15plus,85.1202260401259
909,1975,Estimates,female,5yearly,15_24,2.9257029422455
909,1975,Estimates,male,5yearly,15_24,3.9824401714264
909,1975,Estimates,female,5yearly,15_49,12.6594842449603
909,1975,Estimates,male,5yearly,15_49,16.0780521105928
909,1975,Estimates,female,5yearly,15_59,21.3729857687397
