continent,year,variant,agebroad,population
909,2000,Estimates,12_14,1514.924
909,2000,Estimates,12_16,2510.423
909,2000,Estimates,12_17,3002.769
909,2000,Estimates,12_18,3486.693
909,2000,Estimates,13_17,2494.04
909,2000,Estimates,13_18,2977.964
909,2000,Estimates,13_19,3451.452
909,2000,Estimates,15plus,23064.374
909,2000,Estimates,15_17,1487.845
909,2000,Estimates,15_24,4728.583
909,2000,Estimates,15_49,15807.483
909,2000,Estimates,15_59,18914.873
909,2000,Estimates,15_64,20010.144
909,2000,Estimates,16plus,22565.626
909,2000,Estimates,17plus,22068.875
909,2000,Estimates,18plus,21576.529
909,2000,Estimates,18_23,2775.882
909,2000,Estimates,20plus,20619.117
909,2000,Estimates,20_64,17564.887
909,2000,Estimates,20_69,18477.298
909,2000,Estimates,21plus,20155.44
909,2000,Estimates,25plus,18335.791
909,2000,Estimates,25_49,11078.9
909,2000,Estimates,25_64,15281.561
909,2000,Estimates,25_69,16193.972
909,2000,Estimates,50plus,7256.891
909,2000,Estimates,60plus,4149.501
909,2000,Estimates,65plus,3054.23
909,2000,Estimates,70plus,2141.819
909,2000,Estimates,75plus,1319.03
909,2000,Estimates,80plus,674.265
909,2000,Estimates,85plus,299.514
909,2000,Estimates,90plus,88.714
909,2005,Estimates,total,33369.472
909,2005,Estimates,0_1,1128.033
909,2005,Estimates,0_4,2800.29
909,2005,Estimates,0_14,8300.608
909,2005,Estimates,0_17,9867.814
909,2005,Estimates,0_19,10895.177
909,2005,Estimates,0_24,13422.863
909,2005,Estimates,3_4,1112.982
909,2005,Estimates,3_5,1667.769
909,2005,Estimates,3_6,2221.875
909,2005,Estimates,4_5,1110.557
909,2005,Estimates,4_6,1664.663
909,2005,Estimates,5_10,3319.337
909,2005,Estimates,5_11,3870.684
909,2005,Estimates,5_14,5500.318
909,2005,Estimates,6_9,2212.938
909,2005,Estimates,6_10,2764.55
909,2005,Estimates,6_11,3315.897
909,2005,Estimates,6_12,3864.995
909,2005,Estimates,7_10,2210.444
909,2005,Estimates,7_12,3310.889
909,2005,Estimates,11_16,3232.258
909,2005,Estimates,11_17,3748.187
909,2005,Estimates,11_18,4261.93
909,2005,Estimates,12_14,1629.634
909,2005,Estimates,12_16,2680.911
909,2005,Estimates,12_17,3196.84
909,2005,Estimates,12_18,3710.583
909,2005,Estimates,13_17,2647.742
909,2005,Estimates,13_18,3161.485
909,2005,Estimates,13_19,3675.105
909,2005,Estimates,15plus,25068.864
909,2005,Estimates,15_17,1567.206
909,2005,Estimates,15_24,5122.255
909,2005,Estimates,15_49,16761.14
909,2005,Estimates,15_59,20378.984
909,2005,Estimates,15_64,21668.938
909,2005,Estimates,16plus,24539.282
909,2005,Estimates,17plus,24017.587
909,2005,Estimates,18plus,23501.658
909,2005,Estimates,18_23,3067.261
909,2005,Estimates,20plus,22474.295
909,2005,Estimates,20_64,19074.369
909,2005,Estimates,20_69,20103.027
909,2005,Estimates,21plus,21960.97
909,2005,Estimates,25plus,19946.609
909,2005,Estimates,25_49,11638.885
909,2005,Estimates,25_64,16546.683
909,2005,Estimates,25_69,17575.341
909,2005,Estimates,50plus,8307.724
