agebroad,gender,population,global,variant,year
18plus,male,784804.602,900,estimates,1954
20plus,male,734802.732,900,estimates,1954
21plus,male,710735.964,900,estimates,1954
25plus,male,618307.017,900,estimates,1954
50plus,male,197903.938,900,estimates,1954
60plus,male,95344.575,900,estimates,1954
65plus,male,60063.53,900,estimates,1954
70plus,male,33631.378,900,estimates,1954
75plus,male,16372.544,900,estimates,1954
80plus,male,6437.276,900,estimates,1954
85plus,male,1865.636,900,estimates,1954
90plus,male,454.658,900,estimates,1954
total,male,1353557.278,900,estimates,1954
0,female,43694.028,900,estimates,1955
0_1,female,84835.848,900,estimates,1955
0_4,female,197150.335,900,estimates,1955
0_14,female,480191.47,900,estimates,1955
0_17,female,555765.303,900,estimates,1955
0_19,female,604803.276,900,estimates,1955
0_24,female,718794.695,900,estimates,1955
3_4,female,72976.719,900,estimates,1955
3_5,female,106825.339,900,estimates,1955
3_6,female,139067.769,900,estimates,1955
4_5,female,69420.724,900,estimates,1955
4_6,female,101663.154,900,estimates,1955
5_14,female,283041.135,900,estimates,1955
5_10,female,181583.381,900,estimates,1955
5_11,female,207630.206,900,estimates,1955
6_9,female,120631.055,900,estimates,1955
6_10,female,147734.761,900,estimates,1955
6_11,female,173781.586,900,estimates,1955
6_12,female,199101.455,900,estimates,1955
7_10,female,115492.331,900,estimates,1955
7_12,female,166859.025,900,estimates,1955
11_16,female,151812.575,900,estimates,1955
11_17,female,177031.587,900,estimates,1955
11_18,female,201857.53,900,estimates,1955
12_14,female,75410.929,900,estimates,1955
12_16,female,125765.75,900,estimates,1955
12_17,female,150984.762,900,estimates,1955
12_18,female,175810.705,900,estimates,1955
13_17,female,125664.893,900,estimates,1955
13_18,female,150490.836,900,estimates,1955
13_19,female,174702.866,900,estimates,1955
15_17,female,75573.833,900,estimates,1955
18_23,female,140885.96,900,estimates,1955
15_24,female,238603.225,900,estimates,1955
15_49,female,668849.428,900,estimates,1955
15_59,female,780379.56,900,estimates,1955
15_64,female,821344.216,900,estimates,1955
20_64,female,696732.41,900,estimates,1955
20_69,female,729264.904,900,estimates,1955
25_49,female,430246.203,900,estimates,1955
25_64,female,582740.991,900,estimates,1955
25_69,female,615273.485,900,estimates,1955
15plus,female,900537.471,900,estimates,1955
16plus,female,875437.259,900,estimates,1955
17plus,female,850182.65,900,estimates,1955
18plus,female,824963.638,900,estimates,1955
20plus,female,775925.665,900,estimates,1955
21plus,female,752254.278,900,estimates,1955
25plus,female,661934.246,900,estimates,1955
50plus,female,231688.043,900,estimates,1955
60plus,female,120157.911,900,estimates,1955
65plus,female,79193.255,900,estimates,1955
70plus,female,46660.761,900,estimates,1955
75plus,female,23776.427,900,estimates,1955
80plus,female,9959.087,900,estimates,1955
85plus,female,3084.173,900,estimates,1955
90plus,female,764.342,900,estimates,1955
total,female,1380728.941,900,estimates,1955
0,male,45559.284,900,estimates,1955
0_1,male,88835.909,900,estimates,1955
0_4,male,205694.695,900,estimates,1955
0_14,male,500974.252,900,estimates,1955
0_17,male,580060.919,900,estimates,1955
0_19,male,631177.731,900,estimates,1955
0_24,male,749078.106,900,estimates,1955
3_4,male,75856.866,900,estimates,1955
3_5,male,110996.078,900,estimates,1955
3_6,male,144470.918,900,estimates,1955
4_5,male,72089.953,900,estimates,1955
4_6,male,105564.793,900,estimates,1955
5_14,male,295279.557,900,estimates,1955
5_10,male,188882.45,900,estimates,1955
5_11,male,216161.954,900,estimates,1955
6_9,male,125436.067,900,estimates,1955
6_10,male,153743.238,900,estimates,1955
6_11,male,181022.742,900,estimates,1955
6_12,male,207592.347,900,estimates,1955
7_10,male,120268.398,900,estimates,1955
7_12,male,174117.507,900,estimates,1955
11_16,male,159123.52,900,estimates,1955
11_17,male,185483.774,900,estimates,1955
11_18,male,211388.693,900,estimates,1955
12_14,male,79117.603,900,estimates,1955
12_16,male,131844.016,900,estimates,1955
12_17,male,158204.27,900,estimates,1955
12_18,male,184109.189,900,estimates,1955
13_17,male,131634.665,900,estimates,1955
13_18,male,157539.584,900,estimates,1955
13_19,male,182751.477,900,estimates,1955
15_17,male,79086.667,900,estimates,1955
18_23,male,146162.45,900,estimates,1955
15_24,male,248103.854,900,estimates,1955
15_49,male,675350.388,900,estimates,1955
15_59,male,780344.949,900,estimates,1955
15_64,male,816223.452,900,estimates,1955
20_64,male,686019.973,900,estimates,1955
20_69,male,712809.257,900,estimates,1955
25_49,male,427246.534,900,estimates,1955
25_64,male,568119.598,900,estimates,1955
25_69,male,594908.882,900,estimates,1955
15plus,male,876611.332,900,estimates,1955
16plus,male,850316.692,900,estimates,1955
17plus,male,823884.919,900,estimates,1955
18plus,male,797524.665,900,estimates,1955
20plus,male,746407.853,900,estimates,1955
21plus,male,721820.526,900,estimates,1955
25plus,male,628507.478,900,estimates,1955
50plus,male,201260.944,900,estimates,1955
60plus,male,96266.383,900,estimates,1955
65plus,male,60387.88,900,estimates,1955
70plus,male,33598.596,900,estimates,1955
75plus,male,16137.023,900,estimates,1955
80plus,male,6199.171,900,estimates,1955
85plus,male,1696.011,900,estimates,1955
90plus,male,361.017,900,estimates,1955
total,male,1377585.584,900,estimates,1955
0,female,44206.301,900,estimates,1956
0_1,female,85782.6,900,estimates,1956
0_4,female,202334.416,900,estimates,1956
