region,year,variant,freq,agebroad,totaldeaths
957,1985,estimates,5yearly,0_19,3.897
957,1985,estimates,5yearly,0_24,4.365
957,1985,estimates,5yearly,5_14,0.395
957,1985,estimates,5yearly,15plus,13.543
957,1985,estimates,5yearly,15_24,0.824
957,1985,estimates,5yearly,15_49,3.443
957,1985,estimates,5yearly,15_59,5.599
957,1985,estimates,5yearly,15_64,7.084
957,1985,estimates,5yearly,20plus,13.187
957,1985,estimates,5yearly,20_64,6.728
957,1985,estimates,5yearly,20_69,8.331
957,1985,estimates,5yearly,25plus,12.719
957,1985,estimates,5yearly,25_69,7.863
957,1985,estimates,5yearly,40plus,11.366
957,1985,estimates,5yearly,50plus,10.1
957,1985,estimates,5yearly,60plus,7.944
957,1985,estimates,5yearly,65plus,6.459
957,1985,estimates,5yearly,70plus,4.856
957,1985,estimates,5yearly,80plus,1.801
957,1985,estimates,5yearly,90plus,0.243
957,1990,estimates,5yearly,0_4,2.701
957,1990,estimates,5yearly,5_9,0.159
957,1990,estimates,5yearly,10_14,0.167
957,1990,estimates,5yearly,15_19,0.272
957,1990,estimates,5yearly,20_24,0.384
957,1990,estimates,5yearly,25_29,0.419
957,1990,estimates,5yearly,30_34,0.409
957,1990,estimates,5yearly,35_39,0.454
957,1990,estimates,5yearly,40_44,0.534
957,1990,estimates,5yearly,45_49,0.672
957,1990,estimates,5yearly,50_54,0.912
957,1990,estimates,5yearly,55_59,1.19
957,1990,estimates,5yearly,60_64,1.507
957,1990,estimates,5yearly,65_69,1.769
957,1990,estimates,5yearly,70_74,1.751
957,1990,estimates,5yearly,75_79,1.599
957,1990,estimates,5yearly,80_84,1.256
957,1990,estimates,5yearly,85_89,0.684
957,1990,estimates,5yearly,90_94,0.278
957,1990,estimates,5yearly,95plus,0.062
957,1990,estimates,5yearly,0_14,3.027
957,1990,estimates,5yearly,0_19,3.299
957,1990,estimates,5yearly,0_24,3.683
957,1990,estimates,5yearly,5_14,0.326
957,1990,estimates,5yearly,15plus,14.152
957,1990,estimates,5yearly,15_24,0.656
957,1990,estimates,5yearly,15_49,3.144
957,1990,estimates,5yearly,15_59,5.246
957,1990,estimates,5yearly,15_64,6.753
957,1990,estimates,5yearly,20plus,13.88
957,1990,estimates,5yearly,20_64,6.481
957,1990,estimates,5yearly,20_69,8.25
957,1990,estimates,5yearly,25plus,13.496
957,1990,estimates,5yearly,25_69,7.866
957,1990,estimates,5yearly,40plus,12.214
957,1990,estimates,5yearly,50plus,11.008
957,1990,estimates,5yearly,60plus,8.906
957,1990,estimates,5yearly,65plus,7.399
957,1990,estimates,5yearly,70plus,5.63
957,1990,estimates,5yearly,80plus,2.28
957,1990,estimates,5yearly,90plus,0.34
957,1995,estimates,5yearly,0_4,2.141
957,1995,estimates,5yearly,5_9,0.133
957,1995,estimates,5yearly,10_14,0.142
957,1995,estimates,5yearly,15_19,0.224
957,1995,estimates,5yearly,20_24,0.299
957,1995,estimates,5yearly,25_29,0.355
957,1995,estimates,5yearly,30_34,0.396
957,1995,estimates,5yearly,35_39,0.439
957,1995,estimates,5yearly,40_44,0.541
957,1995,estimates,5yearly,45_49,0.674
957,1995,estimates,5yearly,50_54,0.867
957,1995,estimates,5yearly,55_59,1.181
957,1995,estimates,5yearly,60_64,1.511
957,1995,estimates,5yearly,65_69,1.794
957,1995,estimates,5yearly,70_74,1.917
957,1995,estimates,5yearly,75_79,1.716
957,1995,estimates,5yearly,80_84,1.372
957,1995,estimates,5yearly,85_89,0.867
957,1995,estimates,5yearly,90_94,0.337
957,1995,estimates,5yearly,95plus,0.097
957,1995,estimates,5yearly,0_14,2.416
957,1995,estimates,5yearly,0_19,2.64
957,1995,estimates,5yearly,0_24,2.939
957,1995,estimates,5yearly,5_14,0.275
957,1995,estimates,5yearly,15plus,14.587
957,1995,estimates,5yearly,15_24,0.523
957,1995,estimates,5yearly,15_49,2.928
957,1995,estimates,5yearly,15_59,4.976
957,1995,estimates,5yearly,15_64,6.487
957,1995,estimates,5yearly,20plus,14.363
957,1995,estimates,5yearly,20_64,6.263
957,1995,estimates,5yearly,20_69,8.057
957,1995,estimates,5yearly,25plus,14.064
957,1995,estimates,5yearly,25_69,7.758
957,1995,estimates,5yearly,40plus,12.874
957,1995,estimates,5yearly,50plus,11.659
957,1995,estimates,5yearly,60plus,9.611
957,1995,estimates,5yearly,65plus,8.1
957,1995,estimates,5yearly,70plus,6.306
957,1995,estimates,5yearly,80plus,2.673
957,1995,estimates,5yearly,90plus,0.434
957,2000,estimates,5yearly,0_4,1.837
957,2000,estimates,5yearly,5_9,0.109
957,2000,estimates,5yearly,10_14,0.12
957,2000,estimates,5yearly,15_19,0.194
957,2000,estimates,5yearly,20_24,0.243
957,2000,estimates,5yearly,25_29,0.276
957,2000,estimates,5yearly,30_34,0.337
957,2000,estimates,5yearly,35_39,0.425
957,2000,estimates,5yearly,40_44,0.534
957,2000,estimates,5yearly,45_49,0.704
957,2000,estimates,5yearly,50_54,0.894
957,2000,estimates,5yearly,55_59,1.14
957,2000,estimates,5yearly,60_64,1.528
957,2000,estimates,5yearly,65_69,1.864
957,2000,estimates,5yearly,70_74,2.029
957,2000,estimates,5yearly,75_79,1.96
957,2000,estimates,5yearly,80_84,1.525
957,2000,estimates,5yearly,85_89,0.973
957,2000,estimates,5yearly,90_94,0.45
957,2000,estimates,5yearly,95plus,0.124
957,2000,estimates,5yearly,0_14,2.066
957,2000,estimates,5yearly,0_19,2.26
957,2000,estimates,5yearly,0_24,2.503
957,2000,estimates,5yearly,5_14,0.229
957,2000,estimates,5yearly,15plus,15.2
957,2000,estimates,5yearly,15_24,0.437
957,2000,estimates,5yearly,15_49,2.713
957,2000,estimates,5yearly,15_59,4.747
957,2000,estimates,5yearly,15_64,6.275
957,2000,estimates,5yearly,20plus,15.006
957,2000,estimates,5yearly,20_64,6.081
957,2000,estimates,5yearly,20_69,7.945
957,2000,estimates,5yearly,25plus,14.763
957,2000,estimates,5yearly,25_69,7.702
957,2000,estimates,5yearly,40plus,13.725
957,2000,estimates,5yearly,50plus,12.487
957,2000,estimates,5yearly,60plus,10.453
957,2000,estimates,5yearly,65plus,8.925
957,2000,estimates,5yearly,70plus,7.061
957,2000,estimates,5yearly,80plus,3.072
957,2000,estimates,5yearly,90plus,0.574
957,2005,estimates,5yearly,0_4,1.583
957,2005,estimates,5yearly,5_9,0.089
957,2005,estimates,5yearly,10_14,0.096
957,2005,estimates,5yearly,15_19,0.161
957,2005,estimates,5yearly,20_24,0.203
