country,variant,gender,year,population
64,Constant_fertility,male,2031,487.605
64,Constant_mortality,female,2031,412.116
64,Constant_mortality,male,2031,463.217
64,High_variant,female,2031,441.503
64,High_variant,male,2031,493.001
64,Instant_replacement,female,2031,439.507
64,Instant_replacement,male,2031,490.938
64,Low_variant,female,2031,399.131
64,Low_variant,male,2031,449.22
64,Medium_variant,female,2031,420.318
64,Medium_variant,male,2031,471.109
64,No_change,female,2031,427.771
64,No_change,male,2031,479.354
64,Zero_migration,female,2031,420.318
64,Zero_migration,male,2031,471.109
64,Constant_fertility,female,2032,440.711
64,Constant_fertility,male,2032,491.471
64,Constant_mortality,female,2032,414.139
64,Constant_mortality,male,2032,464.671
64,High_variant,female,2032,446.08
64,High_variant,male,2032,497.014
64,Instant_replacement,female,2032,444.038
64,Instant_replacement,male,2032,494.903
64,Low_variant,female,2032,400.375
64,Low_variant,male,2032,449.794
64,Medium_variant,female,2032,423.228
64,Medium_variant,male,2032,473.403
64,No_change,female,2032,431.268
64,No_change,male,2032,482.326
64,Zero_migration,female,2032,423.228
64,Zero_migration,male,2032,473.403
64,Constant_fertility,female,2033,445.064
64,Constant_fertility,male,2033,495.239
64,Constant_mortality,female,2033,416.004
64,Constant_mortality,male,2033,465.952
64,High_variant,female,2033,450.524
64,High_variant,male,2033,500.874
64,Instant_replacement,female,2033,448.478
64,Instant_replacement,male,2033,498.76
64,Low_variant,female,2033,401.52
64,Low_variant,male,2033,450.253
64,Medium_variant,female,2033,426.021
64,Medium_variant,male,2033,475.562
64,No_change,female,2033,434.639
64,No_change,male,2033,485.156
64,Zero_migration,female,2033,426.021
64,Zero_migration,male,2033,475.562
64,Constant_fertility,female,2034,449.332
64,Constant_fertility,male,2034,498.907
64,Constant_mortality,female,2034,417.714
64,Constant_mortality,male,2034,467.062
64,High_variant,female,2034,454.845
64,High_variant,male,2034,504.596
64,Instant_replacement,female,2034,452.824
64,Instant_replacement,male,2034,502.509
64,Low_variant,female,2034,402.555
64,Low_variant,male,2034,450.587
64,Medium_variant,female,2034,428.696
64,Medium_variant,male,2034,477.586
64,No_change,female,2034,437.883
64,No_change,male,2034,487.844
64,Zero_migration,female,2034,428.696
