region,year,variant,freq,age1yearinterval,survivorage
915,2005,estimates,5yearly,95,7578.23764775208
915,2005,estimates,5yearly,100plus,2383.41754443005
915,2010,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,2010,estimates,5yearly,0,100000
915,2010,estimates,5yearly,1,97301.8787474404
915,2010,estimates,5yearly,5,96076.3963297338
915,2010,estimates,5yearly,10,95518.1938284808
915,2010,estimates,5yearly,15,95064.074761399
915,2010,estimates,5yearly,20,94433.8191786016
915,2010,estimates,5yearly,25,93570.4434540732
915,2010,estimates,5yearly,30,92500.2843371582
915,2010,estimates,5yearly,35,91282.1771356056
915,2010,estimates,5yearly,40,90006.7142283213
915,2010,estimates,5yearly,45,88556.3556925342
915,2010,estimates,5yearly,50,86697.8423659912
915,2010,estimates,5yearly,55,84154.2705866211
915,2010,estimates,5yearly,60,80565.168141211
915,2010,estimates,5yearly,65,75499.8424633779
915,2010,estimates,5yearly,70,68277.8197940971
915,2010,estimates,5yearly,75,58447.4771682357
915,2010,estimates,5yearly,80,46131.0315981263
915,2010,estimates,5yearly,85,32279.1200780495
915,2010,estimates,5yearly,90,18964.4947009407
915,2010,estimates,5yearly,95,8713.15432214548
915,2010,estimates,5yearly,100plus,2874.71485287866
915,2015,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2015,medium_variant,5yearly,0,100000
915,2015,medium_variant,5yearly,1,97582.2202810781
915,2015,medium_variant,5yearly,5,96474.0421629524
915,2015,medium_variant,5yearly,10,95975.2828338116
915,2015,medium_variant,5yearly,15,95558.4107350291
915,2015,medium_variant,5yearly,20,94977.1584122839
915,2015,medium_variant,5yearly,25,94159.9001249941
915,2015,medium_variant,5yearly,30,93166.5939191234
915,2015,medium_variant,5yearly,35,92013.4156362082
915,2015,medium_variant,5yearly,40,90704.8844967271
915,2015,medium_variant,5yearly,45,89244.9101738766
915,2015,medium_variant,5yearly,50,87458.3864972773
915,2015,medium_variant,5yearly,55,85066.3514362457
915,2015,medium_variant,5yearly,60,81657.2774533484
915,2015,medium_variant,5yearly,65,76738.9035080038
915,2015,medium_variant,5yearly,70,69785.8864850461
915,2015,medium_variant,5yearly,75,60225.566875496
915,2015,medium_variant,5yearly,80,48089.1781358429
915,2015,medium_variant,5yearly,85,34200.6349698918
915,2015,medium_variant,5yearly,90,20543.1311237502
915,2015,medium_variant,5yearly,95,9716.0269850307
915,2015,medium_variant,5yearly,100plus,3323.05066389643
915,2020,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2020,medium_variant,5yearly,0,100000
915,2020,medium_variant,5yearly,1,97823.6851490014
915,2020,medium_variant,5yearly,5,96823.3031233087
915,2020,medium_variant,5yearly,10,96374.8864846783
915,2020,medium_variant,5yearly,15,95996.6298994889
915,2020,medium_variant,5yearly,20,95456.2042256392
915,2020,medium_variant,5yearly,25,94694.3507765261
915,2020,medium_variant,5yearly,30,93761.1627491375
915,2020,medium_variant,5yearly,35,92698.2408616693
915,2020,medium_variant,5yearly,40,91468.6680375541
915,2020,medium_variant,5yearly,45,89989.5835096653
915,2020,medium_variant,5yearly,50,88214.3551013228
915,2020,medium_variant,5yearly,55,85925.1095937292
915,2020,medium_variant,5yearly,60,82718.6547200443
915,2020,medium_variant,5yearly,65,78025.1393208622
915,2020,medium_variant,5yearly,70,71258.5327576773
