continent,year,variant,agebroad,feminityratio_femaleper100male
935,1985,Estimates,75plus,141.243996018309
935,1985,Estimates,80plus,159.3036844248
935,1985,Estimates,85plus,184.193106281365
935,1985,Estimates,90plus,218.609901375592
935,1990,Estimates,total,95.9018021124415
935,1990,Estimates,0_1,93.5132745237363
935,1990,Estimates,0_4,93.797726042911
935,1990,Estimates,0_14,94.2876700512369
935,1990,Estimates,0_17,94.3294641324276
935,1990,Estimates,0_19,94.3722503628763
935,1990,Estimates,0_24,94.5419727809799
935,1990,Estimates,3_4,94.0893481457602
935,1990,Estimates,3_5,94.1588186386372
935,1990,Estimates,3_6,94.2206604561391
935,1990,Estimates,4_5,94.2354051249971
935,1990,Estimates,4_6,94.294177802008
935,1990,Estimates,5_10,94.5137766340475
935,1990,Estimates,5_11,94.5392213435685
935,1990,Estimates,5_14,94.5799454067831
935,1990,Estimates,6_9,94.5322507762777
935,1990,Estimates,6_10,94.5589693838579
935,1990,Estimates,6_11,94.5818840739917
935,1990,Estimates,6_12,94.5993418016594
935,1990,Estimates,7_10,94.5966986959683
935,1990,Estimates,7_12,94.6322430617322
935,1990,Estimates,11_16,94.6467437397801
935,1990,Estimates,11_17,94.6313900748415
935,1990,Estimates,11_18,94.6376399422763
935,1990,Estimates,12_14,94.6821692553513
935,1990,Estimates,12_16,94.6353009278375
935,1990,Estimates,12_17,94.6193444645988
935,1990,Estimates,12_18,94.6282220744453
935,1990,Estimates,13_17,94.6013487700464
935,1990,Estimates,13_18,94.6146998140621
935,1990,Estimates,13_19,94.6551731862432
935,1990,Estimates,15plus,96.7422658433458
935,1990,Estimates,15_17,94.5580349112238
935,1990,Estimates,15_24,94.9711800673615
935,1990,Estimates,15_49,95.032225470602
935,1990,Estimates,15_59,95.1633017284248
935,1990,Estimates,15_64,95.3180962985958
935,1990,Estimates,16plus,96.8118160926187
935,1990,Estimates,17plus,96.8892242098574
935,1990,Estimates,18plus,96.9721049078522
935,1990,Estimates,18_23,95.138652400433
935,1990,Estimates,20plus,97.1360937976757
935,1990,Estimates,20_64,95.4544165506703
935,1990,Estimates,20_69,95.8120569038923
935,1990,Estimates,21plus,97.2140858313563
935,1990,Estimates,25plus,97.5324260096181
935,1990,Estimates,25_49,95.0714614776031
935,1990,Estimates,25_64,95.4890393496446
935,1990,Estimates,25_69,95.9272777965424
935,1990,Estimates,50plus,103.11736869647
935,1990,Estimates,60plus,110.273194631445
935,1990,Estimates,65plus,117.093232625772
935,1990,Estimates,70plus,125.508968018746
935,1990,Estimates,75plus,139.598723515815
935,1990,Estimates,80plus,160.57549640716
935,1990,Estimates,85plus,188.015364567343
935,1990,Estimates,90plus,223.07771238596
935,1995,Estimates,total,95.8131581819726
935,1995,Estimates,0_1,92.0989392648439
935,1995,Estimates,0_4,92.5524476741357
935,1995,Estimates,0_14,93.5569212400217
935,1995,Estimates,0_17,93.7407314873145
935,1995,Estimates,0_19,93.833782968164
935,1995,Estimates,0_24,94.0015315184944
935,1995,Estimates,3_4,92.9542557725793
935,1995,Estimates,3_5,93.0671113595724
935,1995,Estimates,3_6,93.174568483295
935,1995,Estimates,4_5,93.1815314235601
935,1995,Estimates,4_6,93.2863478062125
935,1995,Estimates,5_10,93.7685349948745
935,1995,Estimates,5_11,93.8554810571852
935,1995,Estimates,5_14,94.0752536586852
935,1995,Estimates,6_9,93.7798603230102
935,1995,Estimates,6_10,93.8682354890969
935,1995,Estimates,6_11,93.9549816368025
935,1995,Estimates,6_12,94.036478213141
935,1995,Estimates,7_10,93.9654368349763
935,1995,Estimates,7_12,94.1333361513801
935,1995,Estimates,11_16,94.6640779015529
935,1995,Estimates,11_17,94.6890362729548
935,1995,Estimates,11_18,94.7053211566615
935,1995,Estimates,12_14,94.6583147725671
935,1995,Estimates,12_16,94.7153635823889
935,1995,Estimates,12_17,94.7366638739925
935,1995,Estimates,12_18,94.7489408088679
935,1995,Estimates,13_17,94.7707420764198
935,1995,Estimates,13_18,94.7796873121948
935,1995,Estimates,13_19,94.7798327823123
935,1995,Estimates,15plus,96.9274942405152
935,1995,Estimates,15_17,94.8197099176269
935,1995,Estimates,15_24,94.7835644144292
935,1995,Estimates,15_49,95.1351569809644
935,1995,Estimates,15_59,95.3122582398744
935,1995,Estimates,15_64,95.5042947966115
935,1995,Estimates,16plus,96.9906537545412
935,1995,Estimates,17plus,97.0546585871277
935,1995,Estimates,18plus,97.1211294011579
935,1995,Estimates,18_23,94.7319057917323
935,1995,Estimates,20plus,97.2705929362634
935,1995,Estimates,20_64,95.6264294693537
935,1995,Estimates,20_69,95.9116928413659
935,1995,Estimates,21plus,97.3564623016103
935,1995,Estimates,25plus,97.7645270653877
935,1995,Estimates,25_49,95.3308489739301
935,1995,Estimates,25_64,95.8161810899266
935,1995,Estimates,25_69,96.1522645918607
935,1995,Estimates,50plus,103.48258976622
935,1995,Estimates,60plus,109.872503572491
935,1995,Estimates,65plus,115.7403067163
935,1995,Estimates,70plus,125.139854561484
935,1995,Estimates,75plus,137.040435491156
935,1995,Estimates,80plus,156.916011523394
935,1995,Estimates,85plus,186.809640566466
935,1995,Estimates,90plus,228.622868390149
935,2000,Estimates,total,95.8608002544042
935,2000,Estimates,0_1,92.1152216136309
935,2000,Estimates,0_4,91.9273559988636
935,2000,Estimates,0_14,92.6995701514059
935,2000,Estimates,0_17,92.9916287271149
935,2000,Estimates,0_19,93.1558617052119
935,2000,Estimates,0_24,93.4537864623717
935,2000,Estimates,3_4,91.7954591202493
935,2000,Estimates,3_5,91.8452948179402
935,2000,Estimates,3_6,91.9172408234533
935,2000,Estimates,4_5,91.8813811864372
935,2000,Estimates,4_6,91.9644950911205
935,2000,Estimates,5_10,92.5270092765772
935,2000,Estimates,5_11,92.668878101777
935,2000,Estimates,5_14,93.0576442597869
935,2000,Estimates,6_9,92.4997488972541
935,2000,Estimates,6_10,92.638815954007
935,2000,Estimates,6_11,92.7839293711113
935,2000,Estimates,6_12,92.9256798038002
935,2000,Estimates,7_10,92.7622969728293
935,2000,Estimates,7_12,93.0527786252736
935,2000,Estimates,11_16,94.0263623191194
935,2000,Estimates,11_17,94.1172951294007
935,2000,Estimates,11_18,94.1948975385371
935,2000,Estimates,12_14,93.9502117359367
935,2000,Estimates,12_16,94.1411911620282
935,2000,Estimates,12_17,94.2307064047821
935,2000,Estimates,12_18,94.3055596263329
935,2000,Estimates,13_17,94.3353816328765
935,2000,Estimates,13_18,94.4078272350203
935,2000,Estimates,13_19,94.4625262465239
935,2000,Estimates,15plus,97.2766796952497
935,2000,Estimates,15_17,94.5386982743349
935,2000,Estimates,15_24,94.7418481016126
935,2000,Estimates,15_49,95.2441194494455
935,2000,Estimates,15_59,95.5842382374073
935,2000,Estimates,15_64,95.7791071457043
935,2000,Estimates,16plus,97.36463942881
935,2000,Estimates,17plus,97.4484080289673
935,2000,Estimates,18plus,97.5295673918138
935,2000,Estimates,18_23,94.8373384629719
935,2000,Estimates,20plus,97.6955983734629
935,2000,Estimates,20_64,95.9770428424783
935,2000,Estimates,20_69,96.2986203588394
935,2000,Estimates,21plus,97.782879590915
935,2000,Estimates,25plus,98.1777823950474
935,2000,Estimates,25_49,95.4994232839205
935,2000,Estimates,25_64,96.189951409821
935,2000,Estimates,25_69,96.5596636216655
935,2000,Estimates,50plus,104.408541840862
935,2000,Estimates,60plus,110.168012448171
935,2000,Estimates,65plus,115.583707660304
935,2000,Estimates,70plus,123.83415844369
935,2000,Estimates,75plus,136.981876812672
935,2000,Estimates,80plus,153.622061733389
935,2000,Estimates,85plus,181.470287161115
935,2000,Estimates,90plus,226.000312680364
935,2005,Estimates,total,95.6820244647135
935,2005,Estimates,0_1,90.9711747221522
935,2005,Estimates,0_4,91.1981530047089
935,2005,Estimates,0_14,91.8191659649933
935,2005,Estimates,0_17,92.1308775017463
935,2005,Estimates,0_19,92.3458019523429
935,2005,Estimates,0_24,92.8308762687809
935,2005,Estimates,3_4,91.4229193088959
935,2005,Estimates,3_5,91.4795660494353
935,2005,Estimates,3_6,91.5330406324401
935,2005,Estimates,4_5,91.5386947147264
