global,year,variant,agebroad,sexratio_maleper100female
900,2005,estimates,12_14,106.112712382253
900,2005,estimates,12_16,105.824603983345
900,2005,estimates,12_17,105.685501821214
900,2005,estimates,12_18,105.557229695461
900,2005,estimates,13_17,105.552732040511
900,2005,estimates,13_18,105.425922896863
900,2005,estimates,13_19,105.310544203952
900,2005,estimates,15plus,99.6216567284554
900,2005,estimates,15_17,105.271486030746
900,2005,estimates,15_24,104.565840472651
900,2005,estimates,15_49,103.241771474523
900,2005,estimates,15_59,102.573378652613
900,2005,estimates,15_64,102.227549241997
900,2005,estimates,16plus,99.4646788181058
900,2005,estimates,17plus,99.3049734784453
900,2005,estimates,18plus,99.1431990085206
900,2005,estimates,18_23,104.317850672473
900,2005,estimates,20plus,98.8180763525431
900,2005,estimates,20_64,101.747762696851
900,2005,estimates,20_69,101.233044414196
