region,year,variant,gender,freq,agebroad,percentagetotaldeaths
948,1975,estimates,female,5yearly,25_69,27.0924933139565
948,1975,estimates,male,5yearly,25_69,30.3375445623112
948,1975,estimates,female,5yearly,40plus,36.8270960138929
948,1975,estimates,male,5yearly,40plus,37.5375488368893
948,1975,estimates,female,5yearly,50plus,32.0238831953794
948,1975,estimates,male,5yearly,50plus,31.8804033750432
948,1975,estimates,female,5yearly,60plus,25.6600271738614
948,1975,estimates,male,5yearly,60plus,24.113876342394
948,1975,estimates,female,5yearly,65plus,21.4078600917787
948,1975,estimates,male,5yearly,65plus,19.2583607085535
948,1975,estimates,female,5yearly,70plus,16.4050451752888
948,1975,estimates,male,5yearly,70plus,13.9405784836607
948,1975,estimates,female,5yearly,80plus,6.30150200125765
948,1975,estimates,male,5yearly,80plus,4.50913628390481
948,1975,estimates,female,5yearly,90plus,0.895367199407846
948,1975,estimates,male,5yearly,90plus,0.468596660644218
948,1980,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1980,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1980,estimates,female,5yearly,0_4,43.0441811610231
948,1980,estimates,male,5yearly,0_4,42.002288431272
948,1980,estimates,female,5yearly,0_14,48.7805653929487
948,1980,estimates,male,5yearly,0_14,47.1795244342454
948,1980,estimates,female,5yearly,0_19,50.973180401646
948,1980,estimates,male,5yearly,0_19,49.5502938550001
948,1980,estimates,female,5yearly,0_24,53.4583290830887
948,1980,estimates,male,5yearly,0_24,52.3979333614861
948,1980,estimates,female,5yearly,5_14,5.73638423192559
948,1980,estimates,male,5yearly,5_14,5.17723600297348
948,1980,estimates,female,5yearly,15plus,51.2194346070513
948,1980,estimates,male,5yearly,15plus,52.8204755657546
948,1980,estimates,female,5yearly,15_24,4.67776369014005
948,1980,estimates,male,5yearly,15_24,5.21840892724064
948,1980,estimates,female,5yearly,15_49,15.9488704631779
948,1980,estimates,male,5yearly,15_49,18.2417446868814
948,1980,estimates,female,5yearly,15_59,22.6413829986244
948,1980,estimates,male,5yearly,15_59,26.4538643485607
948,1980,estimates,female,5yearly,15_64,27.158277122023
948,1980,estimates,male,5yearly,15_64,31.600014049407
948,1980,estimates,female,5yearly,20plus,49.0268195983539
948,1980,estimates,male,5yearly,20plus,50.4497061449999
948,1980,estimates,female,5yearly,20_64,24.9656621133256
948,1980,estimates,male,5yearly,20_64,29.2292446286523
948,1980,estimates,female,5yearly,20_69,30.2857049464434
948,1980,estimates,male,5yearly,20_69,34.8294193710396
948,1980,estimates,female,5yearly,25plus,46.5416709169113
948,1980,estimates,male,5yearly,25plus,47.602066638514
948,1980,estimates,female,5yearly,25_69,27.8005562650007
948,1980,estimates,male,5yearly,25_69,31.9817798645536
948,1980,estimates,female,5yearly,40plus,39.9720941501328
948,1980,estimates,male,5yearly,40plus,40.2456646870323
948,1980,estimates,female,5yearly,50plus,35.2705641438734
948,1980,estimates,male,5yearly,50plus,34.5787308788732
948,1980,estimates,female,5yearly,60plus,28.5780516084269
948,1980,estimates,male,5yearly,60plus,26.3666112171939
948,1980,estimates,female,5yearly,65plus,24.0611574850283
948,1980,estimates,male,5yearly,65plus,21.2204615163476
948,1980,estimates,female,5yearly,70plus,18.7411146519105
948,1980,estimates,male,5yearly,70plus,15.6202867739604
948,1980,estimates,female,5yearly,80plus,7.4470229651085
948,1980,estimates,male,5yearly,80plus,5.27640058811937
948,1980,estimates,female,5yearly,90plus,1.09599786453691
948,1980,estimates,male,5yearly,90plus,0.561614394415696
948,1985,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1985,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1985,estimates,female,5yearly,0_4,39.5316080151732
948,1985,estimates,male,5yearly,0_4,38.6536038700452
948,1985,estimates,female,5yearly,0_14,45.1180420726487
948,1985,estimates,male,5yearly,0_14,43.6408203275934
948,1985,estimates,female,5yearly,0_19,47.3037455536036
948,1985,estimates,male,5yearly,0_19,45.9245336848709
948,1985,estimates,female,5yearly,0_24,49.8048534676871
948,1985,estimates,male,5yearly,0_24,48.713123477187
948,1985,estimates,female,5yearly,5_14,5.58643405747546
948,1985,estimates,male,5yearly,5_14,4.98721645754819
948,1985,estimates,female,5yearly,15plus,54.8819579273513
948,1985,estimates,male,5yearly,15plus,56.3591796724066
948,1985,estimates,female,5yearly,15_24,4.68681139503839
948,1985,estimates,male,5yearly,15_24,5.07230314959365
948,1985,estimates,female,5yearly,15_49,16.2049413432657
948,1985,estimates,male,5yearly,15_49,18.6432178678853
948,1985,estimates,female,5yearly,15_59,23.2507860812116
948,1985,estimates,male,5yearly,15_59,27.2551599155909
948,1985,estimates,female,5yearly,15_64,28.1368083255393
948,1985,estimates,male,5yearly,15_64,32.8732643254182
948,1985,estimates,female,5yearly,20plus,52.6962544463964
948,1985,estimates,male,5yearly,20plus,54.075466315129
948,1985,estimates,female,5yearly,20_64,25.9511048445844
948,1985,estimates,male,5yearly,20_64,30.5895509681407
948,1985,estimates,female,5yearly,20_69,31.6763774564837
948,1985,estimates,male,5yearly,20_69,36.645274680877
948,1985,estimates,female,5yearly,25plus,50.1951465323129
948,1985,estimates,male,5yearly,25plus,51.2868765228129
948,1985,estimates,female,5yearly,25_69,29.1752695424002
948,1985,estimates,male,5yearly,25_69,33.8566848885609
948,1985,estimates,female,5yearly,40plus,43.3857111136093
948,1985,estimates,male,5yearly,40plus,43.5000159458007
948,1985,estimates,female,5yearly,50plus,38.6770165840856
948,1985,estimates,male,5yearly,50plus,37.7159618045213
948,1985,estimates,female,5yearly,60plus,31.6311718461397
948,1985,estimates,male,5yearly,60plus,29.1040197568156
948,1985,estimates,female,5yearly,65plus,26.745149601812
948,1985,estimates,male,5yearly,65plus,23.4859153469884
948,1985,estimates,female,5yearly,70plus,21.0198769899127
948,1985,estimates,male,5yearly,70plus,17.430191634252
948,1985,estimates,female,5yearly,80plus,8.66727780310481
948,1985,estimates,male,5yearly,80plus,6.16183164492861
948,1985,estimates,female,5yearly,90plus,1.32876650945638
948,1985,estimates,male,5yearly,90plus,0.691153124834501
948,1990,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1990,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1990,estimates,female,5yearly,0_4,36.1795526965827
948,1990,estimates,male,5yearly,0_4,35.2216705452463
948,1990,estimates,female,5yearly,0_14,41.574931852122
948,1990,estimates,male,5yearly,0_14,40.0747768498346
948,1990,estimates,female,5yearly,0_19,43.7536824706511
948,1990,estimates,male,5yearly,0_19,42.2811841120991
948,1990,estimates,female,5yearly,0_24,46.2737059802504
948,1990,estimates,male,5yearly,0_24,44.9944006760667
948,1990,estimates,female,5yearly,5_14,5.39537915553934
948,1990,estimates,male,5yearly,5_14,4.85310630458834
948,1990,estimates,female,5yearly,15plus,58.4250681478779
948,1990,estimates,male,5yearly,15plus,59.9252231501654
948,1990,estimates,female,5yearly,15_24,4.69877412812843
948,1990,estimates,male,5yearly,15_24,4.9196238262321
948,1990,estimates,female,5yearly,15_49,16.8854754198788
948,1990,estimates,male,5yearly,15_49,19.5903254916156
948,1990,estimates,female,5yearly,15_59,24.08244323515
948,1990,estimates,male,5yearly,15_59,28.456823439793
948,1990,estimates,female,5yearly,15_64,29.2042429394483
948,1990,estimates,male,5yearly,15_64,34.364589565761
948,1990,estimates,female,5yearly,20plus,56.2463175293488
948,1990,estimates,male,5yearly,20plus,57.7188158879009
948,1990,estimates,female,5yearly,20_64,27.0254923209191
948,1990,estimates,male,5yearly,20_64,32.1581823034966
948,1990,estimates,female,5yearly,20_69,33.1452899366351
948,1990,estimates,male,5yearly,20_69,38.6793791051071
948,1990,estimates,female,5yearly,25plus,53.7262940197495
