country,year,variant,agebroad,percentagetotalpopulation
540,1980,Estimates,0_19,46.2323601144742
540,1980,Estimates,0_24,54.7128980869271
540,1980,Estimates,3_4,5.35716803180466
540,1980,Estimates,3_5,8.03222759505449
540,1980,Estimates,3_6,10.6671083980658
540,1980,Estimates,4_5,5.36351204657917
540,1980,Estimates,4_6,7.99839284959046
540,1980,Estimates,5_10,15.0705595421031
540,1980,Estimates,5_11,17.2423272665755
540,1980,Estimates,5_14,23.4298563433099
540,1980,Estimates,6_9,10.0996715210128
540,1980,Estimates,6_10,12.3954999788533
540,1980,Estimates,6_11,14.5672677033257
540,1980,Estimates,6_12,16.6495143304245
540,1980,Estimates,7_10,9.76061917584199
540,1980,Estimates,7_12,14.0146335274132
540,1980,Estimates,11_16,12.4575303455373
540,1980,Estimates,11_17,14.4847955112571
540,1980,Estimates,11_18,16.4535547629453
540,1980,Estimates,12_14,6.18752907673438
540,1980,Estimates,12_16,10.2857626210649
540,1980,Estimates,12_17,12.3130277867847
540,1980,Estimates,12_18,14.2817870384729
540,1980,Estimates,13_17,10.2307811596859
540,1980,Estimates,13_18,12.1995404113741
540,1980,Estimates,13_19,14.0893519236463
540,1980,Estimates,15plus,63.7517093595365
540,1980,Estimates,15_17,6.12549871005033
540,1980,Estimates,15_24,18.4646074464636
540,1980,Estimates,15_49,50.1325194197341
540,1980,Estimates,15_59,57.0073167637066
540,1980,Estimates,15_64,59.3644706977007
540,1980,Estimates,16plus,61.7018876968407
540,1980,Estimates,17plus,59.6534758152059
540,1980,Estimates,18plus,57.6262106494862
540,1980,Estimates,18_23,10.7390072321768
540,1980,Estimates,20plus,53.7676398855258
540,1980,Estimates,20_64,49.38040122369
540,1980,Estimates,20_69,51.2004285734425
540,1980,Estimates,21plus,51.9504320978952
540,1980,Estimates,25plus,45.2871019130729
540,1980,Estimates,25_49,31.6679119732706
540,1980,Estimates,25_64,40.8998632512371
540,1980,Estimates,25_69,42.7198906009897
540,1980,Estimates,50plus,13.6191899398024
540,1980,Estimates,60plus,6.74439259582987
540,1980,Estimates,65plus,4.38723866183582
540,1980,Estimates,70plus,2.56721131208323
540,1980,Estimates,75plus,1.1496764552465
540,1980,Estimates,80plus,0.4602935164169
540,1985,Estimates,total,100
540,1985,Estimates,0_1,4.79376855563279
540,1985,Estimates,0_4,11.5338890007731
540,1985,Estimates,0_14,35.0557724665268
540,1985,Estimates,0_17,41.1650826030183
540,1985,Estimates,0_19,44.8836801382455
540,1985,Estimates,0_24,53.5305238129267
540,1985,Estimates,3_4,4.46439592279557
540,1985,Estimates,3_5,6.6998421350103
540,1985,Estimates,3_6,8.95997505343373
540,1985,Estimates,4_5,4.46179732214203
540,1985,Estimates,4_6,6.72193024056545
540,1985,Estimates,5_10,13.9064113974625
540,1985,Estimates,5_11,16.3750820183331
540,1985,Estimates,5_14,23.5218834657537
540,1985,Estimates,6_9,9.25686517810159
540,1985,Estimates,6_10,11.6709651852477
540,1985,Estimates,6_11,14.1396358061184
540,1985,Estimates,6_12,16.6135036282962
540,1985,Estimates,7_10,9.41083226682431
540,1985,Estimates,7_12,14.3533707098727
540,1985,Estimates,11_16,13.7985694703402
540,1985,Estimates,11_17,15.7247822047827
540,1985,Estimates,11_18,17.5957746753373
540,1985,Estimates,12_14,7.14680144742056
540,1985,Estimates,12_16,11.3298988494696
540,1985,Estimates,12_17,13.2561115839121
540,1985,Estimates,12_18,15.1271040544667
540,1985,Estimates,13_17,10.7822437617343
540,1985,Estimates,13_18,12.6532362322889
540,1985,Estimates,13_19,14.5008412969616
540,1985,Estimates,15plus,64.9442275334732
540,1985,Estimates,15_17,6.1093101364915
540,1985,Estimates,15_24,18.4747513464
540,1985,Estimates,15_49,50.5154974046476
540,1985,Estimates,15_59,57.8169155909543
540,1985,Estimates,15_64,60.2764911095375
540,1985,Estimates,16plus,62.7886882913551
540,1985,Estimates,17plus,60.7611301314242
540,1985,Estimates,18plus,58.8349173969817
540,1985,Estimates,18_23,10.7478123030748
540,1985,Estimates,20plus,55.1163198617544
540,1985,Estimates,20_64,50.4485834378187
540,1985,Estimates,20_69,52.2831954992237
540,1985,Estimates,21plus,53.3018469554145
540,1985,Estimates,25plus,46.4694761870732
540,1985,Estimates,25_49,32.0407460582476
540,1985,Estimates,25_64,41.8017397631375
540,1985,Estimates,25_69,43.6363518245425
540,1985,Estimates,50plus,14.4287301288256
540,1985,Estimates,60plus,7.12731194251895
540,1985,Estimates,65plus,4.66773642393571
540,1985,Estimates,70plus,2.83312436253078
540,1985,Estimates,75plus,1.49744362660707
540,1985,Estimates,80plus,0.542457886428158
540,1990,Estimates,total,100
540,1990,Estimates,0_1,4.4209876762966
540,1990,Estimates,0_4,10.8183959605309
540,1990,Estimates,0_14,31.877273239704
540,1990,Estimates,0_17,38.671627001786
540,1990,Estimates,0_19,42.9205456368631
540,1990,Estimates,0_24,51.545357992607
540,1990,Estimates,3_4,4.24061185377692
540,1990,Estimates,3_5,6.3368874490468
540,1990,Estimates,3_6,8.42426292149498
540,1990,Estimates,4_5,4.20679138705447
540,1990,Estimates,4_6,6.29416685950266
540,1990,Estimates,5_10,12.5343396405537
540,1990,Estimates,5_11,14.6240884790877
540,1990,Estimates,5_14,21.0588772791731
540,1990,Estimates,6_9,8.34475515762118
540,1990,Estimates,6_10,10.4380640452838
540,1990,Estimates,6_11,12.5278128838178
540,1990,Estimates,6_12,14.6318019188665
540,1990,Estimates,7_10,8.35068857283564
540,1990,Estimates,7_12,12.5444264464183
540,1990,Estimates,11_16,13.0404599583474
540,1990,Estimates,11_17,15.3188914007013
540,1990,Estimates,11_18,17.511881663967
540,1990,Estimates,12_14,6.43478880008544
540,1990,Estimates,12_16,10.9507111198135
540,1990,Estimates,12_17,13.2291425621674
540,1990,Estimates,12_18,15.422132825433
540,1990,Estimates,13_17,11.1251535271187
540,1990,Estimates,13_18,13.3181437903843
540,1990,Estimates,13_19,15.3740721621958
540,1990,Estimates,15plus,68.122726760296
540,1990,Estimates,15_17,6.79435376208192
540,1990,Estimates,15_24,19.6680847529029
540,1990,Estimates,15_49,52.7071206915989
540,1990,Estimates,15_59,60.5065949910109
540,1990,Estimates,15_64,63.1350979310181
540,1990,Estimates,16plus,65.8899826150934
540,1990,Estimates,17plus,63.606804440568
540,1990,Estimates,18plus,61.3283729982141
540,1990,Estimates,18_23,11.26518212618
540,1990,Estimates,20plus,57.0794543631369
540,1990,Estimates,20_64,52.091825533859
540,1990,Estimates,20_69,54.0409524318102
540,1990,Estimates,21plus,55.154654467565
540,1990,Estimates,25plus,48.454642007393
540,1990,Estimates,25_49,33.039035938696
540,1990,Estimates,25_64,43.4670131781152
540,1990,Estimates,25_69,45.4161400760664
540,1990,Estimates,50plus,15.4156060686971
540,1990,Estimates,60plus,7.61613176928508
540,1990,Estimates,65plus,4.98762882927784
540,1990,Estimates,70plus,3.03850193132665
540,1990,Estimates,75plus,1.70111014198663
540,1990,Estimates,80plus,0.778464076137584
540,1990,Estimates,85plus,0.188682603819933
540,1990,Estimates,90plus,0.0350071497653334
540,1995,Estimates,total,100
540,1995,Estimates,0_1,4.47414877535703
540,1995,Estimates,0_4,10.5756931891458
540,1995,Estimates,0_14,30.0315013900781
540,1995,Estimates,0_17,35.711793993594
540,1995,Estimates,0_19,39.5284305330923
540,1995,Estimates,0_24,49.1675387689087
540,1995,Estimates,3_4,4.00744193913255
540,1995,Estimates,3_5,5.95460839966596
540,1995,Estimates,3_6,7.88433281535746
540,1995,Estimates,4_5,3.92710282349708
540,1995,Estimates,4_6,5.85682723918857
540,1995,Estimates,5_10,11.5973741794311
540,1995,Estimates,5_11,13.5662110593135
540,1995,Estimates,5_14,19.4558082009324
540,1995,Estimates,6_9,7.70515544561782
540,1995,Estimates,6_10,9.65020771889766
540,1995,Estimates,6_11,11.6190445987801
540,1995,Estimates,6_12,13.5995095085572
540,1995,Estimates,7_10,7.72048330320616
540,1995,Estimates,7_12,11.6697850928657
540,1995,Estimates,11_16,11.663442531105
540,1995,Estimates,11_17,13.5387266250172
540,1995,Estimates,11_18,15.4309242169579
