agebroad,gender,percentagetotalpopulation,global,variant,year
15_59,female,56.571,900,estimates,1955
15_64,female,59.535,900,estimates,1955
20_64,female,50.543,900,estimates,1955
20_69,female,52.898,900,estimates,1955
25_49,female,31.233,900,estimates,1955
25_64,female,42.299,900,estimates,1955
25_69,female,44.655,900,estimates,1955
15plus,female,65.257,900,estimates,1955
16plus,female,63.447,900,estimates,1955
17plus,female,61.625,900,estimates,1955
18plus,female,59.805,900,estimates,1955
20plus,female,56.265,900,estimates,1955
21plus,female,54.554,900,estimates,1955
25plus,female,48.021,900,estimates,1955
50plus,female,16.789,900,estimates,1955
60plus,female,8.686,900,estimates,1955
65plus,female,5.722,900,estimates,1955
70plus,female,3.367,900,estimates,1955
75plus,female,1.712,900,estimates,1955
80plus,female,0.716,900,estimates,1955
85plus,female,0.222,900,estimates,1955
90plus,female,0.055,900,estimates,1955
total,female,100,900,estimates,1955
"Region, subregion, country or area *",male,WORLD,900,estimates,1955
0_1,male,6.466,900,estimates,1955
0_4,male,14.951,900,estimates,1955
0_14,male,36.303,900,estimates,1955
0_17,male,42.02,900,estimates,1955
0_19,male,45.717,900,estimates,1955
0_24,male,54.255,900,estimates,1955
3_4,male,5.506,900,estimates,1955
3_5,male,8.053,900,estimates,1955
3_6,male,10.477,900,estimates,1955
4_5,male,5.228,900,estimates,1955
4_6,male,7.652,900,estimates,1955
5_14,male,21.351,900,estimates,1955
5_10,male,13.668,900,estimates,1955
5_11,male,15.638,900,estimates,1955
6_9,male,9.076,900,estimates,1955
6_10,male,11.121,900,estimates,1955
6_11,male,13.091,900,estimates,1955
6_12,male,15.009,900,estimates,1955
7_10,male,8.696,900,estimates,1955
7_12,male,12.585,900,estimates,1955
11_16,male,11.494,900,estimates,1955
11_17,male,13.4,900,estimates,1955
11_18,male,15.274,900,estimates,1955
12_14,male,5.713,900,estimates,1955
12_16,male,9.524,900,estimates,1955
12_17,male,11.43,900,estimates,1955
12_18,male,13.304,900,estimates,1955
13_17,male,9.512,900,estimates,1955
13_18,male,11.386,900,estimates,1955
13_19,male,13.209,900,estimates,1955
15_17,male,5.717,900,estimates,1955
18_23,male,10.578,900,estimates,1955
15_24,male,17.952,900,estimates,1955
15_49,male,49.092,900,estimates,1955
15_59,male,56.723,900,estimates,1955
15_64,male,59.326,900,estimates,1955
20_64,male,49.911,900,estimates,1955
20_69,male,51.854,900,estimates,1955
25_49,male,31.14,900,estimates,1955
25_64,male,41.373,900,estimates,1955
25_69,male,43.317,900,estimates,1955
15plus,male,63.697,900,estimates,1955
16plus,male,61.797,900,estimates,1955
17plus,male,59.887,900,estimates,1955
18plus,male,57.98,900,estimates,1955
20plus,male,54.283,900,estimates,1955
21plus,male,52.504,900,estimates,1955
25plus,male,45.745,900,estimates,1955
50plus,male,14.605,900,estimates,1955
60plus,male,6.974,900,estimates,1955
65plus,male,4.372,900,estimates,1955
70plus,male,2.428,900,estimates,1955
75plus,male,1.163,900,estimates,1955
80plus,male,0.445,900,estimates,1955
85plus,male,0.122,900,estimates,1955
90plus,male,0.026,900,estimates,1955
total,male,100,900,estimates,1955
"Region, subregion, country or area *",female,WORLD,900,estimates,1956
0_1,female,6.128,900,estimates,1956
0_4,female,14.438,900,estimates,1956
0_14,female,35.145,900,estimates,1956
0_17,female,40.456,900,estimates,1956
0_19,female,43.983,900,estimates,1956
0_24,female,52.17,900,estimates,1956
3_4,female,5.405,900,estimates,1956
3_5,female,7.916,900,estimates,1956
3_6,female,10.306,900,estimates,1956
4_5,female,5.147,900,estimates,1956
4_6,female,7.537,900,estimates,1956
5_14,female,20.707,900,estimates,1956
5_10,female,13.415,900,estimates,1956
5_11,female,15.327,900,estimates,1956
6_9,female,8.914,900,estimates,1956
6_10,female,10.905,900,estimates,1956
6_11,female,12.816,900,estimates,1956
6_12,female,14.651,900,estimates,1956
7_10,female,8.515,900,estimates,1956
7_12,female,12.261,900,estimates,1956
11_16,female,10.824,900,estimates,1956
11_17,female,12.603,900,estimates,1956
11_18,female,14.38,900,estimates,1956
12_14,female,5.38,900,estimates,1956
12_16,female,8.912,900,estimates,1956
12_17,female,10.691,900,estimates,1956
12_18,female,12.468,900,estimates,1956
13_17,female,8.856,900,estimates,1956
13_18,female,10.633,900,estimates,1956
13_19,female,12.383,900,estimates,1956
