country,year,variant,gender,freq,agebroad,percentagetotaldeaths
417,1975,estimates,male,5yearly,15_64,33.4735197491626
417,1975,estimates,female,5yearly,20plus,66.7949764291718
417,1975,estimates,male,5yearly,20plus,62.3080462722185
417,1975,estimates,female,5yearly,20_64,21.5560401008612
417,1975,estimates,male,5yearly,20_64,31.9100666688069
417,1975,estimates,female,5yearly,20_69,28.5066936279585
417,1975,estimates,male,5yearly,20_69,37.8931372863762
417,1975,estimates,female,5yearly,25plus,65.3588003849293
417,1975,estimates,male,5yearly,25plus,60.0500818645863
417,1975,estimates,female,5yearly,25_69,27.070517583716
417,1975,estimates,male,5yearly,25_69,35.6351728787441
417,1975,estimates,female,5yearly,40plus,61.6593375805489
417,1975,estimates,male,5yearly,40plus,53.2109109976778
417,1975,estimates,female,5yearly,50plus,56.7953418683688
417,1975,estimates,male,5yearly,50plus,44.0131839438398
417,1975,estimates,female,5yearly,60plus,49.7362747128257
417,1975,estimates,male,5yearly,60plus,34.8518411505987
417,1975,estimates,female,5yearly,65plus,45.2389363283106
417,1975,estimates,male,5yearly,65plus,30.3979796034116
417,1975,estimates,female,5yearly,70plus,38.2882828012133
417,1975,estimates,male,5yearly,70plus,24.4149089858422
417,1975,estimates,female,5yearly,80plus,18.1611099606544
417,1975,estimates,male,5yearly,80plus,10.7676008860638
417,1975,estimates,female,5yearly,90plus,4.22082272544553
417,1975,estimates,male,5yearly,90plus,2.04607959592068
417,1980,estimates,female,5yearly,0_4,29.2180636092075
417,1980,estimates,male,5yearly,0_4,33.5475122561802
417,1980,estimates,female,5yearly,0_14,30.7198500556434
417,1980,estimates,male,5yearly,0_14,35.4792948784813
417,1980,estimates,female,5yearly,0_19,31.7132314180285
417,1980,estimates,male,5yearly,0_19,36.8811932825701
417,1980,estimates,female,5yearly,0_24,33.1002167164529
417,1980,estimates,male,5yearly,0_24,39.1603212683843
417,1980,estimates,female,5yearly,5_14,1.50178644643589
417,1980,estimates,male,5yearly,5_14,1.93178262230103
417,1980,estimates,female,5yearly,15plus,69.2801499443566
417,1980,estimates,male,5yearly,15plus,64.5207051215187
417,1980,estimates,female,5yearly,15_24,2.38036666080947
417,1980,estimates,male,5yearly,15_24,3.68102638990299
417,1980,estimates,female,5yearly,15_49,10.1271012710127
417,1980,estimates,male,5yearly,15_49,18.9308438510483
417,1980,estimates,female,5yearly,15_59,17.8164353072102
417,1980,estimates,male,5yearly,15_59,30.7823093772817
417,1980,estimates,female,5yearly,15_64,22.3288232882329
417,1980,estimates,male,5yearly,15_64,35.455304057578
417,1980,estimates,female,5yearly,20plus,68.2867685819715
417,1980,estimates,male,5yearly,20plus,63.1188067174298
417,1980,estimates,female,5yearly,20_64,21.3354419258478
417,1980,estimates,male,5yearly,20_64,34.0534056534891
417,1980,estimates,female,5yearly,20_69,27.5909330521877
417,1980,estimates,male,5yearly,20_69,39.3783248148535
417,1980,estimates,female,5yearly,25plus,66.8997832835471
417,1980,estimates,male,5yearly,25plus,60.8396787316157
417,1980,estimates,female,5yearly,25_69,26.2039477537633
417,1980,estimates,male,5yearly,25_69,37.0991968290393
417,1980,estimates,female,5yearly,40plus,63.2015463011773
417,1980,estimates,male,5yearly,40plus,53.6403463022843
417,1980,estimates,female,5yearly,50plus,59.1530486733439
417,1980,estimates,male,5yearly,50plus,45.5898612704704
417,1980,estimates,female,5yearly,60plus,51.4637146371464
417,1980,estimates,male,5yearly,60plus,33.738395744237
417,1980,estimates,female,5yearly,65plus,46.9513266561237
417,1980,estimates,male,5yearly,65plus,29.0654010639408
417,1980,estimates,female,5yearly,70plus,40.6958355297839
417,1980,estimates,male,5yearly,70plus,23.7404819025764
417,1980,estimates,female,5yearly,80plus,20.5540912551983
417,1980,estimates,male,5yearly,80plus,10.8918326901012
417,1980,estimates,female,5yearly,90plus,4.74901891876062
417,1980,estimates,male,5yearly,90plus,2.28121414415354
417,1985,estimates,female,5yearly,0_4,28.4083695915612
417,1985,estimates,male,5yearly,0_4,33.3745966248744
417,1985,estimates,female,5yearly,0_14,29.7482890348194
417,1985,estimates,male,5yearly,0_14,35.123525366344
417,1985,estimates,female,5yearly,0_19,30.5434694796127
417,1985,estimates,male,5yearly,0_19,36.3000581918214
417,1985,estimates,female,5yearly,0_24,31.7195055801124
417,1985,estimates,male,5yearly,0_24,38.2817542189071
417,1985,estimates,female,5yearly,5_14,1.33991944325828
417,1985,estimates,male,5yearly,5_14,1.74892874146961
417,1985,estimates,female,5yearly,15plus,70.2517109651806
417,1985,estimates,male,5yearly,15plus,64.876474633656
417,1985,estimates,female,5yearly,15_24,1.97121654529297
417,1985,estimates,male,5yearly,15_24,3.15822885256309
417,1985,estimates,female,5yearly,15_49,9.25133010952485
417,1985,estimates,male,5yearly,15_49,17.3792519705867
417,1985,estimates,female,5yearly,15_59,16.5995360485649
417,1985,estimates,male,5yearly,15_59,29.6143469290589
417,1985,estimates,female,5yearly,15_64,22.1992682954978
417,1985,estimates,male,5yearly,15_64,36.7095170078823
417,1985,estimates,female,5yearly,20plus,69.4565305203873
417,1985,estimates,male,5yearly,20plus,63.6999418081786
417,1985,estimates,female,5yearly,20_64,21.4040878507046
417,1985,estimates,male,5yearly,20_64,35.5329841824049
417,1985,estimates,female,5yearly,20_69,27.7112883308135
417,1985,estimates,male,5yearly,20_69,41.1775908585939
417,1985,estimates,female,5yearly,25plus,68.2804944198876
417,1985,estimates,male,5yearly,25plus,61.7182457810929
417,1985,estimates,female,5yearly,25_69,26.5352522303138
417,1985,estimates,male,5yearly,25_69,39.1958948315082
417,1985,estimates,female,5yearly,40plus,64.2214964164945
417,1985,estimates,male,5yearly,40plus,53.8739882558324
417,1985,estimates,female,5yearly,50plus,61.0003808556557
417,1985,estimates,male,5yearly,50plus,47.4972226630694
417,1985,estimates,female,5yearly,60plus,53.6521749166157
417,1985,estimates,male,5yearly,60plus,35.2621277045972
417,1985,estimates,female,5yearly,65plus,48.0524426696827
417,1985,estimates,male,5yearly,65plus,28.1669576257737
417,1985,estimates,female,5yearly,70plus,41.7452421895738
417,1985,estimates,male,5yearly,70plus,22.5223509495847
417,1985,estimates,female,5yearly,80plus,23.0359966300045
417,1985,estimates,male,5yearly,80plus,10.787705655187
417,1985,estimates,female,5yearly,90plus,5.56857132964788
417,1985,estimates,male,5yearly,90plus,2.51071258530392
417,1990,estimates,female,5yearly,0_4,24.5190977027401
417,1990,estimates,male,5yearly,0_4,27.4126666262111
417,1990,estimates,female,5yearly,0_14,25.9733370237107
417,1990,estimates,male,5yearly,0_14,29.3282359366466
417,1990,estimates,female,5yearly,0_19,26.8152043546453
417,1990,estimates,male,5yearly,0_19,30.5884256730789
417,1990,estimates,female,5yearly,0_24,27.9603745733001
417,1990,estimates,male,5yearly,0_24,32.6162590772094
417,1990,estimates,female,5yearly,5_14,1.45423932097057
417,1990,estimates,male,5yearly,5_14,1.9155693104355
417,1990,estimates,female,5yearly,15plus,74.0266629762893
417,1990,estimates,male,5yearly,15plus,70.6717640633534
417,1990,estimates,female,5yearly,15_24,1.98703754958945
417,1990,estimates,male,5yearly,15_24,3.28802314056274
417,1990,estimates,female,5yearly,15_49,10.1589168742504
417,1990,estimates,male,5yearly,15_49,19.3377429860226
417,1990,estimates,female,5yearly,15_59,16.9607436110342
417,1990,estimates,male,5yearly,15_59,30.8867852013674
417,1990,estimates,female,5yearly,15_64,22.9068641018544
417,1990,estimates,male,5yearly,15_64,39.4451524162065
417,1990,estimates,female,5yearly,20plus,73.1847956453547
417,1990,estimates,male,5yearly,20plus,69.4115743269211
417,1990,estimates,female,5yearly,20_64,22.0649967709198
417,1990,estimates,male,5yearly,20_64,38.1849626797743
417,1990,estimates,female,5yearly,20_69,30.3867976750623
417,1990,estimates,male,5yearly,20_69,47.1984545987823
417,1990,estimates,female,5yearly,25plus,72.0396254266999
417,1990,estimates,male,5yearly,25plus,67.3837409227906
417,1990,estimates,female,5yearly,25_69,29.2416274564074
417,1990,estimates,male,5yearly,25_69,45.1706211946518
417,1990,estimates,female,5yearly,40plus,67.4001291632069
417,1990,estimates,male,5yearly,40plus,58.3591237332363
417,1990,estimates,female,5yearly,50plus,63.8677461020389
417,1990,estimates,male,5yearly,50plus,51.3340210773307
417,1990,estimates,female,5yearly,60plus,57.0659193652551
417,1990,estimates,male,5yearly,60plus,39.784978861986
417,1990,estimates,female,5yearly,65plus,51.1197988744349
417,1990,estimates,male,5yearly,65plus,31.2266116471469
417,1990,estimates,female,5yearly,70plus,42.7979979702925
417,1990,estimates,male,5yearly,70plus,22.2131197281388
417,1990,estimates,female,5yearly,80plus,24.3703293661777
417,1990,estimates,male,5yearly,80plus,10.3424560551813
417,1990,estimates,female,5yearly,90plus,7.26889011901467
417,1990,estimates,male,5yearly,90plus,2.63365495479095
417,1995,estimates,female,5yearly,0_4,16.9001932633904
417,1995,estimates,male,5yearly,0_4,18.9602813074403
417,1995,estimates,female,5yearly,0_14,18.2507362414872
417,1995,estimates,male,5yearly,0_14,20.8792855430352
417,1995,estimates,female,5yearly,0_19,18.9363611264495
417,1995,estimates,male,5yearly,0_19,22.2518580676097
417,1995,estimates,female,5yearly,0_24,19.8831216639058
417,1995,estimates,male,5yearly,0_24,24.4176056900823
417,1995,estimates,female,5yearly,5_14,1.35054297809682
417,1995,estimates,male,5yearly,5_14,1.91900423559498
417,1995,estimates,female,5yearly,15plus,81.7492637585128
417,1995,estimates,male,5yearly,15plus,79.1207144569648
417,1995,estimates,female,5yearly,15_24,1.63238542241855
417,1995,estimates,male,5yearly,15_24,3.53832014704707
417,1995,estimates,female,5yearly,15_49,11.4209460703111
417,1995,estimates,male,5yearly,15_49,23.7263246223927
417,1995,estimates,female,5yearly,15_59,18.1759617154427
