continent,variant,gender,year,population
908,Zero_migration,male,2029,348370.63
908,Constant_fertility,female,2030,375721.595
908,Constant_fertility,male,2030,351623.819
908,Constant_mortality,female,2030,373977.371
908,Constant_mortality,male,2030,348790.49
908,High_variant,female,2030,391202.358
908,High_variant,male,2030,367900.163
908,Instant_replacement,female,2030,392609.864
908,Instant_replacement,male,2030,369403.986
908,Low_variant,female,2030,366706.382
908,Low_variant,male,2030,342049.784
908,Medium_variant,female,2030,378954.378
908,Medium_variant,male,2030,354974.972
908,No_change,female,2030,370782.252
908,No_change,male,2030,345417.557
908,Zero_migration,female,2030,371332.042
908,Zero_migration,male,2030,347344.828
908,Constant_fertility,female,2031,374913.438
908,Constant_fertility,male,2031,350913.42
908,Constant_mortality,female,2031,372890.914
908,Constant_mortality,male,2031,347670.218
908,High_variant,female,2031,391603.168
908,High_variant,male,2031,368461.566
908,Instant_replacement,female,2031,392737.547
908,Instant_replacement,male,2031,369678.024
908,Low_variant,female,2031,365130.499
908,Low_variant,male,2031,340525.71
908,Medium_variant,female,2031,378366.467
908,Medium_variant,male,2031,354493.241
908,No_change,female,2031,369478.472
908,No_change,male,2031,344067.818
908,Zero_migration,female,2031,370150.637
908,Zero_migration,male,2031,346271.971
908,Constant_fertility,female,2032,374080.143
908,Constant_fertility,male,2032,350180.305
908,Constant_mortality,female,2032,371755.592
908,Constant_mortality,male,2032,346500.333
908,High_variant,female,2032,391955.514
908,High_variant,male,2032,368975.543
908,Instant_replacement,female,2032,392819.597
908,Instant_replacement,male,2032,369907.581
908,Low_variant,female,2032,363537.608
908,Low_variant,male,2032,338987.557
908,Medium_variant,female,2032,377745.207
908,Medium_variant,male,2032,353980.112
908,No_change,female,2032,368134.101
908,No_change,male,2032,342677.211
908,Zero_migration,female,2032,368924.374
908,Zero_migration,male,2032,345156.214
908,Constant_fertility,female,2033,373220.351
908,Constant_fertility,male,2033,349426.746
908,Constant_mortality,female,2033,370574.862
908,Constant_mortality,male,2033,345289.527
908,High_variant,female,2033,392268.322
908,High_variant,male,2033,369455.169
908,Instant_replacement,female,2033,392862.215
908,Instant_replacement,male,2033,370102.847
908,Low_variant,female,2033,361925.14
908,Low_variant,male,2033,337436.326
908,Medium_variant,female,2033,377093.656
908,Medium_variant,male,2033,353442.493
908,No_change,female,2033,366748.207
908,No_change,male,2033,341249.816
908,Zero_migration,female,2033,367658.233
908,Zero_migration,male,2033,344006.398
908,Constant_fertility,female,2034,372331.231
908,Constant_fertility,male,2034,348654.273
908,Constant_mortality,female,2034,369352.253
908,Constant_mortality,male,2034,344047.569
908,High_variant,female,2034,392554.661
908,High_variant,male,2034,369918.699
908,Instant_replacement,female,2034,392872.031
908,Instant_replacement,male,2034,370275.244
908,Low_variant,female,2034,360286.835
908,Low_variant,male,2034,335869.955
908,Medium_variant,female,2034,376415.119
908,Medium_variant,male,2034,352888.384
908,No_change,female,2034,365318.193
908,No_change,male,2034,339788.969
908,Zero_migration,female,2034,366357.995
908,Zero_migration,male,2034,342833.013
908,Constant_fertility,female,2035,371410.466
908,Constant_fertility,male,2035,347863.992
908,Constant_mortality,female,2035,368091.219
908,Constant_mortality,male,2035,342782.776
908,High_variant,female,2035,392825.543
908,High_variant,male,2035,370381.242
908,Instant_replacement,female,2035,392855.648
908,Instant_replacement,male,2035,370435.218
908,Low_variant,female,2035,358618.016
908,Low_variant,male,2035,334287.076
908,Medium_variant,female,2035,375712.488
908,Medium_variant,male,2035,352324.349
908,No_change,female,2035,363842.339
908,No_change,male,2035,338297.561
908,Zero_migration,female,2035,365028.472
908,Zero_migration,male,2035,341644.566
908,Constant_fertility,female,2036,370458.326
908,Constant_fertility,male,2036,347057.439
908,Constant_mortality,female,2036,366794.459
908,Constant_mortality,male,2036,341500.06
908,High_variant,female,2036,393085.323
908,High_variant,male,2036,370848.623
908,Instant_replacement,female,2036,392818.218
908,Instant_replacement,male,2036,370589.427
908,Low_variant,female,2036,356918.904
908,Low_variant,male,2036,332689.184
908,Medium_variant,female,2036,374987.592
908,Medium_variant,male,2036,351753.571
908,No_change,female,2036,362321.791
908,No_change,male,2036,336778.873
908,Zero_migration,female,2036,363672.297
908,Zero_migration,male,2036,340445.053
908,Constant_fertility,female,2037,369475.175
