region,variant,gender,year,population
926,instantreplacement,male,2049,103514.077
926,lowvariant,female,2049,90540.029
926,lowvariant,male,2049,87739.292
926,mediumvariant,female,2049,99030.991
926,mediumvariant,male,2049,96683.903
926,nochange,female,2049,92822.254
926,nochange,male,2049,89101.192
926,zeromigration,female,2049,91216.516
926,zeromigration,male,2049,88802.632
926,constantfertility,female,2050,97286.207
926,constantfertility,male,2050,94897.586
926,constantmortality,female,2050,94083.815
926,constantmortality,male,2050,90486.625
926,highvariant,female,2050,108118.339
926,highvariant,male,2050,106298.562
926,instantreplacement,female,2050,105660.871
926,instantreplacement,male,2050,103721.694
926,lowvariant,female,2050,90091.805
926,lowvariant,male,2050,87309.599
926,mediumvariant,female,2050,98921.706
926,mediumvariant,male,2050,96610.852
926,nochange,female,2050,92461.078
926,nochange,male,2050,88774.577
926,zeromigration,female,2050,90843.479
926,zeromigration,male,2050,88466.117
926,constantfertility,female,2051,97093.052
926,constantfertility,male,2051,94738.805
926,constantmortality,female,2051,93793.454
926,constantmortality,male,2051,90240.95
926,highvariant,female,2051,108424.169
926,highvariant,male,2051,106664.798
926,instantreplacement,female,2051,105823.865
926,instantreplacement,male,2051,103938.122
926,lowvariant,female,2051,89627.303
926,lowvariant,male,2051,86865.17
926,mediumvariant,female,2051,98806.497
926,mediumvariant,male,2051,96533.951
926,nochange,female,2051,92093.523
926,nochange,male,2051,88447.611
926,zeromigration,female,2051,90464.368
926,zeromigration,male,2051,88125.694
926,constantfertility,female,2052,96891.424
926,constantfertility,male,2052,94573.774
926,constantmortality,female,2052,93501.266
926,constantmortality,male,2052,89999.24
926,highvariant,female,2052,108742.558
926,highvariant,male,2052,107046.934
926,instantreplacement,female,2052,105992.73
926,instantreplacement,male,2052,104163.433
926,lowvariant,female,2052,89147.424
926,lowvariant,male,2052,86407.244
926,mediumvariant,female,2052,98686.024
926,mediumvariant,male,2052,96454.184
926,nochange,female,2052,91720.988
926,nochange,male,2052,88121.29
926,zeromigration,female,2052,90079.825
926,zeromigration,male,2052,87782.332
926,constantfertility,female,2053,96682.284
926,constantfertility,male,2053,94404.181
926,constantmortality,female,2053,93209.288
926,constantmortality,male,2053,89762.789
926,highvariant,female,2053,109073.14
926,highvariant,male,2053,107445.257
926,instantreplacement,female,2053,106165.83
926,instantreplacement,male,2053,104396.581
926,lowvariant,female,2053,88653.63
926,lowvariant,male,2053,85938.037
926,mediumvariant,female,2053,98561.076
926,mediumvariant,male,2053,96373.06
926,nochange,female,2053,91345.673
926,nochange,male,2053,87797.096
926,zeromigration,female,2053,89690.563
926,zeromigration,male,2053,87437.472
926,constantfertility,female,2054,96466.685
926,constantfertility,male,2054,94232.077
926,constantmortality,female,2054,92919.793
926,constantmortality,male,2054,89532.977
926,highvariant,female,2054,109415.005
926,highvariant,male,2054,107859.751
926,instantreplacement,female,2054,106340.803
926,instantreplacement,male,2054,104636.011
926,lowvariant,female,2054,88147.684
926,lowvariant,male,2054,85460.345
926,mediumvariant,female,2054,98432.42
926,mediumvariant,male,2054,96292.334
926,nochange,female,2054,90970.135
926,nochange,male,2054,87476.699
926,zeromigration,female,2054,89297.186
926,zeromigration,male,2054,87092.691
