agebroad,gender,population,continent,variant,year
11_16,female,27443.255,908,estimates,1954
11_17,female,32648.845,908,estimates,1954
11_18,female,37633.842,908,estimates,1954
12_14,female,13193.589,908,estimates,1954
12_16,female,23521.512,908,estimates,1954
12_17,female,28727.102,908,estimates,1954
12_18,female,33712.099,908,estimates,1954
13_17,female,24640.742,908,estimates,1954
13_18,female,29625.739,908,estimates,1954
13_19,female,34425.486,908,estimates,1954
15_17,female,15533.513,908,estimates,1954
18_23,female,28172.543,908,estimates,1954
15_24,female,48576.934,908,estimates,1954
15_49,female,155905.079,908,estimates,1954
15_59,female,189801.325,908,estimates,1954
15_64,female,202746.681,908,estimates,1954
20_64,female,177428.424,908,estimates,1954
20_69,female,188304.095,908,estimates,1954
25_49,female,107328.145,908,estimates,1954
25_64,female,154169.747,908,estimates,1954
25_69,female,165045.418,908,estimates,1954
15plus,female,231357.626,908,estimates,1954
16plus,female,226294.65,908,estimates,1954
17plus,female,221029.703,908,estimates,1954
18plus,female,215824.113,908,estimates,1954
20plus,female,206039.369,908,estimates,1954
21plus,female,201442.985,908,estimates,1954
25plus,female,182780.692,908,estimates,1954
50plus,female,75452.547,908,estimates,1954
60plus,female,41556.301,908,estimates,1954
65plus,female,28610.945,908,estimates,1954
70plus,female,17735.274,908,estimates,1954
75plus,female,9588.473,908,estimates,1954
80plus,female,4235.799,908,estimates,1954
85plus,female,1399.688,908,estimates,1954
90plus,female,383.201,908,estimates,1954
total,female,303223.971,908,estimates,1954
0_1,male,11048.765,908,estimates,1954
0_4,male,28297.474,908,estimates,1954
0_14,male,74338.308,908,estimates,1954
0_17,male,90047.739,908,estimates,1954
0_19,male,99888.212,908,estimates,1954
0_24,male,122835.315,908,estimates,1954
3_4,male,11531.784,908,estimates,1954
3_5,male,17014.419,908,estimates,1954
3_6,male,22175.086,908,estimates,1954
4_5,male,11306.302,908,estimates,1954
4_6,male,16466.969,908,estimates,1954
5_14,male,46040.834,908,estimates,1954
5_10,male,28591.163,908,estimates,1954
5_11,male,32606.288,908,estimates,1954
6_9,male,19002.739,908,estimates,1954
6_10,male,23108.528,908,estimates,1954
6_11,male,27123.653,908,estimates,1954
6_12,male,31295.259,908,estimates,1954
7_10,male,17947.861,908,estimates,1954
7_12,male,26134.592,908,estimates,1954
11_16,male,27904.48,908,estimates,1954
11_17,male,33159.102,908,estimates,1954
11_18,male,38180.278,908,estimates,1954
12_14,male,13434.546,908,estimates,1954
12_16,male,23889.355,908,estimates,1954
12_17,male,29143.977,908,estimates,1954
12_18,male,34165.153,908,estimates,1954
13_17,male,24972.371,908,estimates,1954
13_18,male,29993.547,908,estimates,1954
13_19,male,34812.844,908,estimates,1954
15_17,male,15709.431,908,estimates,1954
18_23,male,28047.062,908,estimates,1954
15_24,male,48497.007,908,estimates,1954
15_49,male,139058.865,908,estimates,1954
15_59,male,165648.705,908,estimates,1954
15_64,male,174847.976,908,estimates,1954
20_64,male,149298.072,908,estimates,1954
20_69,male,156789.238,908,estimates,1954
25_49,male,90561.858,908,estimates,1954
25_64,male,126350.969,908,estimates,1954
25_69,male,133842.135,908,estimates,1954
15plus,male,193788.276,908,estimates,1954
16plus,male,188657.663,908,estimates,1954
17plus,male,183333.467,908,estimates,1954
18plus,male,178078.845,908,estimates,1954
20plus,male,168238.372,908,estimates,1954
21plus,male,163643.824,908,estimates,1954
25plus,male,145291.269,908,estimates,1954
50plus,male,54729.411,908,estimates,1954
60plus,male,28139.571,908,estimates,1954
65plus,male,18940.3,908,estimates,1954
70plus,male,11449.134,908,estimates,1954
75plus,male,5940.369,908,estimates,1954
80plus,male,2427.849,908,estimates,1954
85plus,male,718.665,908,estimates,1954
90plus,male,173.234,908,estimates,1954
total,male,268126.584,908,estimates,1954
0_1,female,10565.585,908,estimates,1955
0_4,female,27186.883,908,estimates,1955
0_14,female,72716.038,908,estimates,1955
0_17,female,87740.131,908,estimates,1955
0_19,female,97915.611,908,estimates,1955
0_24,female,121028.248,908,estimates,1955
3_4,female,11080.644,908,estimates,1955
3_5,female,16466.351,908,estimates,1955
3_6,female,21675.183,908,estimates,1955
4_5,female,10897.302,908,estimates,1955
4_6,female,16106.134,908,estimates,1955
5_14,female,45529.155,908,estimates,1955
5_10,female,29208.82,908,estimates,1955
5_11,female,33209.093,908,estimates,1955
6_9,female,19525.506,908,estimates,1955
6_10,female,23823.113,908,estimates,1955
6_11,female,27823.386,908,estimates,1955
6_12,female,31706.783,908,estimates,1955
7_10,female,18614.281,908,estimates,1955
7_12,female,26497.951,908,estimates,1955
11_16,female,26084.261,908,estimates,1955
11_17,female,31344.428,908,estimates,1955
11_18,female,36543.532,908,estimates,1955
12_14,female,12320.062,908,estimates,1955
12_16,female,22083.988,908,estimates,1955
12_17,female,27344.155,908,estimates,1955
12_18,female,32543.259,908,estimates,1955
13_17,female,23460.758,908,estimates,1955
13_18,female,28659.862,908,estimates,1955
13_19,female,33636.238,908,estimates,1955
15_17,female,15024.093,908,estimates,1955
