continent,year,variant,gender,agebroad,population
905,1965,estimates,female,12_18,13852.753
905,1965,estimates,male,12_18,14393.418
905,1965,estimates,female,13_17,9925.198
905,1965,estimates,male,13_17,10323.017
905,1965,estimates,female,13_18,11754.084
905,1965,estimates,male,13_18,12201.857
905,1965,estimates,female,13_19,13504.268
905,1965,estimates,male,13_19,13980.56
905,1965,estimates,female,15plus,77900.315
905,1965,estimates,male,15plus,74569.783
905,1965,estimates,female,15_17,5835.501
905,1965,estimates,male,15_17,6059.236
905,1965,estimates,female,15_24,17100.592
905,1965,estimates,male,15_24,17337.823
905,1965,estimates,female,15_49,50340.651
905,1965,estimates,male,15_49,50646.717
905,1965,estimates,female,15_59,61989.937
905,1965,estimates,male,15_59,61687.173
905,1965,estimates,female,15_64,66321.117
905,1965,estimates,male,15_64,65709.098
905,1965,estimates,female,16plus,75911.199
905,1965,estimates,male,16plus,72500.402
905,1965,estimates,female,17plus,73962.178
905,1965,estimates,male,17plus,70475.034
905,1965,estimates,female,18plus,72064.814
905,1965,estimates,male,18plus,68510.547
905,1965,estimates,female,18_23,9848.389
905,1965,estimates,male,18_23,9873.991
905,1965,estimates,female,20plus,68485.744
905,1965,estimates,male,20plus,64853.004
905,1965,estimates,female,20_64,56906.546
905,1965,estimates,male,20_64,55992.319
905,1965,estimates,female,20_69,60863.445
905,1965,estimates,male,20_69,59292.352
905,1965,estimates,female,21plus,66811.861
905,1965,estimates,male,21plus,63170.843
905,1965,estimates,female,25plus,60799.723
905,1965,estimates,male,25plus,57231.96
905,1965,estimates,female,25_49,33240.059
905,1965,estimates,male,25_49,33308.894
905,1965,estimates,female,25_64,49220.525
905,1965,estimates,male,25_64,48371.275
905,1965,estimates,female,25_69,53177.424
905,1965,estimates,male,25_69,51671.308
905,1965,estimates,female,50plus,27559.664
905,1965,estimates,male,50plus,23923.066
905,1965,estimates,female,60plus,15910.378
905,1965,estimates,male,60plus,12882.61
905,1965,estimates,female,65plus,11579.198
905,1965,estimates,male,65plus,8860.685
905,1965,estimates,female,70plus,7622.299
905,1965,estimates,male,70plus,5560.652
905,1965,estimates,female,75plus,4404.448
905,1965,estimates,male,75plus,3023.675
905,1965,estimates,female,80plus,2136.725
905,1965,estimates,male,80plus,1321.939
905,1970,estimates,female,total,117084.121
905,1970,estimates,male,total,113944.704
905,1970,estimates,female,0_1,3556.376
905,1970,estimates,male,0_1,3749.521
905,1970,estimates,female,0_4,9586.041
905,1970,estimates,male,0_4,9975.731
905,1970,estimates,female,0_14,32134.5
905,1970,estimates,male,0_14,33432.578
905,1970,estimates,female,0_17,38618.058
905,1970,estimates,male,0_17,40205.787
905,1970,estimates,female,0_19,42755.463
905,1970,estimates,male,0_19,44392.619
905,1970,estimates,female,0_24,52319.949
905,1970,estimates,male,0_24,53528.748
905,1970,estimates,female,3_4,4100.371
905,1970,estimates,male,3_4,4224.894
905,1970,estimates,female,3_5,6248.358
905,1970,estimates,male,3_5,6434.571
905,1970,estimates,female,3_6,8446.761
905,1970,estimates,male,3_6,8698.925
905,1970,estimates,female,4_5,4234.561
905,1970,estimates,male,4_5,4356.937
905,1970,estimates,female,4_6,6432.964
905,1970,estimates,male,4_6,6621.291
905,1970,estimates,female,5_10,13437.778
905,1970,estimates,male,5_10,13906.733
905,1970,estimates,female,5_11,15739.573
905,1970,estimates,male,5_11,16316.03
905,1970,estimates,female,5_14,22548.459
905,1970,estimates,male,5_14,23456.847
905,1970,estimates,female,6_9,8991.559
905,1970,estimates,male,6_9,9300.314
905,1970,estimates,female,6_10,11289.791
905,1970,estimates,male,6_10,11697.056
905,1970,estimates,female,6_11,13591.586
905,1970,estimates,male,6_11,14106.353
905,1970,estimates,female,6_12,15885.424
905,1970,estimates,male,6_12,16512.955
905,1970,estimates,female,7_10,9091.388
905,1970,estimates,male,7_10,9432.702
905,1970,estimates,female,7_12,13687.021
905,1970,estimates,male,7_12,14248.601
905,1970,estimates,female,11_16,13476.088
905,1970,estimates,male,11_16,14119.261
905,1970,estimates,female,11_17,15594.239
905,1970,estimates,male,11_17,16323.323
905,1970,estimates,female,11_18,17678.354
905,1970,estimates,male,11_18,18456.431
905,1970,estimates,female,12_14,6808.886
905,1970,estimates,male,12_14,7140.817
905,1970,estimates,female,12_16,11174.293
905,1970,estimates,male,12_16,11709.964
905,1970,estimates,female,12_17,13292.444
905,1970,estimates,male,12_17,13914.026
905,1970,estimates,female,12_18,15376.559
905,1970,estimates,male,12_18,16047.134
905,1970,estimates,female,13_17,10998.606
905,1970,estimates,male,13_17,11507.424
905,1970,estimates,female,13_18,13082.721
905,1970,estimates,male,13_18,13640.532
905,1970,estimates,female,13_19,15136.011
905,1970,estimates,male,13_19,15694.256
905,1970,estimates,female,15plus,84949.621
905,1970,estimates,male,15plus,80512.126
905,1970,estimates,female,15_17,6483.558
905,1970,estimates,male,15_17,6773.209
905,1970,estimates,female,15_24,20185.449
905,1970,estimates,male,15_24,20096.17
905,1970,estimates,female,15_49,54720.075
905,1970,estimates,male,15_49,54984.474
905,1970,estimates,female,15_59,66920.321
905,1970,estimates,male,15_59,66578.277
905,1970,estimates,female,15_64,72168.621
905,1970,estimates,male,15_64,71165.403
905,1970,estimates,female,16plus,82744.49
905,1970,estimates,male,16plus,78204.598
905,1970,estimates,female,17plus,80584.214
905,1970,estimates,male,17plus,75942.979
905,1970,estimates,female,18plus,78466.063
905,1970,estimates,male,18plus,73738.917
905,1970,estimates,female,18_23,11927.482
905,1970,estimates,male,18_23,11609.845
905,1970,estimates,female,20plus,74328.658
905,1970,estimates,male,20plus,69552.085
905,1970,estimates,female,20_64,61547.658
905,1970,estimates,male,20_64,60205.362
905,1970,estimates,female,20_69,65622.497
905,1970,estimates,male,20_69,63682.357
905,1970,estimates,female,21plus,72310.936
905,1970,estimates,male,21plus,67580.234
905,1970,estimates,female,25plus,64764.172
905,1970,estimates,male,25plus,60415.956
905,1970,estimates,female,25_49,34534.626
905,1970,estimates,male,25_49,34888.304
905,1970,estimates,female,25_64,51983.172
905,1970,estimates,male,25_64,51069.233
905,1970,estimates,female,25_69,56058.011
905,1970,estimates,male,25_69,54546.228
905,1970,estimates,female,50plus,30229.546
905,1970,estimates,male,50plus,25527.652
905,1970,estimates,female,60plus,18029.3
905,1970,estimates,male,60plus,13933.849
905,1970,estimates,female,65plus,12781
905,1970,estimates,male,65plus,9346.723
905,1970,estimates,female,70plus,8706.161
905,1970,estimates,male,70plus,5869.728
905,1970,estimates,female,75plus,5227.591
905,1970,estimates,male,75plus,3313.419
905,1970,estimates,female,80plus,2633.019
905,1970,estimates,male,80plus,1522.239
905,1975,estimates,female,total,122936.7
905,1975,estimates,male,total,119277.929
905,1975,estimates,female,0_1,3602.028
905,1975,estimates,male,0_1,3787.398
905,1975,estimates,female,0_4,8916.699
905,1975,estimates,male,0_4,9341.85
