agebroad,gender,percentagetotalpopulation,country,variant,year
5_14,female,14.356,40,estimates,1953
5_10,female,8.664,40,estimates,1953
5_11,female,10.148,40,estimates,1953
6_9,female,5.804,40,estimates,1953
6_10,female,7.31,40,estimates,1953
6_11,female,8.794,40,estimates,1953
6_12,female,10.238,40,estimates,1953
7_10,female,5.91,40,estimates,1953
7_12,female,8.838,40,estimates,1953
11_16,female,8.287,40,estimates,1953
11_17,female,9.529,40,estimates,1953
11_18,female,10.734,40,estimates,1953
12_14,female,4.208,40,estimates,1953
12_16,female,6.803,40,estimates,1953
12_17,female,8.044,40,estimates,1953
12_18,female,9.25,40,estimates,1953
13_17,female,6.6,40,estimates,1953
13_18,female,7.806,40,estimates,1953
13_19,female,8.975,40,estimates,1953
15_17,female,3.836,40,estimates,1953
18_23,female,7.131,40,estimates,1953
15_24,female,12.223,40,estimates,1953
15_49,female,47.783,40,estimates,1953
15_59,female,61.672,40,estimates,1953
15_64,female,67.238,40,estimates,1953
20_64,female,61.026,40,estimates,1953
20_69,female,65.694,40,estimates,1953
25_49,female,35.56,40,estimates,1953
25_64,female,55.015,40,estimates,1953
25_69,female,59.683,40,estimates,1953
15plus,female,79.381,40,estimates,1953
16plus,female,78.063,40,estimates,1953
17plus,female,76.785,40,estimates,1953
18plus,female,75.544,40,estimates,1953
20plus,female,73.169,40,estimates,1953
21plus,female,72.016,40,estimates,1953
25plus,female,67.158,40,estimates,1953
50plus,female,31.598,40,estimates,1953
60plus,female,17.709,40,estimates,1953
65plus,female,12.143,40,estimates,1953
70plus,female,7.475,40,estimates,1953
75plus,female,3.912,40,estimates,1953
80plus,female,1.593,40,estimates,1953
85plus,female,0.484,40,estimates,1953
90plus,female,0.102,40,estimates,1953
total,female,100,40,estimates,1953
0,male,1.554,40,estimates,1953
0_1,male,2.941,40,estimates,1953
0_4,male,7.521,40,estimates,1953
0_14,male,24.654,40,estimates,1953
0_17,male,29.23,40,estimates,1953
0_19,male,32.103,40,estimates,1953
0_24,male,39.248,40,estimates,1953
3_4,male,3.079,40,estimates,1953
3_5,male,4.711,40,estimates,1953
3_6,male,6.394,40,estimates,1953
4_5,male,3.206,40,estimates,1953
4_6,male,4.888,40,estimates,1953
5_14,male,17.134,40,estimates,1953
5_10,male,10.374,40,estimates,1953
5_11,male,12.139,40,estimates,1953
6_9,male,6.949,40,estimates,1953
6_10,male,8.741,40,estimates,1953
6_11,male,10.506,40,estimates,1953
6_12,male,12.223,40,estimates,1953
7_10,male,7.058,40,estimates,1953
7_12,male,10.54,40,estimates,1953
11_16,male,9.844,40,estimates,1953
11_17,male,11.336,40,estimates,1953
11_18,male,12.792,40,estimates,1953
12_14,male,4.995,40,estimates,1953
12_16,male,8.079,40,estimates,1953
12_17,male,9.57,40,estimates,1953
12_18,male,11.027,40,estimates,1953
13_17,male,7.854,40,estimates,1953
13_18,male,9.31,40,estimates,1953
13_19,male,10.727,40,estimates,1953
15_17,male,4.575,40,estimates,1953
18_23,male,8.551,40,estimates,1953
15_24,male,14.594,40,estimates,1953
15_49,male,47.65,40,estimates,1953
15_59,male,60.905,40,estimates,1953
15_64,male,65.545,40,estimates,1953
20_64,male,58.097,40,estimates,1953
20_69,male,61.945,40,estimates,1953
25_49,male,33.056,40,estimates,1953
25_64,male,50.952,40,estimates,1953
25_69,male,54.799,40,estimates,1953
15plus,male,75.346,40,estimates,1953
16plus,male,73.784,40,estimates,1953
17plus,male,72.261,40,estimates,1953
18plus,male,70.77,40,estimates,1953
20plus,male,67.897,40,estimates,1953
21plus,male,66.501,40,estimates,1953
25plus,male,60.752,40,estimates,1953
50plus,male,27.696,40,estimates,1953
60plus,male,14.44,40,estimates,1953
65plus,male,9.8,40,estimates,1953
70plus,male,5.953,40,estimates,1953
75plus,male,3.05,40,estimates,1953
80plus,male,1.21,40,estimates,1953
85plus,male,0.348,40,estimates,1953
90plus,male,0.065,40,estimates,1953
total,male,100,40,estimates,1953
0,female,1.342,40,estimates,1954
0_1,female,2.552,40,estimates,1954
0_4,female,6.32,40,estimates,1954
0_14,female,20.559,40,estimates,1954
0_17,female,24.501,40,estimates,1954
0_19,female,26.935,40,estimates,1954
0_24,female,32.814,40,estimates,1954
3_4,female,2.516,40,estimates,1954
3_5,female,3.818,40,estimates,1954
3_6,female,5.162,40,estimates,1954
4_5,female,2.561,40,estimates,1954
4_6,female,3.905,40,estimates,1954
5_14,female,14.238,40,estimates,1954
5_10,female,8.403,40,estimates,1954
5_11,female,9.911,40,estimates,1954
6_9,female,5.608,40,estimates,1954
6_10,female,7.102,40,estimates,1954
6_11,female,8.609,40,estimates,1954
6_12,female,10.095,40,estimates,1954
7_10,female,5.757,40,estimates,1954
7_12,female,8.751,40,estimates,1954
11_16,female,8.505,40,estimates,1954
11_17,female,9.778,40,estimates,1954
11_18,female,11.013,40,estimates,1954
12_14,female,4.328,40,estimates,1954
12_16,female,6.998,40,estimates,1954
12_17,female,8.27,40,estimates,1954
12_18,female,9.505,40,estimates,1954
13_17,female,6.784,40,estimates,1954
13_18,female,8.019,40,estimates,1954
13_19,female,9.218,40,estimates,1954
15_17,female,3.943,40,estimates,1954
18_23,female,7.09,40,estimates,1954
15_24,female,12.255,40,estimates,1954
15_49,female,47.31,40,estimates,1954
15_59,female,61.393,40,estimates,1954
15_64,female,67.038,40,estimates,1954
20_64,female,60.662,40,estimates,1954
20_69,female,65.413,40,estimates,1954
25_49,female,35.055,40,estimates,1954
25_64,female,54.783,40,estimates,1954
25_69,female,59.534,40,estimates,1954
15plus,female,79.441,40,estimates,1954
16plus,female,78.084,40,estimates,1954
17plus,female,76.771,40,estimates,1954
18plus,female,75.499,40,estimates,1954
20plus,female,73.065,40,estimates,1954
21plus,female,71.904,40,estimates,1954
25plus,female,67.186,40,estimates,1954
50plus,female,32.131,40,estimates,1954
60plus,female,18.049,40,estimates,1954
65plus,female,12.404,40,estimates,1954
70plus,female,7.652,40,estimates,1954
75plus,female,4.029,40,estimates,1954
80plus,female,1.635,40,estimates,1954
85plus,female,0.487,40,estimates,1954
90plus,female,0.101,40,estimates,1954
total,female,100,40,estimates,1954
0,male,1.615,40,estimates,1954
0_1,male,3.033,40,estimates,1954
0_4,male,7.574,40,estimates,1954
0_14,male,24.585,40,estimates,1954
0_17,male,29.262,40,estimates,1954
0_19,male,32.191,40,estimates,1954
0_24,male,39.224,40,estimates,1954
3_4,male,3.038,40,estimates,1954
3_5,male,4.609,40,estimates,1954
3_6,male,6.228,40,estimates,1954
4_5,male,3.094,40,estimates,1954
4_6,male,4.713,40,estimates,1954
5_14,male,17.011,40,estimates,1954
5_10,male,10.079,40,estimates,1954
5_11,male,11.871,40,estimates,1954
6_9,male,6.727,40,estimates,1954
6_10,male,8.508,40,estimates,1954
6_11,male,10.3,40,estimates,1954
6_12,male,12.066,40,estimates,1954
7_10,male,6.889,40,estimates,1954
7_12,male,10.447,40,estimates,1954
11_16,male,10.094,40,estimates,1954
11_17,male,11.609,40,estimates,1954
11_18,male,13.092,40,estimates,1954
12_14,male,5.139,40,estimates,1954
12_16,male,8.301,40,estimates,1954
12_17,male,9.816,40,estimates,1954
12_18,male,11.299,40,estimates,1954
13_17,male,8.051,40,estimates,1954
13_18,male,9.533,40,estimates,1954
13_19,male,10.98,40,estimates,1954
15_17,male,4.677,40,estimates,1954
18_23,male,8.527,40,estimates,1954
15_24,male,14.639,40,estimates,1954
15_49,male,47.302,40,estimates,1954
15_59,male,60.869,40,estimates,1954
15_64,male,65.558,40,estimates,1954
20_64,male,57.952,40,estimates,1954
20_69,male,61.813,40,estimates,1954
25_49,male,32.663,40,estimates,1954
25_64,male,50.919,40,estimates,1954
25_69,male,54.78,40,estimates,1954
15plus,male,75.415,40,estimates,1954
16plus,male,73.809,40,estimates,1954
17plus,male,72.253,40,estimates,1954
18plus,male,70.738,40,estimates,1954
20plus,male,67.809,40,estimates,1954
21plus,male,66.403,40,estimates,1954
25plus,male,60.776,40,estimates,1954
50plus,male,28.113,40,estimates,1954
60plus,male,14.546,40,estimates,1954
65plus,male,9.857,40,estimates,1954
