global,year,variant,freq,age5yearinterval,noofbirthbymother
900,2020,medium_variant,5yearly,35_39,73068.999
900,2020,momentum,5yearly,35_39,68125.054
900,2020,no_change,5yearly,35_39,74334.315
900,2020,zero_migration,5yearly,35_39,72952.081
900,2020,constant_fertility,5yearly,40_44,24374.632
900,2020,constant_mortality,5yearly,40_44,21612.983
900,2020,high_variant,5yearly,40_44,25266.042
900,2020,instant_replacement,5yearly,40_44,19112.913
900,2020,low_variant,5yearly,40_44,18226.42
900,2020,medium_variant,5yearly,40_44,21713.415
900,2020,momentum,5yearly,40_44,19403.756
900,2020,no_change,5yearly,40_44,24245.456
900,2020,zero_migration,5yearly,40_44,21741.909
900,2020,constant_fertility,5yearly,45_49,5690.009
900,2020,constant_mortality,5yearly,45_49,4335.896
900,2020,high_variant,5yearly,45_49,4961.48
900,2020,instant_replacement,5yearly,45_49,3329.34
900,2020,low_variant,5yearly,45_49,3758.103
900,2020,medium_variant,5yearly,45_49,4361.635
900,2020,momentum,5yearly,45_49,3418.982
900,2020,no_change,5yearly,45_49,5655.645
900,2020,zero_migration,5yearly,45_49,4380.797
900,2025,constant_fertility,5yearly,"Region, subregion, country or area *",WORLD
900,2025,constant_mortality,5yearly,"Region, subregion, country or area *",WORLD
900,2025,high_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2025,instant_replacement,5yearly,"Region, subregion, country or area *",WORLD
900,2025,low_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2025,medium_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2025,momentum,5yearly,"Region, subregion, country or area *",WORLD
900,2025,no_change,5yearly,"Region, subregion, country or area *",WORLD
900,2025,zero_migration,5yearly,"Region, subregion, country or area *",WORLD
900,2025,constant_fertility,5yearly,15_19,82724.517
900,2025,constant_mortality,5yearly,15_19,58335.392
900,2025,high_variant,5yearly,15_19,68895.848
900,2025,instant_replacement,5yearly,15_19,45044.037
900,2025,low_variant,5yearly,15_19,48320.91
900,2025,medium_variant,5yearly,15_19,58716.695
900,2025,momentum,5yearly,15_19,46697.02
900,2025,no_change,5yearly,15_19,82203.337
900,2025,zero_migration,5yearly,15_19,58909.519
900,2025,constant_fertility,5yearly,20_24,235771.745
900,2025,constant_mortality,5yearly,20_24,189591.636
900,2025,high_variant,5yearly,20_24,229032.852
900,2025,instant_replacement,5yearly,20_24,169118.435
900,2025,low_variant,5yearly,20_24,151564.761
900,2025,medium_variant,5yearly,20_24,190479.488
900,2025,momentum,5yearly,20_24,174641.871
900,2025,no_change,5yearly,20_24,234700.858
900,2025,zero_migration,5yearly,20_24,191502.78
900,2025,constant_fertility,5yearly,25_29,223738.816
900,2025,constant_mortality,5yearly,25_29,199831.1
900,2025,high_variant,5yearly,25_29,243620.098
900,2025,instant_replacement,5yearly,25_29,185287.644
900,2025,low_variant,5yearly,25_29,158120.337
900,2025,medium_variant,5yearly,25_29,200830.512
900,2025,momentum,5yearly,25_29,189729.052
900,2025,no_change,5yearly,25_29,222587.459
900,2025,zero_migration,5yearly,25_29,201328.048
900,2025,constant_fertility,5yearly,30_34,150397.479
900,2025,constant_mortality,5yearly,30_34,144722.167
900,2025,high_variant,5yearly,30_34,177759.851
900,2025,instant_replacement,5yearly,30_34,138220.024
900,2025,low_variant,5yearly,30_34,113436.708
900,2025,medium_variant,5yearly,30_34,145498.026
900,2025,momentum,5yearly,30_34,139883.431
900,2025,no_change,5yearly,30_34,149469.736
900,2025,zero_migration,5yearly,30_34,144994.567
900,2025,constant_fertility,5yearly,35_39,79914.332
900,2025,constant_mortality,5yearly,35_39,75924.264
900,2025,high_variant,5yearly,35_39,93297.504
900,2025,instant_replacement,5yearly,35_39,71841.132
900,2025,low_variant,5yearly,35_39,59796.837
900,2025,medium_variant,5yearly,35_39,76450.662
900,2025,momentum,5yearly,35_39,72564.588
900,2025,no_change,5yearly,35_39,79264.236
900,2025,zero_migration,5yearly,35_39,76136.881
900,2025,constant_fertility,5yearly,40_44,27414.115
900,2025,constant_mortality,5yearly,40_44,23083.109
900,2025,high_variant,5yearly,40_44,28271.179
900,2025,instant_replacement,5yearly,40_44,21332.433
900,2025,low_variant,5yearly,40_44,18376.217
900,2025,medium_variant,5yearly,40_44,23286.615
900,2025,momentum,5yearly,40_44,21687.399
900,2025,no_change,5yearly,40_44,27122.523
900,2025,zero_migration,5yearly,40_44,23290.392
900,2025,constant_fertility,5yearly,45_49,6575.077
